a0,a1,CLASS
1.00007,40.9378,b'0'
0.99736,41.1714,b'0'
0.134799,41.8113,b'0'
2.47585,41.6346,b'0'
-3.0587,41.3887,b'0'
0.73266,41.4888,b'0'
0.35745,41.8429,b'0'
0.157674,41.7513,b'0'
2.69103,41.8298,b'0'
0.536346,41.5344,b'0'
2.46873,41.4813,b'0'
-1.91946,40.8824,b'0'
3.44394,41.3349,b'0'
2.88157,41.1534,b'0'
-0.53933,41.4057,b'0'
-0.0276636,41.1127,b'0'
0.0933292,41.0051,b'0'
0.209173,41.7993,b'0'
-0.0668266,41.7829,b'0'
1.79969,42.3177,b'0'
0.510155,41.6298,b'0'
0.138588,41.1531,b'0'
-0.0175984,41.694,b'0'
0.618498,41.4093,b'0'
-2.63433,41.9534,b'0'
2.01141,41.222,b'0'
5.57577,41.5869,b'0'
1.40539,41.53,b'0'
3.55797,41.8688,b'0'
2.68052,41.3868,b'0'
2.95654,41.486,b'0'
-0.391807,41.2361,b'0'
4.00381,41.4221,b'0'
1.44796,41.0426,b'0'
0.201187,41.4562,b'0'
0.795719,41.6564,b'0'
0.502018,41.5292,b'0'
0.290078,41.6987,b'0'
1.19913,40.799,b'0'
-1.28096,41.1171,b'0'
0.030134,41.4093,b'0'
1.99597,41.7064,b'0'
3.11367,41.4872,b'0'
0.546399,41.5257,b'0'
-1.00433,41.3616,b'0'
1.22587,42.0243,b'0'
-0.202468,41.863,b'0'
-1.40362,40.9709,b'0'
0.977844,40.6544,b'0'
2.66858,41.613,b'0'
3.87692,41.5591,b'0'
2.62824,41.4168,b'0'
2.06543,41.3289,b'0'
-1.63482,41.3223,b'0'
2.00123,41.8628,b'0'
3.64504,42.0131,b'0'
-2.36311,41.4501,b'0'
2.6411,41.6433,b'0'
-2.92099,40.9228,b'0'
1.66685,41.3844,b'0'
1.35976,41.4936,b'0'
2.40343,42.0717,b'0'
-0.156466,41.3901,b'0'
-0.149501,41.3361,b'0'
2.31285,41.3771,b'0'
2.73428,41.6682,b'0'
0.703931,40.8069,b'0'
2.65785,41.2811,b'0'
4.18733,41.6706,b'0'
0.21038,41.3822,b'0'
-2.37222,41.5596,b'0'
