x,y,class
-8.69493,-4.08204,b'0'
-8.6404,-3.85833,b'0'
-7.70667,-1.4747,b'0'
-8.81293,-3.27131,b'0'
-8.05403,-3.51724,b'0'
-8.29488,-3.51365,b'0'
-10.1359,-4.39111,b'0'
-8.04381,-2.79032,b'0'
-9.82957,-4.44724,b'0'
-9.09786,-4.46506,b'0'
-7.0911,-3.26933,b'0'
-7.98238,-2.70144,b'0'
-9.67598,-3.84127,b'0'
-7.85766,-2.21475,b'0'
-8.15751,-4.09354,b'0'
-8.9737,-2.76981,b'0'
-8.05094,-3.59263,b'0'
-7.72412,-1.54349,b'0'
-8.91767,-4.12078,b'0'
-8.13389,-1.80716,b'0'
-10.4918,-4.16823,b'0'
-7.64232,-2.87174,b'0'
-7.6268,-2.67739,b'0'
-8.59165,-3.32836,b'0'
-7.20008,-1.64701,b'0'
-8.75974,-3.67519,b'0'
-8.3488,-2.61235,b'0'
-7.7484,-2.84117,b'0'
-8.97632,-4.52084,b'0'
-7.69324,-2.27566,b'0'
-10.0336,-5.04022,b'0'
-8.85227,-4.0334,b'0'
-9.03189,-4.04806,b'0'
-8.13572,-3.3417,b'0'
-8.86449,-3.94871,b'0'
-9.23683,-3.62431,b'0'
-9.43361,-3.65627,b'0'
-8.18118,-2.27224,b'0'
-8.40732,-2.7209,b'0'
-9.50774,-4.42073,b'0'
-8.78031,-4.7516,b'0'
-8.81461,-3.32169,b'0'
-8.97416,-4.91024,b'0'
-9.31334,-3.81161,b'0'
-8.74045,-4.7963,b'0'
-7.95166,-3.80814,b'0'
-10.0591,-4.7811,b'0'
-8.36515,-3.44231,b'0'
-6.99971,-2.68442,b'0'
-9.65653,-5.11228,b'0'
-8.66661,-3.68409,b'0'
-8.15935,-3.07882,b'0'
-7.99154,-1.51911,b'0'
-9.11811,-2.32231,b'0'
-9.0938,-4.34333,b'0'
-8.14049,-3.33259,b'0'
-8.02519,-4.65274,b'0'
-8.44775,-3.63394,b'0'
-8.9976,-4.7722,b'0'
-8.66632,-3.32594,b'0'
-7.95832,-2.87078,b'0'
-9.25258,-4.46247,b'0'
-10.3672,-4.54571,b'0'
-7.46944,-3.1481,b'0'
-8.59579,-4.77005,b'0'
-9.22283,-3.56783,b'0'
-8.21303,-2.67898,b'0'
-9.2124,-3.58182,b'0'
-8.64581,-3.3193,b'0'
-9.35346,-5.39518,b'0'
-7.76767,-2.09506,b'0'
-9.05833,-2.98536,b'0'
-7.42674,-3.79082,b'0'
-8.68992,-2.91888,b'0'
-7.29042,-2.17037,b'0'
-8.34408,-3.64164,b'0'
-8.17298,-3.17738,b'0'
-9.30139,-3.25965,b'0'
-9.29681,-3.59796,b'0'
-9.58048,-4.49728,b'0'
-8.49216,-3.65884,b'0'
-8.34336,-2.41142,b'0'
-7.8601,-2.97977,b'0'
-9.04439,-3.78356,b'0'
-8.88553,-4.39569,b'0'
-7.28641,-1.33624,b'0'
-8.77737,-4.02101,b'0'
-9.30099,-3.68911,b'0'
-8.19873,-3.15754,b'0'
-7.0521,-1.3489,b'0'
-7.09952,-3.1626,b'0'
-8.26232,-4.13327,b'0'
-7.16357,-2.0783,b'0'
-8.50966,-2.11201,b'0'
-8.39893,-2.12713,b'0'
-7.58834,-3.06696,b'0'
-8.57066,-5.22005,b'0'
-8.58719,-3.49621,b'0'
-7.21036,-2.71554,b'0'
-8.90762,-3.92203,b'0'
-8.7021,-2.99252,b'0'
-8.77684,-2.25372,b'0'
-7.79125,-2.8947,b'0'
-8.63438,-2.02369,b'0'
-9.04551,-4.86353,b'0'
-7.78808,-2.72394,b'0'
-6.25273,-7.39036,b'1'
-6.65666,-7.71766,b'1'
-7.24954,-9.64904,b'1'
-6.8133,-9.8009,b'1'
-6.92223,-8.65929,b'1'
-6.27036,-7.74961,b'1'
-5.96635,-8.97047,b'1'
-6.38861,-8.05087,b'1'
-5.635,-7.94351,b'1'
-6.22443,-6.9764,b'1'
-6.25428,-7.55632,b'1'
-5.77736,-7.75893,b'1'
-6.73031,-7.15192,b'1'
-6.66554,-8.18106,b'1'
-6.57719,-8.69503,b'1'
-6.21789,-7.71703,b'1'
-6.37706,-7.80981,b'1'
-6.86509,-6.59698,b'1'
-6.30385,-8.51285,b'1'
-6.0965,-7.59811,b'1'
-6.81185,-8.26279,b'1'
-6.41398,-8.1561,b'1'
-6.07095,-8.16182,b'1'
-6.43956,-8.34269,b'1'
-6.0797,-6.38241,b'1'
-6.84388,-7.46829,b'1'
-6.15966,-9.159,b'1'
-6.61336,-9.16218,b'1'
-6.71129,-9.01557,b'1'
-6.37637,-8.71405,b'1'
-6.35999,-8.26552,b'1'
-5.87385,-8.30604,b'1'
-6.89582,-8.39183,b'1'
-6.39943,-8.59678,b'1'
-6.49258,-8.33688,b'1'
-6.3834,-7.4508,b'1'
-6.64749,-8.44029,b'1'
-6.6404,-7.81211,b'1'
-6.66479,-8.59582,b'1'
-6.30485,-8.22961,b'1'
-6.29052,-9.50734,b'1'
-6.69189,-6.90399,b'1'
-7.06423,-8.79051,b'1'
-6.77855,-7.26407,b'1'
-6.26719,-6.45568,b'1'
-6.3685,-7.54308,b'1'
-6.45682,-8.1298,b'1'
-5.57927,-8.78315,b'1'
-6.38342,-7.90653,b'1'
-7.5873,-8.97679,b'1'
-6.09126,-7.93066,b'1'
-6.61405,-8.05345,b'1'
