a0,a1,class
-9.33717,-1.47976,b'0'
-4.46281,-0.157614,b'0'
-5.48281,-1.33823,b'0'
-9.82805,-0.335942,b'0'
-3.98464,0.756735,b'0'
-9.99783,0.806095,b'0'
-10.3309,0.528824,b'0'
-5.58873,-0.579749,b'0'
-11.6338,-1.23736,b'0'
-5.15034,0.691411,b'0'
-5.96595,0.74648,b'0'
-6.99879,0.674803,b'0'
-12.0809,-0.192616,b'0'
-3.70154,0.829949,b'0'
-8.39983,0.460985,b'0'
-8.0397,1.11431,b'0'
-2.27442,0.747368,b'0'
-11.4743,-1.34989,b'0'
-11.8902,-1.25718,b'0'
-3.72325,-1.56156,b'0'
-10.1756,1.57619,b'0'
-6.03203,-0.11842,b'0'
-2.85019,-1.3911,b'0'
-0.55693,-0.769474,b'0'
-7.85374,-0.677771,b'0'
-7.56068,-1.01453,b'0'
-8.02701,-2.72431,b'0'
-4.95269,-0.905943,b'0'
-15.5304,-0.892675,b'0'
-4.09205,-0.967917,b'0'
-5.17113,0.326012,b'0'
-9.62024,0.0751524,b'0'
-0.740419,-1.86362,b'0'
-8.47926,-2.21862,b'0'
-6.37991,-1.04761,b'0'
-12.7962,-1.01293,b'0'
-7.48629,-0.167766,b'0'
-5.5817,-0.488916,b'0'
-8.32077,-0.19477,b'0'
-3.66454,-1.61521,b'0'
-10.8874,0.64967,b'0'
-5.27185,-2.31187,b'0'
-7.21248,-0.732954,b'0'
-5.13236,-0.785634,b'0'
-6.18507,-0.627664,b'0'
-7.75874,0.241957,b'0'
-4.68545,0.629869,b'0'
-10.3527,-2.11139,b'0'
-4.56472,-1.07274,b'0'
-8.50942,1.89247,b'0'
-6.79158,-0.160768,b'0'
-7.22832,-0.0721055,b'0'
-6.15083,-1.18643,b'0'
-8.01747,-0.977148,b'0'
-3.98416,-1.05669,b'0'
-8.56995,-0.189708,b'0'
-9.02198,0.413663,b'0'
-5.44746,-1.47304,b'0'
-5.03913,-0.652624,b'0'
-0.855371,-0.976072,b'0'
-5.75298,-0.92226,b'0'
-7.13383,0.121307,b'0'
-6.72824,-0.628739,b'0'
-6.5731,-0.967647,b'0'
-6.40253,0.579542,b'0'
-8.77727,-0.198901,b'0'
-7.82766,-0.0531264,b'0'
-5.57511,-1.27065,b'0'
-10.5915,0.531997,b'0'
-7.53421,1.46597,b'0'
-7.57788,-0.350398,b'0'
-3.64498,-1.01936,b'0'
-6.14316,-1.22087,b'0'
-7.138,0.3194,b'0'
-9.07948,-0.526767,b'0'
-6.245,0.799464,b'0'
-9.94396,-0.305495,b'0'
-8.82942,-0.139461,b'0'
-6.99826,-2.31374,b'0'
-5.156,-0.759205,b'0'
-9.34279,-0.904955,b'0'
-4.94873,-0.812488,b'0'
-4.8891,-1.13065,b'0'
-6.71343,0.377816,b'0'
-5.37275,-1.94023,b'0'
-7.88186,-0.163382,b'0'
-8.66656,-1.5997,b'0'
-4.79496,2.43697,b'0'
-9.76288,0.765247,b'0'
-1.27581,-1.19404,b'0'
-3.27608,-1.44866,b'0'
-8.04832,0.205099,b'0'
-6.92069,-0.187921,b'0'
-6.25098,-1.54952,b'0'
-8.36558,-0.221692,b'0'
-4.06616,-1.22581,b'0'
-6.74829,-0.775818,b'0'
-8.73146,0.467313,b'0'
-4.61027,-1.24291,b'0'
-6.69489,-1.1099,b'0'
-9.35526,0.772229,b'0'
-3.59904,-1.14501,b'0'
-2.87678,0.385213,b'0'
-7.32882,0.298173,b'0'
-7.87577,-0.832216,b'0'
-9.37201,-0.202127,b'0'
-9.50205,-1.86227,b'0'
-5.545,-0.263095,b'0'
-6.62747,-3.06944,b'0'
-7.36462,0.994425,b'0'
-2.12852,0.614636,b'0'
-5.79465,-1.89097,b'0'
-5.01737,-1.43128,b'0'
-4.75625,0.284002,b'0'
-3.8322,-1.17865,b'0'
-5.37572,-1.49445,b'0'
-4.71608,-0.894082,b'0'
-3.91446,-1.44999,b'0'
-9.92187,-1.73957,b'0'
-7.35964,-1.55933,b'0'
-6.56824,-2.00627,b'0'
-7.5387,-0.0170596,b'0'
-12.7005,-0.553422,b'0'
-8.35068,-0.528886,b'0'
-7.83994,-0.606749,b'0'
-10.9913,0.0069935,b'0'
-8.42365,-0.321621,b'0'
-9.13033,0.0981105,b'0'
-4.97765,0.161811,b'0'
-6.24468,-1.50784,b'0'
-7.62928,0.252056,b'0'
-4.53019,-0.585468,b'0'
-11.1806,-1.45925,b'0'
-11.2916,-0.492912,b'0'
-7.79634,-0.202119,b'0'
-7.70134,-0.368916,b'0'
-2.80184,-1.2621,b'0'
-5.92633,-0.0570896,b'0'
-8.3559,-1.45483,b'0'
-10.4069,-0.159376,b'0'
-7.87971,-2.26014,b'0'
-8.68993,-0.65486,b'0'
-5.30954,-0.40074,b'0'
-6.95742,-1.90389,b'0'
1.31721,-0.772748,b'0'
-10.08,-2.04761,b'0'
-8.08403,-0.00176168,b'0'
-9.88666,-1.18475,b'0'
-7.26025,-1.4597,b'0'
-3.15123,0.23275,b'0'
-5.9424,-0.234722,b'0'
-5.89099,-0.278193,b'0'
-5.22786,-0.0213228,b'0'
-0.53898,-0.197628,b'0'
-6.32044,0.527161,b'0'
-5.77579,0.359205,b'0'
-4.52189,-2.00773,b'0'
-2.29462,1.3101,b'0'
-5.22618,-1.22465,b'0'
-5.20318,-0.75817,b'0'
-5.33609,0.45696,b'0'
-4.80502,-0.788754,b'0'
-4.65703,-0.642784,b'0'
-7.6295,0.101546,b'0'
-6.65342,-1.08809,b'0'
-7.15335,1.86446,b'0'
-2.06327,-0.37365,b'0'
-9.88505,0.246238,b'0'
-2.77669,0.188702,b'0'
-6.59288,-0.706516,b'0'
-2.63656,-0.711943,b'0'
-6.1853,-1.64703,b'0'
-8.91405,-1.24578,b'0'
-6.88454,1.36884,b'0'
-10.0779,-0.271513,b'0'
-5.81706,-0.574461,b'0'
-9.89018,1.50763,b'0'
-8.33691,-0.885947,b'0'
-10.3924,0.639131,b'0'
-4.64088,-0.860427,b'0'
-6.16935,-0.871135,b'0'
-5.27672,0.428136,b'0'
-4.67914,-1.86106,b'0'
-11.4376,-3.04339,b'0'
-6.50204,2.08643,b'0'
-8.27498,-0.424813,b'0'
-4.34557,-1.31765,b'0'
-2.47717,-0.500809,b'0'
-5.79071,0.951154,b'0'
-12.712,-2.51333,b'0'
-8.91842,-0.724682,b'0'
-5.09298,-0.483387,b'0'
-4.89828,-2.30137,b'0'
-6.20128,0.874091,b'0'
-6.44767,-0.450508,b'0'
-6.3099,0.237781,b'0'
-6.26151,-1.13147,b'0'
-8.71041,3.03626,b'0'
-9.01355,-0.219712,b'0'
-5.27999,-1.25054,b'0'
-6.59618,1.51172,b'0'
-6.41124,-0.425715,b'0'
-4.92325,-1.85915,b'0'
-10.044,0.123632,b'0'
-7.12247,-0.524036,b'0'
-5.15138,-1.96514,b'0'
-8.86795,0.046858,b'0'
-4.51441,-0.325687,b'0'
-3.31721,-1.25753,b'0'
-5.3246,-0.209876,b'0'
-5.08976,-0.343611,b'0'
-4.43855,0.366771,b'0'
-9.60535,-1.18411,b'0'
-4.45582,-1.07639,b'0'
-5.82835,-1.60397,b'0'
-4.43479,-2.26439,b'0'
-4.91305,-1.11124,b'0'
-4.71471,0.811606,b'0'
-9.15338,-0.622933,b'0'
-1.43009,-9.48008,b'1'
-1.2964,-7.20614,b'1'
-5.80288,-8.80913,b'1'
-6.36001,-9.64601,b'1'
-5.46051,-9.07558,b'1'
-1.23373,-10.4391,b'1'
-2.43216,-8.65191,b'1'
-6.9931,-9.99273,b'1'
-0.0821389,-8.27876,b'1'
-3.56927,-9.31871,b'1'
-5.55564,-9.93159,b'1'
-2.79606,-8.92043,b'1'
-8.25071,-8.11974,b'1'
3.09415,-8.81443,b'1'
3.52526,-6.48025,b'1'
-8.73716,-11.9898,b'1'
-2.83544,-8.78389,b'1'
-3.24995,-8.51249,b'1'
-2.95532,-11.9145,b'1'
0.702899,-7.8333,b'1'
-6.16021,-8.34441,b'1'
-3.75241,-10.3751,b'1'
0.133879,-7.9177,b'1'
0.530108,-8.60073,b'1'
-6.24324,-7.05516,b'1'
-3.12203,-9.11001,b'1'
-3.79034,-9.11781,b'1'
-4.12002,-6.94987,b'1'
-1.87552,-8.46539,b'1'
-1.92157,-8.46282,b'1'
2.93894,-7.6899,b'1'
-1.12655,-8.49915,b'1'
5.55825,-6.70466,b'1'
-1.7273,-9.67314,b'1'
2.59037,-9.75204,b'1'
-4.40907,-9.87979,b'1'
4.63279,-8.83743,b'1'
-4.28959,-10.35,b'1'
1.07885,-7.45568,b'1'
3.39283,-9.37048,b'1'
-1.21922,-8.53451,b'1'
-5.24486,-9.41903,b'1'
1.78732,-7.54328,b'1'
-6.48521,-10.5128,b'1'
3.24485,-10.3318,b'1'
-0.595712,-7.70371,b'1'
-0.785867,-9.40918,b'1'
1.26806,-8.83971,b'1'
-9.60098,-8.26751,b'1'
-3.4287,-8.62987,b'1'
-8.14556,-8.01981,b'1'
-3.44776,-7.78609,b'1'
-2.55579,-5.74485,b'1'
-9.07183,-7.84294,b'1'
-0.146084,-7.50744,b'1'
-10.8543,-8.79076,b'1'
-0.755574,-6.74811,b'1'
0.590998,-10.2292,b'1'
5.84803,-8.00556,b'1'
-2.95516,-9.80153,b'1'
3.65937,-8.09823,b'1'
-3.1624,-8.3435,b'1'
-2.68161,-9.52782,b'1'
-3.74185,-7.64074,b'1'
-3.11418,-9.23263,b'1'
1.47432,-10.2202,b'1'
-0.0254725,-9.69347,b'1'
-1.66787,-8.54115,b'1'
-6.53394,-8.75372,b'1'
-7.70699,-8.77551,b'1'
-9.80754,-8.90722,b'1'
-3.55157,-8.21094,b'1'
2.60725,-8.14327,b'1'
-0.970059,-8.249,b'1'
1.58312,-7.8956,b'1'
-0.398496,-9.29579,b'1'
3.26584,-9.31113,b'1'
-4.13188,-8.48066,b'1'
-1.25431,-8.90976,b'1'
-3.91879,-10.2704,b'1'
1.14267,-8.2479,b'1'
-2.30966,-10.1162,b'1'
-1.9152,-6.75522,b'1'
-2.7643,-8.70338,b'1'
-2.43185,-9.64442,b'1'
-1.9191,-8.05635,b'1'
-1.30545,-7.93263,b'1'
-0.28951,-9.20133,b'1'
-1.29886,-8.94662,b'1'
-2.30022,-9.94236,b'1'
4.7411,-8.0649,b'1'
1.69316,-8.62909,b'1'
-6.00965,-9.19473,b'1'
-2.28302,-10.7343,b'1'
-0.137175,-7.45165,b'1'
-5.2547,-8.02938,b'1'
-8.91868,-8.27649,b'1'
3.67417,-7.63222,b'1'
-4.68827,-12.5131,b'1'
-1.30881,-9.27688,b'1'
-3.66066,-11.8836,b'1'
-3.55438,-8.92899,b'1'
2.50014,-9.42897,b'1'
-6.64993,-8.01807,b'1'
2.15122,-9.65451,b'1'
-0.500979,-9.39722,b'1'
-4.98674,-7.436,b'1'
1.29326,-7.03773,b'1'
-3.58228,-10.4185,b'1'
2.42812,-11.5386,b'1'
-2.91056,-9.71288,b'1'
2.01261,-10.1846,b'1'
0.19907,-8.1394,b'1'
-3.07496,-9.67909,b'1'
-11.0708,-8.40431,b'1'
2.32632,-7.59968,b'1'
-1.67021,-8.30289,b'1'
-5.81361,-10.8799,b'1'
-5.18497,-10.1689,b'1'
-2.85162,-7.06185,b'1'
0.654182,-7.5957,b'1'
-7.42012,-9.26973,b'1'
1.76791,-8.92436,b'1'
-0.514099,-8.31016,b'1'
-6.0977,-9.94566,b'1'
-1.94223,-8.41032,b'1'
-3.30011,-8.05372,b'1'
-6.60298,-9.01283,b'1'
1.24236,-9.81155,b'1'
-5.39862,-8.10372,b'1'
1.22982,-8.48021,b'1'
-8.92245,-8.16213,b'1'
1.48555,-7.94856,b'1'
-5.6606,-8.51115,b'1'
3.47684,-8.75946,b'1'
-2.86804,-5.42933,b'1'
-7.29766,-11.2581,b'1'
-3.84437,-7.70914,b'1'
-7.22023,-7.51118,b'1'
-2.66769,-9.7867,b'1'
-2.00646,-9.74231,b'1'
0.448662,-10.3989,b'1'
-1.58159,-8.51518,b'1'
-4.36824,-8.17317,b'1'
-0.374198,-9.50443,b'1'
-2.70418,-9.34014,b'1'
-0.989946,-6.98038,b'1'
-4.72954,-9.04478,b'1'
-6.74083,-10.3983,b'1'
3.05048,-5.72452,b'1'
-9.24435,-7.97718,b'1'
-0.809653,-10.5173,b'1'
