x,y,class
0.5806994504,-0.9703880325,b'2'
-0.0599597537,-1.2848864783,b'2'
2.131430232,0.9484920275,b'1'
-1.2136959007,1.536374738,b'2'
-0.0421610953,0.0677335196,b'2'
-1.3708096295,0.3149232878,b'1'
-2.2532586094,-0.142809299,b'2'
-1.1748479516,-1.7184410282,b'2'
-0.8914884071,-2.7098888029,b'2'
1.5169204543,2.282978225,b'1'
-0.2783656141,-0.8555099689,b'2'
-1.4599438328,-0.9435053732,b'2'
-1.4816115465,-1.7096206674,b'2'
0.6507246777,2.2424535014,b'1'
0.4382340282,1.1925622436,b'1'
0.8752973016,2.2973821251,b'1'
1.8775523279,1.3498521908,b'1'
1.4633469136,1.5645578334,b'1'
-1.4393653363,-1.8660613337,b'2'
-1.6924172925,-0.7571536357,b'2'
-1.1044527936,-2.0609526396,b'2'
-1.2079999126,-3.4215592875,b'2'
2.2193084122,1.9416075639,b'1'
-1.270435699,2.432884144,b'1'
-1.973452669,-0.5816826194,b'2'
-0.378809741,-0.73199086,b'2'
1.6625616723,1.3840522706,b'1'
0.3490097513,-0.8271594846,b'1'
-1.2087370686,-1.9797396482,b'2'
2.7969116471,0.3426598879,b'1'
-0.0987784149,0.8171963192,b'1'
2.7777420918,1.3645084294,b'1'
1.3169444081,2.234796536,b'1'
0.0495764216,0.5720382238,b'2'
0.473719215,1.0369733989,b'1'
-2.1202125363,-0.3516432184,b'2'
1.3982594941,0.7287811168,b'1'
-0.578693197,-0.8415384847,b'2'
-1.4251536491,-0.104279537,b'2'
0.123008994,1.4724880129,b'1'
0.2999966043,-1.4904902974,b'2'
-2.3367867565,-0.3444646823,b'2'
2.4292424297,1.8496976621,b'1'
0.4053068799,0.3636649594,b'1'
-2.8826864578,-0.4867075859,b'2'
1.1803112317,-0.0433435205,b'2'
-0.6212227214,-0.1902897062,b'2'
-2.0693128287,-1.1764551599,b'2'
0.6248550184,1.8266331414,b'1'
0.2052022815,2.3405966568,b'1'
1.3151228687,0.0037830508,b'1'
-0.8660606143,-3.1775436624,b'2'
-0.2405515756,1.9125059225,b'1'
-0.7435194631,-1.7850171704,b'2'
0.3259297933,0.2683904606,b'1'
-0.3667726462,-0.2219915946,b'2'
-0.3976351268,-2.4138394977,b'2'
-1.0340336865,-0.7025662985,b'2'
-1.7897063605,1.3597635928,b'2'
-1.4704355542,-2.0569969389,b'2'
-0.0128181376,0.5709028776,b'1'
-0.1664467299,-0.5244476237,b'2'
2.3540235622,1.1689659226,b'1'
1.050072712,-0.1178523925,b'1'
-0.6631192444,-0.7878964752,b'2'
-1.2089988733,-1.3488453837,b'2'
1.2184599879,0.0035334892,b'1'
2.8734752079,2.04287184,b'1'
-0.738278195,0.7064713461,b'2'
2.3346945194,-0.5212432946,b'1'
-0.7522533539,0.1469168754,b'2'
-0.3757848612,1.2344396153,b'1'
-0.1905397818,1.5432188176,b'1'
-1.9738186194,-1.3850724094,b'2'
0.9003688029,1.5140554899,b'1'
-1.1107350001,-0.6919957756,b'2'
0.192194596,0.839153927,b'2'
-0.6558859302,2.5934046497,b'1'
-0.0456432907,0.6418031499,b'1'
-0.7402391338,-0.1128771777,b'1'
1.5131207715,1.4959184955,b'1'
0.554043154,-0.3745542799,b'1'
-2.8391937758,-0.4437898468,b'2'
0.1801523609,0.519331849,b'1'
-1.9952095487,0.2228837504,b'2'
-0.7026898725,-0.0155040277,b'2'
1.5574164951,2.5832022017,b'1'
-2.2733370075,-1.5252071533,b'2'
2.0250726098,3.0164796475,b'1'
-0.5333878287,-1.7340891941,b'2'
-0.7660816822,-2.2306224134,b'2'
1.2644418987,1.1183323003,b'1'
1.4324199214,1.4720148482,b'1'
1.973222154,2.2613947845,b'1'
0.4708059414,1.5049698915,b'1'
1.0457684846,0.2235722765,b'1'
1.7946914139,-0.099244231,b'2'
-2.0880002025,-1.8861172041,b'2'
-0.7045704291,0.1535906763,b'2'
-0.4379645652,1.3824123227,b'1'
1.2130814809,1.3027712589,b'1'
-0.0250393658,-1.8664206871,b'2'
-3.3534621553,-1.6488186686,b'2'
-1.5845178121,0.0854464997,b'2'
1.2538741496,-0.5740717665,b'2'
-1.7740210555,-1.5022240142,b'2'
-2.4236679799,-0.7597748739,b'2'
1.4576693817,2.4847197345,b'1'
0.2769991092,0.5917417449,b'1'
2.4837446284,-0.7005801261,b'1'
2.0820488625,1.6194887614,b'1'
1.7997584441,1.053126349,b'1'
-2.4252158014,-1.7222985958,b'2'
1.3592038327,0.3141250837,b'1'
1.3812225507,1.1020779415,b'1'
-1.0834585318,0.9520851942,b'1'
