x,y,class
10.5,9.0,b'1'
10.56717,9.268445,b'1'
8.27532,11.38221,b'1'
8.227458,11.37764,b'1'
8.179511,11.37211,b'1'
8.1315,11.36561,b'1'
8.083443,11.35814,b'1'
8.035361,11.3497,b'1'
7.98727,11.34027,b'1'
7.9392,11.32987,b'1'
7.89116,11.31848,b'1'
7.84317,11.30611,b'1'
10.57166,9.29981,b'1'
7.79526,11.29275,b'1'
7.74744,11.2784,b'1'
7.69974,11.26305,b'1'
7.65217,11.24672,b'1'
7.60476,11.22939,b'1'
7.55752,11.21107,b'1'
7.51048,11.19176,b'1'
7.46366,11.17146,b'1'
7.41707,11.15017,b'1'
7.37075,11.12789,b'1'
10.57552,9.331439,b'1'
7.3247,11.10463,b'1'
7.27896,11.08039,b'1'
7.23353,11.05516,b'1'
7.18845,11.02896,b'1'
7.14373,11.00179,b'1'
7.09939,10.97365,b'1'
7.05546,10.94454,b'1'
7.01195,10.91448,b'1'
6.96888,10.88347,b'1'
6.92628,10.85151,b'1'
10.57873,9.363319,b'1'
6.88417,10.81862,b'1'
6.84256,10.78479,b'1'
6.80148,10.75003,b'1'
6.76095,10.71436,b'1'
6.72098,10.67778,b'1'
6.6816,10.64031,b'1'
6.64282,10.60194,b'1'
6.60467,10.56269,b'1'
6.56716,10.52257,b'1'
6.53032,10.48159,b'1'
10.58131,9.395437,b'1'
6.49417,10.43975,b'1'
6.45871,10.39709,b'1'
6.42398,10.35359,b'1'
6.38998,10.30928,b'1'
6.35675,10.26417,b'1'
6.32429,10.21826,b'1'
6.29262,10.17159,b'1'
6.26177,10.12415,b'1'
6.23175,10.07596,b'1'
6.20257,10.02704,b'1'
10.58323,9.42778,b'1'
6.17426,9.977395,b'1'
6.14683,9.927051,b'1'
6.1203,9.876019,b'1'
6.09468,9.824315,b'1'
6.06999,9.771955,b'1'
6.04624,9.718957,b'1'
6.02345,9.665337,b'1'
6.00164,9.611113,b'1'
5.98082,9.556302,b'1'
5.96101,9.500922,b'1'
10.58448,9.460335,b'1'
5.94221,9.444993,b'1'
5.92444,9.388533,b'1'
5.90772,9.331561,b'1'
5.89206,9.274096,b'1'
5.87747,9.216158,b'1'
5.86397,9.157767,b'1'
5.85155,9.0989439,b'1'
5.84025,9.0397087,b'1'
5.83006,8.9800824,b'1'
5.821,8.9200863,b'1'
10.58508,9.493089,b'1'
5.81308,8.859742,b'1'
5.80631,8.79907,b'1'
5.8007,8.738094,b'1'
5.79626,8.676835,b'1'
5.79299,8.615316,b'1'
5.7909,8.553559,b'1'
5.79001,8.491588,b'1'
5.79032,8.429425,b'1'
5.79183,8.367093,b'1'
5.79456,8.304617,b'1'
10.58499,9.526028,b'1'
5.79851,8.242019,b'1'
5.80368,8.179323,b'1'
5.81007,8.116554,b'1'
5.81771,8.053736,b'1'
5.82658,7.99089,b'1'
5.83669,7.92805,b'1'
5.84805,7.86523,b'1'
5.86065,7.80246,b'1'
5.87451,7.73976,b'1'
5.88962,7.67716,b'1'
10.58422,9.559137,b'1'
5.90598,7.61468,b'1'
5.92359,7.55235,b'1'
5.94245,7.49019,b'1'
5.96257,7.42824,b'1'
5.98395,7.3665,b'1'
6.00657,7.30502,b'1'
6.03044,7.24381,b'1'
6.05556,7.1829,b'1'
6.08192,7.12231,b'1'
6.10953,7.06207,b'1'
10.50973,9.0284611,b'1'
10.58277,9.592403,b'1'
6.13837,7.00221,b'1'
6.16844,6.94275,b'1'
6.19974,6.88372,b'1'
6.23226,6.82513,b'1'
6.266,6.76703,b'1'
6.30095,6.70942,b'1'
6.33711,6.65234,b'1'
6.37445,6.59582,b'1'
6.41299,6.53986,b'1'
6.4527,6.48451,b'1'
10.58062,9.625812,b'1'
6.49359,6.42979,b'1'
6.53563,6.37571,b'1'
6.57882,6.32231,b'1'
6.62316,6.26961,b'1'
6.66862,6.21763,b'1'
