x,y,class
-3.053,0.787,b'1'
-2.535,1.088,b'1'
-2.667,0.611,b'1'
-2.598,1.323,b'1'
2.173,0.864,b'1'
0.606,0.742,b'1'
-1.686,0.854,b'1'
2.307,1.196,b'1'
0.52,1.155,b'1'
-0.484,0.985,b'1'
-1.857,1.337,b'1'
-3.46,0.868,b'1'
-0.324,1.237,b'1'
0.319,1.149,b'1'
0.714,1.399,b'1'
-2.184,1.529,b'1'
0.128,1.446,b'1'
2.357,0.693,b'1'
0.605,1.402,b'1'
-0.77,1.401,b'1'
1.199,1.135,b'1'
-4.58,1.124,b'1'
2.693,1.038,b'1'
-1.969,0.901,b'1'
0.597,1.031,b'1'
-3.557,1.064,b'1'
4.359,1.041,b'1'
-4.393,1.371,b'1'
-3.509,0.876,b'1'
-0.494,0.743,b'1'
2.767,1.281,b'1'
0.926,1.275,b'1'
0.161,0.716,b'1'
3.213,0.846,b'1'
3.715,1.502,b'1'
3.889,0.644,b'1'
-1.021,1.156,b'1'
-3.313,1.288,b'1'
-0.105,0.834,b'1'
-4.164,1.255,b'1'
3.566,1.288,b'1'
-0.949,0.628,b'1'
-2.198,1.493,b'1'
0.898,1.26,b'1'
-2.996,0.668,b'1'
2.913,1.001,b'1'
-0.088,0.893,b'1'
-3.48,1.211,b'1'
-0.642,0.825,b'1'
1.87,0.805,b'1'
-0.952,1.485,b'1'
-2.33,0.901,b'1'
-0.39,1.052,b'1'
4.044,1.107,b'1'
1.593,1.549,b'1'
-1.297,0.868,b'1'
-1.516,1.203,b'1'
-3.205,1.021,b'1'
-1.776,1.122,b'1'
-1.997,1.535,b'1'
-4.031,0.632,b'1'
3.695,1.299,b'1'
-0.956,1.342,b'1'
0.106,1.458,b'1'
-0.767,1.219,b'1'
-3.211,1.33,b'1'
3.486,1.483,b'1'
-0.581,1.541,b'1'
-1.476,0.938,b'1'
3.407,1.408,b'1'
-2.11,1.324,b'1'
-0.363,0.971,b'1'
1.96,0.668,b'1'
-0.857,0.981,b'1'
-3.693,0.845,b'1'
-0.163,1.078,b'1'
-3.014,1.023,b'1'
-3.621,0.854,b'1'
-1.842,0.731,b'1'
3.689,0.96,b'1'
-1.173,0.894,b'1'
-0.394,0.854,b'1'
-2.588,0.67,b'1'
-1.131,1.172,b'1'
2.051,1.406,b'1'
-1.009,0.669,b'1'
-4.418,0.845,b'1'
1.451,0.751,b'1'
-2.588,0.978,b'1'
2.061,0.894,b'1'
0.667,1.17,b'1'
3.679,1.513,b'1'
4.367,0.964,b'1'
3.106,0.746,b'1'
-1.707,1.024,b'1'
3.86,0.743,b'1'
3.876,1.023,b'1'
2.31,1.506,b'1'
-1.027,1.042,b'1'
2.032,0.653,b'1'
-1.256,1.459,b'1'
-1.52,1.517,b'1'
1.011,0.822,b'1'
-3.825,0.975,b'1'
0.767,0.768,b'1'
2.72,0.655,b'1'
1.578,0.824,b'1'
-1.978,1.305,b'1'
3.468,1.542,b'1'
-2.352,1.554,b'1'
-3.453,1.371,b'1'
-2.643,0.616,b'1'
1.373,0.827,b'1'
0.956,0.744,b'1'
-3.831,1.061,b'1'
3.003,1.04,b'1'
2.012,0.927,b'1'
3.975,1.353,b'1'
0.404,1.233,b'1'
-2.932,0.79,b'1'
1.747,8.187,b'2'
0.219,6.065,b'2'
2.688,4.617,b'2'
2.133,3.011,b'2'
1.824,5.002,b'2'
1.923,3.626,b'2'
0.973,6.264,b'2'
0.668,8.206,b'2'
0.342,5.024,b'2'
3.114,4.254,b'2'
0.876,10.907,b'2'
0.796,9.325,b'2'
2.32,4.555,b'2'
1.078,7.116,b'2'
1.585,7.64,b'2'
2.943,5.737,b'2'
0.332,4.14,b'2'
2.468,6.952,b'2'
1.476,6.637,b'2'
0.571,9.919,b'2'
0.749,5.69,b'2'
2.514,3.799,b'2'
1.243,5.416,b'2'
1.129,10.721,b'2'
1.928,6.846,b'2'
1.788,3.957,b'2'
0.293,4.847,b'2'
2.405,10.802,b'2'
1.88,7.83,b'2'
1.001,8.21,b'2'
2.999,4.535,b'2'
2.298,3.02,b'2'
1.724,9.077,b'2'
1.493,3.438,b'2'
0.665,7.631,b'2'
2.501,4.667,b'2'
2.397,6.431,b'2'
1.063,7.043,b'2'
1.664,3.796,b'2'
3.159,5.441,b'2'
2.683,4.207,b'2'
1.971,6.905,b'2'
1.291,9.276,b'2'
0.91,9.106,b'2'
1.343,5.651,b'2'
1.567,5.681,b'2'
1.4,8.526,b'2'
1.875,10.264,b'2'
1.961,7.116,b'2'
2.256,10.813,b'2'
0.446,10.47,b'2'
2.515,9.902,b'2'
3.177,5.489,b'2'
2.244,6.245,b'2'
0.779,5.556,b'2'
1.12,5.287,b'2'
0.888,9.323,b'2'
1.695,3.234,b'2'
1.342,5.436,b'2'
1.855,8.774,b'2'
2.366,5.688,b'2'
1.441,7.651,b'2'
0.228,3.285,b'2'
2.602,5.893,b'2'
2.259,3.498,b'2'
1.86,8.525,b'2'
1.804,9.068,b'2'
2.341,10.513,b'2'
2.601,4.711,b'2'
1.712,10.293,b'2'
1.389,5.12,b'2'
1.811,3.722,b'2'
1.158,5.225,b'2'
2.673,10.47,b'2'
2.405,5.605,b'2'
0.848,10.885,b'2'
2.317,6.27,b'2'
2.501,3.168,b'2'
1.41,8.452,b'2'
0.543,5.644,b'2'
0.707,8.583,b'2'
0.393,4.949,b'2'
1.211,9.303,b'2'
0.468,7.002,b'2'
