x,y,class
4.489013,3.949385,b'1'
3.234519,3.032182,b'1'
2.339381,3.233512,b'1'
3.067888,3.272515,b'1'
3.337977,3.214286,b'1'
1.623692,1.968673,b'1'
4.459075,3.803079,b'1'
2.746071,2.881115,b'1'
3.022935,3.244224,b'1'
2.634098,2.410794,b'1'
2.209555,2.269341,b'1'
2.93852,4.243461,b'1'
3.307581,3.077136,b'1'
4.325037,3.338618,b'1'
2.868755,2.639683,b'1'
2.849528,2.990066,b'1'
3.360591,3.146077,b'1'
1.935163,2.120289,b'1'
3.001328,3.005997,b'1'
2.815287,2.893017,b'1'
1.970595,2.479919,b'1'
3.990677,3.728278,b'1'
3.402707,3.298334,b'1'
3.945814,2.965621,b'1'
2.735176,2.44998,b'1'
3.608432,3.170064,b'1'
3.252739,3.002152,b'1'
2.484497,3.060198,b'1'
3.994705,3.673803,b'1'
2.799814,2.734718,b'1'
2.907117,2.647374,b'1'
3.115223,4.262139,b'1'
2.973952,2.696356,b'1'
3.986648,3.551485,b'1'
3.326075,3.389431,b'1'
1.859722,1.628361,b'1'
2.762185,2.475341,b'1'
2.888989,3.010208,b'1'
2.817301,3.156148,b'1'
3.017533,2.841655,b'1'
3.685522,3.447386,b'1'
3.414609,3.078967,b'1'
2.412534,2.670171,b'1'
3.551576,3.318201,b'1'
3.1198,3.169698,b'1'
3.662816,3.273339,b'1'
1.914106,2.575411,b'1'
2.720985,2.346248,b'1'
3.747047,3.591311,b'1'
4.447722,3.787515,b'1'
2.788827,2.815561,b'1'
3.065783,2.989334,b'1'
3.015519,3.216941,b'1'
2.533937,2.938429,b'1'
2.929548,3.161733,b'1'
3.606601,3.310785,b'1'
3.96147,3.833018,b'1'
3.200095,3.34109,b'1'
3.943892,3.325709,b'1'
2.584658,2.652593,b'1'
3.367641,3.577944,b'1'
2.17513,2.389279,b'1'
3.093066,3.12978,b'1'
2.019761,2.741035,b'1'
4.233482,4.22158,b'1'
2.910321,2.896588,b'1'
1.983322,2.480926,b'1'
3.507996,2.27694,b'1'
3.990402,4.059343,b'1'
1.925916,1.847545,b'1'
3.645787,3.182974,b'1'
4.467864,3.664098,b'1'
3.275536,3.071001,b'1'
4.161977,3.177847,b'1'
3.09508,2.91792,b'1'
4.149342,2.954726,b'1'
3.058275,2.963149,b'1'
3.212088,3.750984,b'1'
2.805124,2.793954,b'1'
4.023911,3.317652,b'1'
1.784738,2.587313,b'1'
2.851543,2.983566,b'1'
3.440977,3.477416,b'1'
3.884014,3.279107,b'1'
2.566988,1.667821,b'1'
3.63187,3.683508,b'1'
4.088458,3.490051,b'1'
3.419828,3.19982,b'1'
2.707251,2.4476,b'1'
3.235984,3.104053,b'1'
3.289636,3.267296,b'1'
2.4129,2.971023,b'1'
3.734321,3.365169,b'1'
3.03209,3.086383,b'1'
3.335414,2.976608,b'1'
3.027696,2.906568,b'1'
4.230003,3.549654,b'1'
2.794412,2.961592,b'1'
2.394681,2.819956,b'1'
3.058641,2.859142,b'1'
4.406613,3.409665,b'1'
2.688025,2.837901,b'1'
3.278008,2.598025,b'1'
3.077044,3.235527,b'1'
2.397153,2.696722,b'1'
3.55121,3.163015,b'1'
4.190451,3.168416,b'1'
3.975661,3.483825,b'1'
2.23281,2.231712,b'1'
3.067614,2.632267,b'1'
4.437742,3.717017,b'1'
3.95735,3.623539,b'1'
1.619938,2.30633,b'1'
2.358333,2.488342,b'1'
2.216697,3.00325,b'1'
1.918134,2.094745,b'1'
4.448454,3.367367,b'1'
4.092486,3.572451,b'1'
3.174734,3.003067,b'1'
2.684088,3.011216,b'1'
2.024979,1.756264,b'1'
3.234336,3.186087,b'1'
2.188406,3.151204,b'1'
3.201285,3.398129,b'1'
3.079424,3.077868,b'1'
3.771584,3.194418,b'1'
3.158528,4.194937,b'1'
3.240745,2.722175,b'1'
3.004074,2.656713,b'1'
4.359004,3.983718,b'1'
3.045457,3.725257,b'1'
3.311518,3.196341,b'1'
3.102863,3.114399,b'1'
2.70423,2.82728,b'1'
2.041917,2.068468,b'1'
3.529603,3.167592,b'1'
1.794351,2.203787,b'1'
3.494263,3.562563,b'1'
4.08269,3.480621,b'1'
2.457213,3.019456,b'1'
3.813425,3.711249,b'1'
3.066973,3.531343,b'1'
2.773629,2.88963,b'1'
2.249748,2.807321,b'1'
3.618595,3.175283,b'1'
2.797983,2.84019,b'1'
1.904126,3.045457,b'1'
3.362239,2.910504,b'1'
2.943556,2.240318,b'1'
