x,y,class
9.802,10.132,b'1'
10.35,9.768,b'1'
10.098,9.988,b'1'
9.73,9.91,b'1'
9.754,10.43,b'1'
9.836,9.902,b'1'
10.238,9.866,b'1'
9.53,9.862,b'1'
10.154,9.82,b'1'
9.336,10.456,b'1'
9.378,10.21,b'1'
9.712,10.264,b'1'
9.638,10.208,b'1'
9.518,9.956,b'1'
10.236,9.91,b'1'
9.4,10.086,b'1'
10.196,9.746,b'1'
10.138,9.828,b'1'
10.062,10.26,b'1'
10.394,9.984,b'1'
10.284,10.348,b'1'
9.706,9.978,b'1'
9.906,10.588,b'1'
10.356,9.198,b'1'
9.954,9.704,b'1'
9.796,10.378,b'1'
10.386,10.608,b'1'
10.41,9.912,b'1'
10.172,10.598,b'1'
10.286,9.712,b'1'
9.932,10.234,b'1'
10.298,9.948,b'1'
10.352,9.932,b'1'
9.848,10.328,b'1'
10.514,10.498,b'1'
9.944,9.934,b'1'
9.92,10.022,b'1'
9.908,10.606,b'1'
10.182,9.99,b'1'
10.256,9.25,b'1'
12.04,10.028,b'2'
12.082,10.044,b'2'
12.4,10.156,b'2'
11.988,9.926,b'2'
12.34,9.918,b'2'
12.228,9.978,b'2'
12.348,10.488,b'2'
12.044,9.358,b'2'
11.736,10.122,b'2'
12.35,9.798,b'2'
11.246,10.122,b'2'
12.276,10.99,b'2'
12.374,10.018,b'2'
12.53,10.0,b'2'
12.27,9.792,b'2'
12.364,10.176,b'2'
12.458,10.18,b'2'
11.952,9.682,b'2'
11.772,9.924,b'2'
11.502,10.008,b'2'
12.134,9.482,b'2'
11.628,10.286,b'2'
12.064,9.616,b'2'
11.906,9.82,b'2'
11.736,10.29,b'2'
12.114,10.904,b'2'
11.59,9.712,b'2'
12.648,9.814,b'2'
12.164,11.018,b'2'
12.22,9.796,b'2'
11.846,9.634,b'2'
11.808,10.058,b'2'
12.096,9.846,b'2'
11.594,10.078,b'2'
12.252,9.938,b'2'
11.998,9.676,b'2'
11.894,10.012,b'2'
12.274,9.936,b'2'
12.176,10.364,b'2'
12.104,10.388,b'2'
11.372,11.466,b'3'
10.94,11.482,b'3'
11.084,11.554,b'3'
11.232,11.374,b'3'
11.22,11.64,b'3'
10.962,11.75,b'3'
11.014,11.746,b'3'
11.524,10.982,b'3'
11.012,11.364,b'3'
11.2,11.062,b'3'
11.626,11.894,b'3'
11.23,11.728,b'3'
11.144,11.91,b'3'
11.106,11.868,b'3'
11.53,11.918,b'3'
11.21,11.114,b'3'
10.746,11.702,b'3'
11.154,11.692,b'3'
11.412,11.924,b'3'
10.948,11.532,b'3'
10.988,12.298,b'3'
10.96,11.392,b'3'
11.656,11.346,b'3'
11.178,12.062,b'3'
11.368,11.56,b'3'
11.264,11.724,b'3'
11.554,11.576,b'3'
10.974,11.114,b'3'
11.12,11.634,b'3'
11.51,12.052,b'3'
10.95,11.402,b'3'
11.864,12.406,b'3'
11.198,10.854,b'3'
11.65,11.496,b'3'
11.248,11.722,b'3'
11.602,11.888,b'3'
11.424,11.454,b'3'
11.312,11.718,b'3'
10.736,11.68,b'3'
11.56,11.798,b'3'
10.028,12.268,b'4'
9.282,11.976,b'4'
9.178,11.53,b'4'
9.954,12.398,b'4'
9.622,11.558,b'4'
9.914,11.844,b'4'
9.07,11.092,b'4'
10.578,11.354,b'4'
9.582,12.14,b'4'
9.622,11.528,b'4'
9.35,11.71,b'4'
10.234,11.974,b'4'
8.986,12.31,b'4'
9.438,12.11,b'4'
9.592,12.012,b'4'
9.666,11.88,b'4'
9.364,12.012,b'4'
9.71,11.772,b'4'
9.992,11.836,b'4'
9.916,12.028,b'4'
9.382,12.226,b'4'
9.808,12.23,b'4'
9.272,12.152,b'4'
9.392,11.18,b'4'
9.28,11.976,b'4'
9.848,11.632,b'4'
9.322,11.514,b'4'
9.718,11.95,b'4'
9.12,11.76,b'4'
8.978,12.37,b'4'
10.072,12.202,b'4'
9.966,11.822,b'4'
9.506,11.648,b'4'
9.702,11.536,b'4'
9.45,11.96,b'4'
9.916,11.962,b'4'
9.96,11.538,b'4'
9.014,11.744,b'4'
9.024,11.846,b'4'
10.296,11.61,b'4'
7.87,10.838,b'5'
8.164,10.534,b'5'
8.214,10.62,b'5'
8.166,10.698,b'5'
8.05,10.746,b'5'
7.978,11.13,b'5'
8.08,10.992,b'5'
8.472,11.082,b'5'
8.494,10.584,b'5'
8.354,10.38,b'5'
8.096,10.714,b'5'
7.882,10.832,b'5'
7.908,11.346,b'5'
7.814,10.872,b'5'
8.28,10.104,b'5'
8.082,10.676,b'5'
8.068,10.118,b'5'
8.116,10.698,b'5'
8.042,10.79,b'5'
8.096,10.878,b'5'
8.124,10.932,b'5'
8.632,11.124,b'5'
8.27,10.716,b'5'
7.622,10.148,b'5'
8.198,11.398,b'5'
8.582,11.064,b'5'
7.942,11.076,b'5'
8.004,10.574,b'5'
8.504,11.378,b'5'
8.118,11.012,b'5'
7.874,11.296,b'5'
7.668,10.924,b'5'
7.966,10.72,b'5'
7.94,10.996,b'5'
7.988,11.228,b'5'
8.164,11.112,b'5'
8.386,10.772,b'5'
8.248,10.994,b'5'
8.286,10.734,b'5'
8.224,10.316,b'5'
7.976,9.578,b'6'
7.876,8.796,b'6'
8.172,9.01,b'6'
8.068,9.202,b'6'
8.416,8.654,b'6'
8.71,8.458,b'6'
8.056,8.434,b'6'
7.304,9.266,b'6'
8.118,8.608,b'6'
7.616,9.446,b'6'
8.092,8.956,b'6'
8.368,8.968,b'6'
8.022,9.334,b'6'
8.32,9.062,b'6'
7.832,8.952,b'6'
7.704,8.672,b'6'
8.236,9.108,b'6'
8.37,8.904,b'6'
8.352,8.896,b'6'
8.046,9.228,b'6'
7.71,9.538,b'6'
8.534,8.55,b'6'
7.996,9.172,b'6'
8.046,9.204,b'6'
8.622,9.174,b'6'
7.776,8.898,b'6'
8.226,9.038,b'6'
7.904,9.194,b'6'
7.874,8.856,b'6'
7.992,8.952,b'6'
8.262,9.468,b'6'
8.088,9.294,b'6'
8.034,9.792,b'6'
8.352,9.016,b'6'
7.85,9.334,b'6'
8.404,9.366,b'6'
7.892,8.808,b'6'
8.202,9.232,b'6'
7.668,9.026,b'6'
8.242,9.308,b'6'
9.432,8.61,b'7'
10.066,8.19,b'7'
9.146,8.044,b'7'
9.662,7.866,b'7'
9.6,7.874,b'7'
8.618,8.552,b'7'
9.334,7.658,b'7'
9.424,7.83,b'7'
8.892,8.166,b'7'
9.386,7.746,b'7'
9.878,8.054,b'7'
9.558,7.948,b'7'
9.222,8.002,b'7'
9.52,8.282,b'7'
9.76,7.932,b'7'
9.568,8.052,b'7'
9.736,7.552,b'7'
9.584,8.478,b'7'
9.358,8.242,b'7'
9.404,7.79,b'7'
9.458,8.54,b'7'
9.482,7.766,b'7'
8.844,8.024,b'7'
9.29,8.472,b'7'
9.274,7.566,b'7'
9.11,8.014,b'7'
9.542,7.688,b'7'
9.432,8.122,b'7'
9.786,8.066,b'7'
9.382,7.664,b'7'
9.404,8.228,b'7'
9.146,8.158,b'7'
9.622,8.004,b'7'
10.286,7.892,b'7'
9.43,7.676,b'7'
9.44,8.058,b'7'
9.788,7.684,b'7'
9.586,7.91,b'7'
9.694,7.448,b'7'
9.576,7.866,b'7'
11.442,8.688,b'8'
11.466,8.558,b'8'
10.674,8.936,b'8'
11.23,8.126,b'8'
11.614,8.588,b'8'
11.59,8.496,b'8'
11.536,7.586,b'8'
11.638,8.266,b'8'
11.16,8.43,b'8'
10.904,8.532,b'8'
11.284,8.742,b'8'
11.25,8.192,b'8'
10.84,8.218,b'8'
11.798,8.836,b'8'
11.51,8.094,b'8'
10.932,7.796,b'8'
11.404,8.206,b'8'
11.088,8.326,b'8'
11.334,8.17,b'8'
11.272,8.394,b'8'
11.59,8.408,b'8'
11.212,8.516,b'8'
11.566,8.024,b'8'
11.246,8.584,b'8'
11.252,8.566,b'8'
10.78,8.294,b'8'
11.04,8.322,b'8'
11.198,7.886,b'8'
11.168,8.262,b'8'
11.88,8.08,b'8'
11.356,8.586,b'8'
11.182,8.342,b'8'
10.836,8.664,b'8'
11.696,8.906,b'8'
11.282,8.28,b'8'
10.718,8.534,b'8'
10.444,8.684,b'8'
11.124,8.618,b'8'
11.392,8.94,b'8'
11.212,8.308,b'8'
16.674,9.638,b'9'
16.162,10.302,b'9'
16.612,10.218,b'9'
16.1,9.702,b'9'
16.404,10.072,b'9'
15.93,10.106,b'9'
16.128,9.888,b'9'
16.41,10.188,b'9'
15.982,9.92,b'9'
16.224,10.02,b'9'
16.296,9.458,b'9'
16.586,10.174,b'9'
16.314,10.716,b'9'
16.278,9.452,b'9'
16.622,9.652,b'9'
16.22,9.494,b'9'
16.626,10.162,b'9'
16.982,10.596,b'9'
16.27,10.128,b'9'
16.202,9.7,b'9'
16.532,9.776,b'9'
17.124,9.726,b'9'
16.47,9.698,b'9'
16.004,10.28,b'9'
16.366,9.796,b'9'
16.268,9.522,b'9'
16.13,9.748,b'9'
16.67,10.498,b'9'
16.488,10.542,b'9'
16.57,10.21,b'9'
16.456,10.112,b'9'
16.482,9.986,b'9'
16.584,9.754,b'9'
16.1,9.93,b'9'
16.226,9.67,b'9'
16.448,9.566,b'9'
16.572,9.624,b'9'
16.436,9.41,b'9'
16.502,9.98,b'9'
16.418,9.966,b'9'
14.362,14.644,b'10'
14.138,14.63,b'10'
14.064,15.072,b'10'
13.692,14.958,b'10'
14.238,15.296,b'10'
13.73,15.128,b'10'
13.952,14.868,b'10'
13.986,14.77,b'10'
13.916,14.996,b'10'
13.874,14.954,b'10'
14.168,15.276,b'10'
14.278,15.152,b'10'
14.098,14.9,b'10'
13.764,15.212,b'10'
13.948,14.218,b'10'
14.13,14.838,b'10'
13.362,14.932,b'10'
13.546,14.844,b'10'
14.13,15.11,b'10'
13.816,14.602,b'10'
14.386,14.686,b'10'
13.786,14.726,b'10'
14.204,14.822,b'10'
13.856,15.206,b'10'
14.074,14.384,b'10'
13.68,14.988,b'10'
14.204,14.976,b'10'
13.388,15.39,b'10'
13.708,15.048,b'10'
14.114,15.366,b'10'
14.4,15.04,b'10'
14.194,15.04,b'10'
13.888,15.436,b'10'
13.958,15.322,b'10'
13.922,14.802,b'10'
13.652,14.602,b'10'
14.294,14.996,b'10'
13.81,14.526,b'10'
13.408,15.34,b'10'
13.834,14.778,b'10'
8.826,16.474,b'11'
8.33,16.488,b'11'
8.468,16.378,b'11'
8.904,15.846,b'11'
8.662,16.354,b'11'
8.684,16.776,b'11'
8.33,16.066,b'11'
8.904,16.402,b'11'
8.778,16.486,b'11'
8.81,16.458,b'11'
8.398,16.576,b'11'
8.542,15.918,b'11'
9.064,16.456,b'11'
9.152,16.094,b'11'
8.614,15.908,b'11'
8.566,17.012,b'11'
8.12,16.11,b'11'
8.844,16.026,b'11'
8.398,16.282,b'11'
8.808,15.59,b'11'
8.502,16.166,b'11'
8.942,16.19,b'11'
8.376,16.112,b'11'
8.518,15.84,b'11'
8.878,16.004,b'11'
8.582,16.774,b'11'
8.248,16.154,b'11'
8.588,16.24,b'11'
8.706,16.374,b'11'
8.524,16.392,b'11'
8.458,16.452,b'11'
8.83,16.36,b'11'
8.616,16.112,b'11'
8.844,16.362,b'11'
8.468,15.928,b'11'
8.62,16.674,b'11'
8.974,16.53,b'11'
8.826,16.084,b'11'
8.104,15.962,b'11'
8.386,16.24,b'11'
4.576,12.878,b'12'
4.46,13.16,b'12'
3.632,12.862,b'12'
4.238,12.506,b'12'
4.348,13.268,b'12'
3.788,12.372,b'12'
4.19,12.772,b'12'
3.86,12.706,b'12'
3.978,13.308,b'12'
4.336,12.854,b'12'
4.218,13.03,b'12'
4.25,13.002,b'12'
4.334,13.06,b'12'
4.654,12.566,b'12'
4.38,12.792,b'12'
3.968,13.016,b'12'
4.614,12.526,b'12'
3.95,12.67,b'12'
4.038,12.67,b'12'
4.426,12.238,b'12'
4.066,12.514,b'12'
4.248,12.392,b'12'
4.61,12.95,b'12'
4.328,12.99,b'12'
4.5,12.522,b'12'
4.176,12.71,b'12'
4.492,12.464,b'12'
4.134,12.834,b'12'
4.316,12.764,b'12'
4.454,12.084,b'12'
4.052,12.934,b'12'
4.26,13.118,b'12'
4.058,13.718,b'12'
4.24,12.626,b'12'
3.838,12.232,b'12'
4.128,13.4,b'12'
3.764,12.38,b'12'
4.424,13.186,b'12'
4.234,12.994,b'12'
5.13,13.296,b'12'
3.9,6.742,b'13'
3.994,7.206,b'13'
4.278,7.222,b'13'
4.172,6.848,b'13'
3.882,6.894,b'13'
3.936,6.994,b'13'
4.162,6.87,b'13'
3.762,7.1,b'13'
4.256,7.612,b'13'
4.55,6.822,b'13'
4.062,6.984,b'13'
4.026,7.23,b'13'
4.364,7.184,b'13'
4.292,7.208,b'13'
4.288,6.91,b'13'
4.018,7.062,b'13'
4.07,7.104,b'13'
4.548,7.654,b'13'
4.402,7.082,b'13'
3.692,7.49,b'13'
4.888,7.194,b'13'
4.456,7.146,b'13'
4.732,7.154,b'13'
4.088,7.212,b'13'
4.502,6.928,b'13'
3.402,7.434,b'13'
4.246,6.692,b'13'
4.166,7.256,b'13'
4.852,6.83,b'13'
4.398,7.428,b'13'
5.016,7.054,b'13'
4.25,6.76,b'13'
3.738,7.082,b'13'
4.254,7.264,b'13'
4.122,7.238,b'13'
3.878,7.232,b'13'
4.55,7.29,b'13'
4.03,7.126,b'13'
4.412,7.022,b'13'
4.276,7.244,b'13'
8.376,3.788,b'14'
8.81,3.864,b'14'
8.218,3.548,b'14'
8.374,3.748,b'14'
8.102,4.3,b'14'
8.386,3.952,b'14'
8.858,3.274,b'14'
8.884,3.504,b'14'
8.294,3.38,b'14'
8.38,3.178,b'14'
8.738,4.294,b'14'
9.1,3.84,b'14'
9.086,3.6,b'14'
8.616,3.45,b'14'
8.624,3.698,b'14'
8.632,3.82,b'14'
8.286,3.704,b'14'
8.816,3.58,b'14'
8.722,3.854,b'14'
8.298,3.378,b'14'
9.014,4.034,b'14'
8.87,3.554,b'14'
8.562,3.662,b'14'
8.6,3.828,b'14'
8.94,3.836,b'14'
8.768,4.32,b'14'
8.838,3.926,b'14'
8.288,3.466,b'14'
8.652,3.782,b'14'
8.376,3.956,b'14'
7.724,3.414,b'14'
8.374,4.136,b'14'
8.6,3.712,b'14'
9.026,3.788,b'14'
8.534,3.252,b'14'
8.874,3.602,b'14'
8.796,3.888,b'14'
8.592,3.988,b'14'
8.98,4.014,b'14'
8.562,3.856,b'14'
13.894,4.16,b'15'
14.278,5.26,b'15'
14.364,4.748,b'15'
14.108,4.918,b'15'
13.998,5.498,b'15'
14.4,5.296,b'15'
14.3,5.368,b'15'
13.958,5.35,b'15'
13.842,4.984,b'15'
13.85,4.246,b'15'
13.978,5.356,b'15'
14.366,5.104,b'15'
14.272,4.94,b'15'
14.336,5.176,b'15'
14.744,5.248,b'15'
14.306,5.06,b'15'
13.986,5.05,b'15'
14.44,5.33,b'15'
14.004,4.92,b'15'
13.332,4.592,b'15'
14.218,5.544,b'15'
14.154,4.768,b'15'
13.468,4.92,b'15'
13.67,5.406,b'15'
13.664,5.016,b'15'
14.12,4.87,b'15'
13.836,4.51,b'15'
14.204,5.064,b'15'
14.004,5.228,b'15'
13.266,4.858,b'15'
13.668,5.34,b'15'
14.528,4.812,b'15'
14.318,4.592,b'15'
14.018,5.182,b'15'
14.37,4.884,b'15'
14.198,4.804,b'15'
14.32,4.59,b'15'
13.636,5.218,b'15'
14.41,4.656,b'15'
14.02,5.614,b'15'
