x,y,class
15.55,28.65,b'2'
14.9,27.55,b'2'
14.45,28.35,b'2'
14.15,28.8,b'2'
13.75,28.05,b'2'
13.35,28.45,b'2'
13.0,29.15,b'2'
13.45,27.5,b'2'
13.6,26.5,b'2'
12.8,27.35,b'2'
12.4,27.85,b'2'
12.3,28.4,b'2'
12.2,28.65,b'2'
13.4,25.1,b'2'
12.95,25.95,b'2'
12.9,26.5,b'2'
11.85,27.0,b'2'
11.35,28.0,b'2'
11.15,28.7,b'2'
11.25,27.4,b'2'
10.75,27.7,b'2'
10.5,28.35,b'2'
9.65,28.45,b'2'
10.25,27.25,b'2'
10.75,26.55,b'2'
11.7,26.35,b'2'
11.6,25.9,b'2'
11.9,25.05,b'2'
12.6,24.05,b'2'
11.9,24.5,b'2'
11.1,25.2,b'2'
10.55,25.15,b'2'
10.05,25.95,b'2'
9.35,26.6,b'2'
9.3,27.25,b'2'
9.2,27.8,b'2'
7.5,28.25,b'2'
8.55,27.45,b'2'
8.5,27.05,b'2'
8.05,27.2,b'2'
7.85,26.8,b'2'
7.3,27.4,b'2'
6.8,26.85,b'2'
7.0,26.5,b'2'
7.55,26.3,b'2'
8.55,26.3,b'2'
9.0,25.85,b'2'
8.6,25.65,b'2'
9.4,25.55,b'2'
8.45,25.05,b'2'
8.85,24.6,b'2'
9.65,24.7,b'2'
10.55,24.35,b'2'
11.05,23.9,b'2'
10.55,23.55,b'2'
9.45,23.35,b'2'
9.2,23.9,b'2'
8.35,23.9,b'2'
7.35,24.75,b'2'
7.4,25.45,b'2'
6.6,25.75,b'2'
6.1,26.0,b'2'
5.8,26.95,b'2'
5.65,25.8,b'2'
5.3,26.1,b'2'
6.4,25.4,b'2'
5.4,25.25,b'2'
5.35,24.7,b'2'
4.8,25.05,b'2'
4.2,25.55,b'2'
6.4,24.8,b'2'
6.55,24.3,b'2'
7.4,24.25,b'2'
5.45,24.2,b'2'
4.3,24.0,b'2'
4.0,24.25,b'2'
3.35,23.3,b'2'
4.85,23.05,b'2'
4.3,22.75,b'2'
5.85,23.4,b'2'
5.9,23.55,b'2'
7.55,23.7,b'2'
6.85,23.25,b'2'
7.65,23.1,b'2'
6.95,22.55,b'2'
6.1,22.6,b'2'
5.5,22.6,b'2'
4.7,22.1,b'2'
3.8,21.85,b'2'
4.65,21.2,b'2'
4.15,20.35,b'2'
5.3,20.4,b'2'
5.6,20.75,b'2'
5.8,21.95,b'2'
6.4,21.95,b'2'
6.55,21.15,b'2'
7.45,21.95,b'2'
7.4,21.55,b'2'
7.75,21.2,b'2'
7.65,20.65,b'2'
6.95,19.8,b'2'
6.6,20.1,b'2'
6.05,20.2,b'2'
5.4,19.65,b'2'
5.35,19.05,b'2'
5.8,18.25,b'2'
6.3,19.1,b'2'
7.0,18.9,b'2'
7.15,17.9,b'2'
7.35,18.2,b'2'
8.2,20.05,b'2'
8.3,19.45,b'2'
8.3,18.5,b'2'
8.75,18.8,b'2'
9.05,18.2,b'2'
9.35,17.7,b'2'
8.9,17.65,b'2'
8.45,17.2,b'2'
10.05,17.2,b'2'
10.4,16.75,b'2'
8.6,20.9,b'2'
8.65,21.3,b'2'
8.65,21.9,b'2'
8.65,22.5,b'2'
8.95,22.8,b'2'
9.95,22.65,b'2'
8.95,22.2,b'2'
9.65,21.9,b'2'
10.55,22.3,b'2'
10.9,22.85,b'2'
11.35,23.45,b'2'
12.05,23.4,b'2'
12.3,22.75,b'2'
11.7,22.15,b'2'
11.15,22.05,b'2'
10.85,21.5,b'2'
10.85,21.05,b'2'
9.6,21.3,b'2'
9.85,20.7,b'2'
9.35,20.6,b'2'
9.25,19.65,b'2'
9.95,19.8,b'2'
10.7,20.35,b'2'
11.3,20.7,b'2'
12.35,21.6,b'2'
13.1,21.3,b'2'
12.85,20.75,b'2'
12.0,20.0,b'2'
11.0,19.85,b'2'
10.35,19.0,b'2'
9.9,18.65,b'2'
10.6,18.15,b'2'
11.4,18.3,b'2'
11.4,19.25,b'2'
12.35,18.8,b'2'
12.8,19.75,b'2'
12.15,18.1,b'2'
11.05,17.5,b'2'
11.95,17.25,b'2'
12.25,17.5,b'2'
13.05,17.4,b'2'
13.75,18.15,b'2'
13.5,18.65,b'2'
13.65,19.25,b'2'
14.0,19.9,b'2'
15.2,18.2,b'2'
15.5,17.15,b'2'
13.9,17.1,b'2'
13.75,16.6,b'2'
12.15,16.4,b'2'
7.8,13.7,b'7'
8.85,13.35,b'7'
9.0,12.7,b'7'
9.7,12.1,b'7'
8.05,12.9,b'7'
7.7,13.25,b'7'
6.8,13.2,b'7'
6.6,13.45,b'7'
