x,y,class
0.228,0.559,b'Class 1'
0.216,0.528,b'Class 1'
0.221,0.552,b'Class 1'
0.215,0.538,b'Class 1'
0.224,0.548,b'Class 1'
0.232,0.553,b'Class 1'
0.216,0.525,b'Class 1'
0.225,0.538,b'Class 1'
0.206,0.554,b'Class 1'
0.219,0.582,b'Class 1'
0.216,0.575,b'Class 1'
0.212,0.567,b'Class 1'
0.241,0.551,b'Class 1'
0.238,0.538,b'Class 1'
0.232,0.524,b'Class 1'
0.24,0.545,b'Class 1'
0.223,0.528,b'Class 1'
0.222,0.527,b'Class 1'
0.233,0.562,b'Class 1'
0.19,0.546,b'Class 1'
0.209,0.558,b'Class 1'
0.239,0.559,b'Class 1'
0.24,0.54,b'Class 1'
0.222,0.557,b'Class 1'
0.22,0.539,b'Class 1'
0.233,0.548,b'Class 1'
0.221,0.558,b'Class 1'
0.212,0.564,b'Class 1'
0.244,0.584,b'Class 1'
0.236,0.558,b'Class 1'
0.229,0.532,b'Class 1'
0.23,0.547,b'Class 1'
0.238,0.551,b'Class 1'
0.244,0.54,b'Class 1'
0.238,0.542,b'Class 1'
0.234,0.559,b'Class 1'
0.232,0.534,b'Class 1'
0.226,0.527,b'Class 1'
0.199,0.59,b'Class 1'
0.223,0.552,b'Class 1'
0.226,0.525,b'Class 1'
0.241,0.537,b'Class 1'
0.214,0.517,b'Class 1'
0.213,0.556,b'Class 1'
0.226,0.532,b'Class 1'
0.214,0.565,b'Class 1'
0.223,0.573,b'Class 1'
0.225,0.552,b'Class 1'
0.258,0.554,b'Class 1'
0.208,0.594,b'Class 1'
0.222,0.535,b'Class 1'
0.212,0.547,b'Class 1'
0.21,0.553,b'Class 1'
0.211,0.545,b'Class 1'
0.236,0.551,b'Class 1'
0.229,0.568,b'Class 1'
0.241,0.565,b'Class 1'
0.235,0.546,b'Class 1'
0.22,0.562,b'Class 1'
0.196,0.552,b'Class 1'
0.226,0.539,b'Class 1'
0.211,0.582,b'Class 1'
0.237,0.552,b'Class 1'
0.223,0.56,b'Class 1'
0.226,0.562,b'Class 1'
0.246,0.543,b'Class 1'
0.219,0.551,b'Class 1'
0.232,0.571,b'Class 1'
0.227,0.545,b'Class 1'
0.213,0.566,b'Class 1'
0.235,0.561,b'Class 1'
0.237,0.574,b'Class 1'
0.218,0.523,b'Class 1'
0.227,0.573,b'Class 1'
0.244,0.551,b'Class 1'
0.232,0.555,b'Class 1'
0.239,0.563,b'Class 1'
0.234,0.575,b'Class 1'
0.219,0.564,b'Class 1'
0.253,0.56,b'Class 1'
0.241,0.567,b'Class 1'
0.231,0.532,b'Class 1'
0.228,0.576,b'Class 1'
0.214,0.548,b'Class 1'
0.23,0.587,b'Class 1'
0.234,0.539,b'Class 1'
0.227,0.536,b'Class 1'
0.216,0.544,b'Class 1'
0.228,0.563,b'Class 1'
0.235,0.549,b'Class 1'
0.234,0.589,b'Class 1'
0.203,0.575,b'Class 1'
0.248,0.567,b'Class 1'
0.226,0.537,b'Class 1'
0.213,0.594,b'Class 1'
0.223,0.534,b'Class 1'
0.25,0.579,b'Class 1'
0.207,0.523,b'Class 1'
0.233,0.576,b'Class 1'
0.242,0.584,b'Class 1'
0.221,0.556,b'Class 1'
0.234,0.568,b'Class 1'
0.231,0.58,b'Class 1'
0.228,0.559,b'Class 1'
0.215,0.545,b'Class 1'
0.244,0.573,b'Class 1'
0.225,0.572,b'Class 1'
0.248,0.544,b'Class 1'
0.239,0.55,b'Class 1'
0.23,0.579,b'Class 1'
0.244,0.6,b'Class 1'
0.229,0.571,b'Class 1'
0.224,0.574,b'Class 1'
0.251,0.578,b'Class 1'
0.224,0.56,b'Class 1'
0.26,0.6,b'Class 1'
0.206,0.57,b'Class 1'
0.208,0.589,b'Class 1'
0.218,0.561,b'Class 1'
0.22,0.562,b'Class 1'
0.231,0.607,b'Class 1'
0.203,0.562,b'Class 1'
0.229,0.546,b'Class 1'
0.256,0.553,b'Class 1'
0.245,0.576,b'Class 1'
0.227,0.6,b'Class 1'
0.237,0.559,b'Class 1'
0.236,0.607,b'Class 1'
0.245,0.586,b'Class 1'
0.231,0.581,b'Class 1'
0.215,0.557,b'Class 1'
0.245,0.568,b'Class 1'
0.212,0.56,b'Class 1'
0.213,0.579,b'Class 1'
0.227,0.578,b'Class 1'
0.224,0.593,b'Class 1'
0.221,0.584,b'Class 1'
0.211,0.579,b'Class 1'
0.215,0.61,b'Class 1'
0.23,0.569,b'Class 1'
0.223,0.553,b'Class 1'
0.216,0.578,b'Class 1'
0.222,0.568,b'Class 1'
0.244,0.588,b'Class 1'
0.238,0.557,b'Class 1'
0.24,0.576,b'Class 1'
0.24,0.603,b'Class 1'
0.231,0.591,b'Class 1'
0.239,0.625,b'Class 1'
0.219,0.622,b'Class 1'
0.23,0.565,b'Class 1'
0.227,0.615,b'Class 1'
0.215,0.606,b'Class 1'
0.217,0.613,b'Class 1'
0.234,0.591,b'Class 1'
0.236,0.596,b'Class 1'
0.223,0.559,b'Class 1'
0.229,0.579,b'Class 1'
0.236,0.594,b'Class 1'
0.213,0.595,b'Class 1'
0.243,0.587,b'Class 1'
0.236,0.61,b'Class 1'
0.231,0.591,b'Class 1'
0.216,0.577,b'Class 1'
0.227,0.636,b'Class 1'
0.214,0.598,b'Class 1'
0.237,0.598,b'Class 1'
0.238,0.619,b'Class 1'
0.222,0.591,b'Class 1'
0.226,0.59,b'Class 1'
0.252,0.608,b'Class 1'
0.23,0.582,b'Class 1'
0.228,0.606,b'Class 1'
0.223,0.638,b'Class 1'
0.221,0.616,b'Class 1'
0.226,0.598,b'Class 1'
0.22,0.585,b'Class 1'
0.23,0.589,b'Class 1'
0.21,0.621,b'Class 1'
0.216,0.572,b'Class 1'
0.22,0.589,b'Class 1'
0.237,0.597,b'Class 1'
0.238,0.555,b'Class 1'
0.213,0.608,b'Class 1'
0.223,0.581,b'Class 1'
0.209,0.575,b'Class 1'
0.218,0.59,b'Class 1'
0.252,0.623,b'Class 1'
0.221,0.647,b'Class 1'
0.236,0.582,b'Class 1'
0.218,0.61,b'Class 1'
0.24,0.591,b'Class 1'
0.229,0.612,b'Class 1'
0.21,0.57,b'Class 1'
0.228,0.615,b'Class 1'
0.22,0.628,b'Class 1'
0.225,0.598,b'Class 1'
0.223,0.608,b'Class 1'
0.211,0.603,b'Class 1'
0.211,0.594,b'Class 1'
0.212,0.602,b'Class 1'
0.23,0.571,b'Class 1'
0.259,0.627,b'Class 1'
0.247,0.595,b'Class 1'
0.208,0.625,b'Class 1'
0.218,0.63,b'Class 1'
0.208,0.641,b'Class 1'
0.218,0.602,b'Class 1'
0.226,0.553,b'Class 1'
0.211,0.622,b'Class 1'
0.218,0.6,b'Class 1'
0.219,0.603,b'Class 1'
0.237,0.626,b'Class 1'
0.213,0.609,b'Class 1'
0.215,0.614,b'Class 1'
0.218,0.61,b'Class 1'
0.244,0.592,b'Class 1'
0.221,0.599,b'Class 1'
0.24,0.609,b'Class 1'
0.216,0.613,b'Class 1'
0.231,0.638,b'Class 1'
0.224,0.64,b'Class 1'
0.242,0.595,b'Class 1'
0.261,0.642,b'Class 1'
0.243,0.627,b'Class 1'
0.236,0.609,b'Class 1'
0.217,0.639,b'Class 1'
0.213,0.62,b'Class 1'
