x,y,class
-1.0763473569,-1.1043209523,b'1'
0.3044747827,-1.1025928933,b'1'
1.0056271024,-1.0755030315,b'1'
0.4627631189,-1.2771981739,b'1'
0.5394080127,-1.2280402631,b'1'
-0.6053745746,-0.6225064252,b'1'
-0.5786753053,-0.760326995,b'1'
-0.5956511376,-1.673086752,b'1'
-0.8728917293,-1.7284385432,b'1'
-0.5109770713,-1.6156906068,b'1'
-0.7835155154,-0.8030423161,b'1'
-0.122343345,-1.675701325,b'1'
-0.5442464783,-1.2883090079,b'1'
-0.8885692066,-0.8845269833,b'1'
-0.832419686,-1.6859042902,b'1'
0.1486046502,-1.0657502495,b'1'
-0.524318401,-1.105089283,b'1'
-0.4743154011,-1.2968040433,b'1'
0.4934426861,-1.3240140174,b'1'
-0.7134971882,-0.8752643399,b'1'
0.6053894171,-1.2927265406,b'1'
-0.9668572395,-1.2937064189,b'1'
-0.0168268235,-0.8980796847,b'1'
-0.9065309203,-0.7425721433,b'1'
-0.727158814,-0.9696086124,b'1'
-0.5347101345,-1.2863238949,b'1'
-1.2492576697,-1.196688256,b'1'
-1.0546787416,-0.6714617893,b'1'
-1.1425004734,-1.2692960307,b'1'
-0.4997427048,-1.0304073647,b'1'
1.1880897713,-1.3449444462,b'1'
-0.9957893545,-1.229168392,b'1'
-0.8465557812,-0.6622712173,b'1'
-0.3078893735,-1.6026067525,b'1'
-0.9472702082,-0.6661026407,b'1'
-0.9295349305,-0.6593206462,b'1'
-1.0997968033,-1.2814662702,b'1'
-0.5303838815,-0.9126085486,b'1'
-1.2943679511,-1.1958782207,b'1'
-0.6122729756,-1.7732858937,b'1'
-1.0205220027,-1.578908921,b'1'
-0.7811274134,-0.639059573,b'1'
-1.049131448,-0.8245432649,b'1'
0.6806354043,-0.634441242,b'1'
-0.038631243,-1.6464647315,b'1'
-0.6922741118,-1.2947917268,b'1'
-0.0084532237,-1.5904867046,b'1'
1.2879024371,-1.0854410108,b'1'
-1.0380911688,-1.4231248099,b'1'
1.1544210423,-1.3515322667,b'1'
1.1372913811,-1.143610746,b'1'
-0.4893173814,-1.3298000824,b'1'
-0.3984803015,-1.0960357055,b'1'
0.6731763471,-1.1944530923,b'1'
1.3396268585,-1.1770996232,b'1'
-0.1698485784,-1.734240488,b'1'
-1.1642429025,-0.7395761251,b'1'
-0.3466204105,-1.2117973905,b'1'
-0.1965919615,-1.1785955507,b'1'
-0.1880562412,-1.7402467776,b'1'
-1.156366879,-1.0803227846,b'1'
0.8425899262,-1.5795547146,b'1'
0.716890547,-1.1651655722,b'1'
0.5818941974,-1.4168387737,b'1'
-0.4358570944,-0.8854080237,b'1'
-0.2116764351,-1.2025803939,b'1'
-1.0695700058,-1.6151651237,b'1'
-0.0590625797,-1.5482711252,b'1'
0.9521164483,-1.088092082,b'1'
-0.5291391365,-0.911889014,b'1'
-1.0357607147,-0.6868166756,b'1'
0.8639927059,-0.7850381147,b'1'
0.9325899751,-0.9276284471,b'1'
1.3459170338,-1.0772726677,b'1'
0.4479144543,-1.2546249952,b'1'
-0.5085212984,-0.8714312494,b'1'
0.0733039774,-0.9283169851,b'1'
-0.5359055135,-1.453322798,b'1'
0.1847632368,-1.6513997678,b'1'
-0.8775367162,-0.8871017661,b'1'
0.3864444804,-0.978802985,b'1'
-0.6738817361,-1.5642484244,b'1'
-1.021049259,-1.3007257834,b'1'
0.8418476873,-1.560554811,b'1'
0.0248557222,-1.3088983011,b'1'
0.8276855594,-1.1928657673,b'1'
-1.0958699941,-0.8077624876,b'1'
0.1869959568,-1.7604145154,b'1'
0.6954086033,-1.60845064,b'1'
-0.2114563988,-1.7089551926,b'1'
-0.7881542601,-0.9974119894,b'1'
1.3380280719,-1.3367471371,b'1'
0.7621253621,-1.1810992885,b'1'
1.2982588505,-0.8249218546,b'1'
0.0888979019,-1.1454019822,b'1'
-0.6578887246,-1.652731666,b'1'
-1.2117631562,-1.1990698457,b'1'
0.2494220707,-1.2679181363,b'1'
0.2779897065,-1.6705283687,b'1'
-1.2553471069,-0.9038019422,b'1'
-0.3977820869,-0.8856668863,b'1'
-0.3456257879,-0.8208596658,b'1'
-1.3215735086,-1.2898263197,b'1'
0.8950470045,-1.2283894781,b'1'
-0.6500926443,-1.5485802848,b'1'
-0.3645181487,-1.4131966647,b'1'
1.1661165349,-0.8450482953,b'1'
0.6626756451,-1.6507638019,b'1'
-0.1202949909,-1.6399397735,b'1'
0.5469304623,-0.7867899228,b'1'
0.4323079688,-1.4383925162,b'1'
0.3028316702,-0.8872776497,b'1'
0.3786938976,-1.6055594105,b'1'
0.1083399674,-1.3895458192,b'1'
1.2520813219,-1.3760266058,b'1'
0.1350125643,-0.8698947728,b'1'
1.1519266226,-1.0086207967,b'1'
-0.2584275694,-1.447852321,b'1'
-0.8576044253,-1.446536959,b'1'
-0.4229045781,-0.7647314426,b'1'
-0.8403552211,-0.7211115047,b'1'
-0.2864750111,-1.8547939729,b'1'
-0.4478085252,-1.5125112966,b'1'
-0.2023453856,-1.8018609531,b'1'
0.6517045802,-0.6882891655,b'1'
-0.0762986404,-1.4823189504,b'1'
1.1963226207,-1.4431531589,b'1'
-0.3630677741,-1.6033112973,b'1'
-1.29784276,-1.031894644,b'1'
-0.8327412438,-0.9103761852,b'1'
-1.029388273,-0.9657862499,b'1'
0.2588603397,-0.9299269818,b'1'
-0.0369628815,-0.8709568065,b'1'
-1.384397595,-1.2072939228,b'1'
-0.1107416313,-1.5724557679,b'1'
0.4472466086,-1.7262802247,b'1'
0.8893957098,-0.940504168,b'1'
1.0555152789,-1.3193772603,b'1'
-0.542028335,-1.4678448018,b'1'
-0.2191173619,-1.0475772038,b'1'
-0.5704605214,-1.7704216003,b'1'
0.5214867681,-1.7907644317,b'1'
0.5341576799,-0.9161728904,b'1'
0.6476539223,-1.0558424897,b'1'
-0.9277167804,-0.622910627,b'1'
0.1800100158,-1.2416069835,b'1'
0.5189312713,-1.4333940428,b'1'
0.7161583326,-0.8587282114,b'1'
0.2050372608,-1.7980819318,b'1'
0.3409304677,-1.4345388774,b'1'
0.7704488038,-0.8075155169,b'1'
1.0226056425,-1.4329311546,b'1'
0.0363022206,-0.8601002872,b'1'
-1.0238532782,-1.4409477726,b'1'
-1.2426493794,-1.4186558787,b'1'
-0.4491670348,-1.6590379156,b'1'
0.4555375795,-0.8457662448,b'1'
-0.6347044714,-1.0455535531,b'1'
0.6561818324,-1.1558552746,b'1'
0.876723494,-0.6881458726,b'1'
0.6838789459,-1.2971335027,b'1'
1.3611232536,-1.2115711186,b'1'
1.0579722325,-1.091297178,b'1'
-0.6834833038,-0.858449918,b'1'
0.6991689111,-1.0111938223,b'1'
-0.7052562827,-1.1294992369,b'1'
-0.3015589548,-1.2728875671,b'1'
-0.9047748328,-1.7918312583,b'1'
0.1295882831,-1.4710066579,b'1'
0.3488407577,-1.1844723638,b'1'
-1.0013516166,-1.6371653292,b'1'
0.0328067298,-1.3525420982,b'1'
0.6236781505,-1.8726823151,b'1'
0.0656953263,-1.2033262078,b'1'
0.4467669668,-1.504374877,b'1'
0.7286575964,-0.9755281392,b'1'
0.7352976336,-1.8487099867,b'1'
0.2768062358,-0.8786531411,b'1'
1.1497848186,-1.6071666405,b'1'
0.4376363777,-1.5595125936,b'1'
0.2944231273,-1.1465423577,b'1'
0.4706634364,-0.8183307264,b'1'
0.4860298336,-0.7465707228,b'1'
0.6865454826,-0.7726969536,b'1'
-1.0367907139,-0.8294264991,b'1'
1.1985597437,-1.1520887215,b'1'
-1.0852890797,-0.8458632514,b'1'
0.4381836126,-1.5686705008,b'1'
0.9345860127,-1.703562678,b'1'
0.1755885716,-0.8090154279,b'1'
0.3693076214,-1.7174611632,b'1'
-0.689545462,-1.1006007999,b'1'
-0.2627787464,-0.8224430829,b'1'
0.4175510318,-1.0510225099,b'1'
0.6895583512,-1.27716286,b'1'
-0.3334390377,-1.1219067674,b'1'
0.6930962562,-1.4081989843,b'1'
0.9155755025,-0.6866551686,b'1'
-0.6757208996,-1.7424834915,b'1'
0.3487267946,-0.7713825464,b'1'
0.5039967504,-0.7164833024,b'1'
-0.7198167529,-0.7198734444,b'1'
0.8138480319,-1.1202803735,b'1'
0.349091364,-0.8137098167,b'1'
-0.8397126504,-1.0349598024,b'1'
-0.2704607008,-1.4808597013,b'1'
-1.2253460131,-1.4275513411,b'1'
0.202560433,-1.6173746206,b'1'
1.2570316961,-1.1143030174,b'1'
-1.0588308809,-1.1459874187,b'1'
-0.3986666771,-1.0201816574,b'1'
0.3850426414,-0.9850127693,b'1'
-0.6102834339,-1.8212989513,b'1'
-0.9188614803,-1.2031301863,b'1'
-0.1983846024,-1.4773011733,b'1'
0.9576773376,-1.7659348708,b'1'
0.0262604871,-1.4680554714,b'1'
-0.673844355,-0.8152616985,b'1'
1.2448702014,-1.49413043,b'1'
-0.4807744867,-1.0362770248,b'1'
0.7727061104,-1.3254054058,b'1'
0.4774576482,-0.7791809138,b'1'
-0.5258887487,-1.1415170077,b'1'
1.08728876,-1.1282183245,b'1'
-0.1656234797,-1.203904599,b'1'
1.2243865626,-0.7647814378,b'1'
-0.5929575108,-0.7503038701,b'1'
-0.6721225022,-1.5570594683,b'1'
0.1585615958,-1.799398322,b'1'
-0.5378383352,-1.5299408983,b'1'
-0.7333112025,-1.0010634601,b'1'
1.0044959864,-1.3797553044,b'1'
-0.9184427066,-1.2860858805,b'1'
-0.6738576841,-0.6006619513,b'1'
-0.5517751098,-1.2807318252,b'1'
0.5861328016,-1.644555052,b'1'
-0.0976639994,-0.9329776309,b'1'
-0.2966055464,-1.7014014047,b'1'
1.2464933723,-0.7533559285,b'1'
0.3604207911,-1.6304057363,b'1'
0.9203038442,-1.5752537031,b'1'
0.1115510175,-1.3336957719,b'1'
1.052964324,-1.3210738439,b'1'
-0.7736055763,-1.2853681523,b'1'
-0.5055049239,-1.2275097225,b'1'
-0.5489680005,-0.9161858279,b'1'
-1.3645236272,-1.1421780344,b'1'
0.5937730561,-1.3544109304,b'1'
-0.249153855,-1.0773030899,b'1'
-1.2364460387,-1.1906949479,b'1'
-0.8638970516,-1.8009276919,b'1'
-0.1248547864,-1.7737603951,b'1'
-0.1685978852,-1.5502467394,b'1'
-1.1166200594,-1.2342092961,b'1'
0.3363033971,-0.8302202158,b'1'
-0.044061252,-1.0513636764,b'1'
-0.8339479102,-1.0367957395,b'1'
0.1466246209,-0.9094038814,b'1'
-0.3024371789,-0.7629543107,b'1'
-0.7003552894,-0.6822681654,b'1'
-0.3620211107,-1.1158904597,b'1'
-1.3005046037,-1.0637522504,b'1'
-1.3820057355,-1.1762478769,b'1'
-0.610870711,-1.1231530406,b'1'
1.1899072045,-1.1828560598,b'1'
0.8331692647,-1.6192034889,b'1'
1.0806120482,-0.7319115657,b'1'
0.345251113,-1.282822568,b'1'
0.2269084916,-1.5204441477,b'1'
-0.7877002468,-0.9982813146,b'1'
0.5614688311,-1.8332121704,b'1'
0.4909508951,-1.2675641861,b'1'
0.5711935721,-1.6767391853,b'1'
-0.8924450117,-0.7165656015,b'1'
-1.0868165981,-0.7057011366,b'1'
0.0401781439,-1.6428818848,b'1'
-0.4549118735,-1.1885567766,b'1'
-0.8798394204,-1.3970056474,b'1'
0.4508889843,-1.4274582114,b'1'
0.1698994871,-1.7870021552,b'1'
1.1933964642,-1.022281285,b'1'
-1.0280503195,-1.4969814632,b'1'
-0.5508476559,-0.8115876891,b'1'
-0.0832319424,-1.3936864071,b'1'
-1.171379923,-1.5023434721,b'1'
-0.3122500735,-1.4755286172,b'1'
-0.7260616889,-0.8366629373,b'1'
-0.3113226741,-1.3675517455,b'1'
-0.5666106405,-0.8148199551,b'1'
-0.6327771627,-1.0192972686,b'1'
0.5890595796,-1.7773485344,b'1'
0.1580082887,-1.1023786478,b'1'
-1.092045276,-1.1642557316,b'1'
0.4063892142,-1.7982734825,b'1'
0.6819308036,-0.953172566,b'1'
0.1281618749,-1.0682223026,b'1'
-1.084762009,-1.456404034,b'1'
-0.8108526189,-0.6310789268,b'1'
-0.6359572062,-1.2495412305,b'1'
0.7414645377,-1.7969763096,b'1'
0.0257269971,-1.1757582065,b'1'
0.5208023405,-1.6974923231,b'1'
-0.151842032,-1.2340303529,b'1'
1.1713698708,-0.9056865692,b'1'
0.293703296,-1.4956862524,b'1'
-0.4416577229,-1.5759367023,b'1'
0.3552899727,-1.0872542087,b'1'
0.3944686556,-1.4447611418,b'1'
1.1728676788,-1.3777248897,b'1'
-0.4404082577,-1.6902759977,b'1'
0.7721784266,-1.626312606,b'1'
-0.6757993351,-1.3458625659,b'1'
1.2924004522,-0.8238471948,b'1'
0.1162905747,-1.3707588688,b'1'
-0.8051522768,-1.7309776831,b'1'
0.2538335255,-1.6868191179,b'1'
0.7172098953,-1.2175262891,b'1'
-1.3204602279,-1.1292250458,b'1'
-1.1086208211,-1.2849190369,b'1'
-0.8709453262,-1.2884449743,b'1'
-0.3199381896,-1.1581354767,b'1'
1.1723291234,-1.1663073182,b'1'
0.8718465139,-0.8719471239,b'1'
0.2997067866,-1.2459483046,b'1'
-0.0446812802,-1.5122291323,b'1'
-0.5374289656,-0.7868398804,b'1'
1.0136044385,-1.338175381,b'1'
-1.0540516875,-1.0505668953,b'1'
-0.7591100808,-1.3636961266,b'1'
1.076171871,-0.8306735784,b'1'
0.4531991925,-1.7338024046,b'1'
0.257213724,-1.5717252713,b'1'
-0.8352530122,-0.9968011916,b'1'
0.6961726269,-1.7186766095,b'1'
1.2621120878,-1.1643467601,b'1'
0.8343871238,-0.604635996,b'1'
-1.179749195,-1.0382373922,b'1'
-0.0479392272,-1.0822639298,b'1'
0.7451352341,-1.5880327269,b'1'
0.9407573944,-1.3200539988,b'1'
-1.0857272703,-1.5378191706,b'1'
0.7274061377,-1.4765362501,b'1'
-1.2166003302,-1.0055041447,b'1'
0.5254499036,-1.5976352572,b'1'
0.3859595292,-1.074021947,b'1'
-0.988146217,-1.425885839,b'1'
-0.0140341449,-1.5008521501,b'1'
0.9763016767,-0.988958621,b'1'
-0.3963319114,-1.502232796,b'1'
-0.8588720727,-0.8480138615,b'1'
0.5278275874,-1.6955965243,b'1'
0.4609534245,-1.3371051025,b'1'
1.1278067446,-1.6111845296,b'1'
-0.1584778731,-0.9677682932,b'1'
1.1227340119,-1.2790030207,b'1'
-0.698280154,-0.838430313,b'1'
-0.8410121361,-0.6902514566,b'1'
-0.3780545648,-1.6680800389,b'1'
0.2506981609,-1.8352790676,b'1'
0.2217995384,-0.8347233616,b'1'
0.2196910434,-1.233000578,b'1'
-0.2999289611,-0.8140667718,b'1'
0.4714345572,-1.8390667785,b'1'
-0.3036409961,-1.754810654,b'1'
0.5489948215,-1.8485970408,b'1'
-0.4443741011,-1.5670000426,b'1'
0.3760170563,-1.4508668568,b'1'
1.1251011959,-1.5555200338,b'1'
-0.6762444529,-1.5844983771,b'1'
-0.5987199407,-1.0460663684,b'1'
0.6304564799,-0.6658039138,b'1'
0.6649282432,-1.4516408946,b'1'
-1.1639434635,-1.421974026,b'1'
-1.0395693621,-1.5284027498,b'1'
-0.7090775845,-1.2738157257,b'1'
0.1882794653,-1.3854862448,b'1'
0.6238734542,-1.5620510917,b'1'
0.9192458142,-1.572701383,b'1'
-0.7197301271,-0.9624330811,b'1'
-0.9989325988,-0.7840853911,b'1'
-0.3285300442,-1.4020530853,b'1'
0.7389936018,-1.5224951621,b'1'
1.1639867385,-0.9450694393,b'1'
-0.8415447503,-1.8099380922,b'1'
0.3186672659,-1.7797990169,b'1'
1.1394027715,-1.5979041759,b'1'
-0.8813052597,-0.6258866712,b'1'
-0.2455870778,-1.1183440953,b'1'
0.3151485047,-1.3688276537,b'1'
-0.6667699043,-1.6944354746,b'1'
-0.8985917192,-1.0651032738,b'1'
-0.9250736711,-0.6276072409,b'1'
0.3830880908,-0.7737174507,b'1'
-0.1187352437,-1.3380159155,b'1'
0.5699280758,-1.3537435319,b'1'
-0.2541777699,-1.8574945685,b'1'
-0.3969882342,-1.5006497957,b'1'
0.1743727632,-1.6067634422,b'1'
0.7749927738,-0.6294312444,b'1'
0.4596814642,-1.6116054032,b'1'
0.900276876,1.4799737025,b'2'
0.0512642177,1.4544372525,b'2'
-0.5376759766,1.5313512813,b'2'
-0.3290169292,1.4487846814,b'2'
0.8211912147,0.9804505244,b'2'
-0.8418434984,1.3126885228,b'2'
-0.9190952835,0.9359874818,b'2'
0.3428334797,1.0454081252,b'2'
0.6405414981,0.8624502651,b'2'
0.0132554545,1.6870788801,b'2'
1.0193575369,0.8567665447,b'2'
0.9589086751,0.7582915012,b'2'
0.1467020307,1.3101704661,b'2'
0.5146771116,1.4110450413,b'2'
0.1476014583,0.9295563933,b'2'
