x,y,class
-0.1584552736,0.525841496,b'1'
-0.8893322079,0.7873871517,b'2'
-0.9175817803,-0.0128405746,b'2'
0.0072217691,-0.6884298264,b'1'
0.9545450881,0.2373079644,b'2'
0.5432475661,0.1147152972,b'1'
-0.1773290909,-0.8354510963,b'2'
0.978337083,-0.0903340294,b'2'
0.734986451,0.1867268765,b'1'
-0.5360895577,0.6417670171,b'2'
-0.6647719722,0.589072444,b'2'
0.331461017,-0.4053909704,b'1'
-0.7776894132,-0.8353567407,b'2'
-0.8953186506,0.8694784753,b'2'
-0.3365742997,-0.149483386,b'1'
-0.3674599328,0.4486957425,b'1'
0.0806732154,-0.7672634153,b'1'
-0.4657338914,0.6721745287,b'2'
-0.1881574597,0.3426909321,b'1'
0.2925837473,0.3834044435,b'1'
-0.9537784252,0.4783849381,b'2'
-0.989598732,-0.4861229155,b'2'
-0.6906265449,0.5348384045,b'2'
-0.5887597608,-0.7166629657,b'2'
0.5196146164,0.6014347663,b'1'
0.4913410451,-0.3542708806,b'1'
-0.4632900208,-0.6243000766,b'1'
0.9492946072,-0.8867121981,b'2'
-0.3644460239,0.6099613449,b'1'
0.9558445415,0.3897544476,b'2'
-0.9406261146,0.4051566757,b'2'
-0.5324094724,-0.4171942729,b'1'
-0.3838899541,-0.1001604809,b'1'
0.8028563699,-0.3767822166,b'2'
-0.8324204427,-0.4245355632,b'2'
0.8569239448,0.8541191942,b'2'
0.7052518534,0.6179752965,b'2'
-0.5628862507,0.765999781,b'2'
-0.6377393478,0.3139009424,b'1'
0.2177836872,-0.4384908089,b'1'
0.0977849416,0.3542706002,b'1'
-0.7201860906,0.4046188029,b'2'
0.5156644131,-0.87703308,b'2'
-0.9640503074,-0.0247175819,b'2'
-0.1197144561,0.6764411083,b'1'
0.6233383804,-0.2704649339,b'1'
-0.486144504,0.8836955577,b'2'
-0.726926398,-0.193480337,b'1'
0.8568920549,-0.7240422689,b'2'
0.9635130507,-0.3494646009,b'2'
-0.2223884547,0.629938642,b'1'
-0.4631574764,0.6780316103,b'2'
