x,y,CLASS
539.512024,411.975006,b'1'
542.241028,147.626007,b'2'
653.468994,370.727997,b'0'
598.585999,284.882996,b'1'
573.062988,294.562988,b'1'
139.570007,401.381012,b'6'
228.970001,281.992004,b'6'
305.747009,94.350998,b'7'
610.617004,167.190002,b'1'
500.450012,118.780998,b'2'
341.804993,361.755005,b'5'
128.582993,81.598999,b'7'
39.105,381.265991,b'6'
294.911987,421.480011,b'6'
189.214005,322.730011,b'4'
251.889008,69.384003,b'7'
116.098999,296.382996,b'6'
86.839996,307.89801,b'6'
509.272003,429.165985,b'1'
90.306999,73.486,b'7'
269.270996,163.341995,b'8'
137.112,289.688995,b'6'
63.613998,406.865997,b'6'
224.473007,92.762001,b'7'
345.226013,306.391998,b'5'
188.507996,282.093994,b'6'
531.218994,468.524994,b'noise'
47.276001,338.063995,b'6'
543.882019,319.738007,b'1'
379.937988,97.189003,b'noise'
84.786003,158.792007,b'8'
542.72998,307.096008,b'1'
430.753998,387.63501,b'6'
578.630005,455.946991,b'1'
374.859009,346.17099,b'5'
185.274002,91.510002,b'7'
561.465027,397.192993,b'1'
164.585999,286.822998,b'6'
131.626999,166.382004,b'8'
377.093994,66.892998,b'noise'
386.608002,289.194,b'6'
531.517029,393.152008,b'1'
157.626999,205.548004,b'noise'
181.292999,148.632996,b'8'
496.5,219.106995,b'2'
596.487,299.589996,b'1'
545.252991,396.721985,b'1'
388.901001,386.545013,b'6'
512.94397,271.19101,b'noise'
589.398987,453.752991,b'1'
310.587006,434.139008,b'6'
228.186005,404.265991,b'6'
506.63501,61.938,b'3'
90.807999,151.570999,b'8'
506.355988,340.463989,b'1'
253.466995,414.664001,b'6'
572.642029,309.684998,b'1'
456.951996,309.30899,b'6'
656.77301,117.589996,b'1'
99.839996,113.858002,b'7'
536.731018,342.661987,b'1'
563.982971,190.306,b'2'
320.544006,334.019012,b'5'
129.748001,415.173004,b'6'
564.97699,405.80899,b'1'
626.16803,325.358002,b'0'
170.098007,278.631989,b'6'
243.063004,441.615997,b'6'
441.855988,166.511993,b'3'
641.458008,402.427002,b'1'
165.677002,258.368011,b'6'
615.776001,123.528999,b'1'
47.348,173.026993,b'8'
286.177002,342.243988,b'noise'
42.349998,154.636002,b'8'
163.807999,359.445007,b'4'
148.070007,264.644989,b'6'
473.192993,318.136993,b'6'
110.273003,148.951004,b'8'
154.587997,342.123993,b'4'
216.731003,284.403015,b'6'
188.031006,106.501999,b'7'
626.596985,408.743011,b'1'
145.341003,168.382004,b'8'
617.981018,186.985001,b'1'
223.218002,98.852997,b'7'
646.952026,121.884003,b'1'
613.054993,198.557007,b'1'
217.100006,353.244995,b'noise'
238.944,336.570007,b'noise'
476.220001,155.419998,b'3'
169.203995,62.771,b'7'
21.128,311.597992,b'6'
75.241997,182.811005,b'8'
353.394989,417.424011,b'6'
129.201004,68.598,b'7'
170.356995,371.300995,b'4'
320.928009,424.826996,b'6'
516.401978,86.344002,b'3'
359.776001,423.584015,b'6'
638.393982,86.559998,b'1'
150.483002,75.369003,b'7'
600.05603,427.462006,b'1'
547.299988,454.506012,b'1'
135.699997,272.295013,b'6'
369.291992,363.919006,b'5'
127.582001,87.001999,b'7'
558.185974,327.880005,b'1'
297.020996,261.791992,b'6'
160.970993,335.471008,b'4'
228.677002,408.656006,b'6'
303.339996,79.885002,b'7'
199.936996,144.559998,b'8'
126.147003,426.477997,b'6'
536.09198,243.266998,b'2'
211.455994,169.444,b'8'
628.419006,173.817001,b'1'
555.273987,280.162994,b'1'
284.822998,433.441986,b'6'
205.843994,156.134995,b'8'
252.940002,342.634003,b'noise'
289.777008,85.092003,b'7'
161.942001,107.855003,b'7'
678.869995,439.984985,b'1'
668.520996,441.214996,b'1'
496.812988,353.347992,b'1'
473.494995,40.794998,b'3'
136.164993,234.908997,b'noise'
331.536987,277.278992,b'6'
227.753998,161.722,b'8'
29.653999,94.833,b'7'
59.145,134.664993,b'8'
567.411011,281.058014,b'1'
345.661011,333.121002,b'5'
410.20401,399.162994,b'6'
427.972992,313.82901,b'6'
544.440979,446.593994,b'1'
199.862,417.181,b'6'
314.30899,322.428986,b'5'
50.758999,82.452003,b'7'
584.98999,401.860992,b'1'
435.265991,158.348999,b'3'
43.442001,345.700989,b'6'
105.735001,266.322998,b'6'
167.479004,175.306,b'8'
154.638,357.752991,b'4'
390.036987,278.677002,b'6'
590.210022,288.769012,b'1'
639.905029,111.399002,b'1'
606.062988,138.800003,b'1'
561.278015,295.947998,b'1'
318.694,369.30899,b'5'
242.164993,274.343994,b'6'
644.638,102.209999,b'1'
102.455002,162.998001,b'8'
419.838989,290.972992,b'6'
539.109009,215.755005,b'2'
188.621994,417.372986,b'6'
375.708008,399.623993,b'6'
361.789001,349.989014,b'5'
605.15802,394.075012,b'1'
30.992001,171.520996,b'8'
221.783005,106.579002,b'7'
205.268997,138.574005,b'8'
185.667999,335.604004,b'4'
424.294006,97.509003,b'3'
523.036011,399.070007,b'1'
631.953003,90.276001,b'1'
177.535004,415.957001,b'6'
334.993011,339.56601,b'5'
513.419983,414.022003,b'1'
201.416,163.787994,b'8'
75.614998,461.57901,b'noise'
645.271973,89.614998,b'1'
503.428986,236.263,b'2'
312.492004,210.246994,b'noise'
606.664001,427.973999,b'1'
481.533997,161.421997,b'3'
517.442017,406.076996,b'1'
237.694,108.414001,b'7'
447.132996,312.509003,b'6'
522.184021,366.365997,b'1'
428.716003,279.231995,b'6'
657.953979,380.846008,b'0'
125.621002,323.664001,b'4'
203.886993,440.687012,b'6'
138.916,419.429993,b'6'
530.117004,253.397995,b'2'
162.988007,421.220001,b'6'
423.479004,292.575989,b'6'
525.344971,249.365005,b'2'
445.312012,133.772995,b'3'
52.852001,51.333,b'noise'
652.184021,369.588989,b'0'
522.461975,396.860992,b'1'
560.739014,344.040009,b'1'
68.316002,152.404007,b'8'
113.525002,399.234985,b'6'
361.20401,261.708008,b'6'
35.911999,370.350006,b'6'
631.922974,124.433998,b'1'
426.097992,131.962997,b'3'
29.856001,350.19101,b'6'
444.186005,74.773003,b'3'
517.953003,434.911011,b'1'
330.317993,93.491997,b'7'
89.978996,99.889999,b'7'
368.223999,83.125,b'noise'
368.832001,354.847992,b'5'
260.459991,243.822006,b'6'
257.160004,281.057007,b'6'
435.975006,303.593994,b'6'
403.571991,402.153015,b'6'
403.13501,307.951996,b'6'
324.640015,316.003998,b'5'
526.518982,373.040009,b'1'
613.237976,177.156998,b'1'
349.595001,361.018005,b'5'
368.64801,321.57901,b'5'
466.888,218.477997,b'2'
209.759003,90.274002,b'7'
194.893997,145.770996,b'8'
544.416992,304.859985,b'1'
606.672974,393.790009,b'1'
336.544006,378.734009,b'5'
598.466003,375.536987,b'noise'
40.381001,148.067993,b'8'
217.701004,69.130997,b'7'
623.314026,416.785004,b'1'
309.382996,352.445007,b'5'
79.310997,284.882996,b'6'
151.524994,100.473,b'7'
576.856995,319.355988,b'1'
220.875,78.129997,b'7'
119.988998,91.217003,b'7'
315.947998,355.893005,b'5'
346.309998,345.015015,b'5'
426.153015,292.544006,b'6'
