x,y,class
563.225,56.748,b'0'
564.887,58.119,b'0'
565.434,68.061,b'0'
565.926,79.953,b'0'
566.762,69.405,b'0'
567.99,81.669,b'0'
569.194,62.483,b'0'
569.791,55.458,b'0'
570.576,73.136,b'0'
572.167,73.306,b'0'
573.101,47.248,b'0'
573.649,88.769,b'0'
575.847,55.477,b'0'
576.019,55.179,b'0'
576.686,66.819,b'0'
577.379,44.799,b'0'
577.513,51.055,b'0'
578.727,80.574,b'0'
579.476,39.921,b'0'
580.633,44.737,b'0'
581.278,65.616,b'0'
582.023,54.002,b'0'
583.593,76.708,b'0'
583.796,79.86,b'0'
584.366,53.483,b'0'
586.459,59.779,b'0'
587.023,85.774,b'0'
587.679,71.899,b'0'
588.232,39.995,b'0'
588.672,51.99,b'0'
589.312,38.724,b'0'
591.027,44.019,b'0'
591.4,91.172,b'0'
592.217,89.381,b'0'
593.16,66.805,b'0'
594.063,66.893,b'0'
594.76,74.765,b'0'
595.356,80.827,b'0'
595.79,75.361,b'0'
596.355,83.586,b'0'
596.668,86.122,b'0'
598.529,58.733,b'0'
599.626,59.223,b'0'
600.848,85.828,b'0'
601.795,80.356,b'0'
602.177,43.649,b'0'
603.088,68.333,b'0'
604.009,86.323,b'0'
605.044,65.636,b'0'
605.162,87.564,b'0'
605.689,81.98,b'0'
606.666,65.305,b'0'
609.273,46.702,b'0'
609.805,79.983,b'0'
610.426,66.076,b'0'
611.214,67.693,b'0'
612.12,50.623,b'0'
612.611,80.34,b'0'
615.622,67.058,b'0'
616.511,69.774,b'0'
185.148,187.84,b'1'
186.379,210.891,b'1'
190.146,203.939,b'1'
192.725,200.574,b'1'
193.58,191.945,b'1'
196.524,209.577,b'1'
198.153,194.02,b'1'
199.639,189.935,b'1'
200.871,193.293,b'1'
202.992,198.882,b'1'
206.631,195.446,b'1'
208.041,192.715,b'1'
209.812,189.853,b'1'
211.981,200.95,b'1'
214.217,207.195,b'1'
216.775,196.353,b'1'
218.926,212.944,b'1'
220.754,190.068,b'1'
221.351,191.195,b'1'
222.246,185.421,b'1'
223.856,211.078,b'1'
224.959,201.679,b'1'
226.243,191.191,b'1'
227.497,199.323,b'1'
232.63,208.815,b'1'
233.817,198.346,b'1'
236.097,201.321,b'1'
241.224,206.679,b'1'
242.439,191.389,b'1'
244.763,189.957,b'1'
245.674,206.491,b'1'
247.434,208.13,b'1'
249.004,200.664,b'1'
249.977,198.39,b'1'
250.814,208.034,b'1'
253.545,215.389,b'1'
256.788,192.156,b'1'
257.962,208.085,b'1'
260.626,210.016,b'1'
264.383,201.5,b'1'
265.424,194.869,b'1'
267.976,208.111,b'1'
272.218,187.568,b'1'
275.199,196.881,b'1'
281.512,193.436,b'1'
282.56,198.533,b'1'
283.104,202.56,b'1'
284.464,215.55,b'1'
286.95,198.506,b'1'
288.923,213.113,b'1'
289.933,208.837,b'1'
290.501,200.067,b'1'
292.782,209.527,b'1'
295.307,185.377,b'1'
296.686,208.971,b'1'
300.462,210.472,b'1'
301.987,213.201,b'1'
303.553,213.944,b'1'
13.354,264.529,b'2'
16.103,255.247,b'2'
17.339,249.372,b'2'
18.137,258.655,b'2'
19.608,265.248,b'2'
21.247,262.794,b'2'
22.098,281.747,b'2'
22.758,242.831,b'2'
23.345,251.326,b'2'
23.635,245.377,b'2'
24.691,273.256,b'2'
26.117,244.136,b'2'
27.203,257.622,b'2'
28.94,244.752,b'2'
29.936,234.543,b'2'
