x0,x1,class
26.75,22.15,b'1'
29.8,22.15,b'1'
31.55,21.1,b'1'
27.7,20.85,b'1'
29.9,19.95,b'1'
26.8,19.05,b'1'
28.35,18.25,b'1'
30.4,17.85,b'1'
27.25,16.7,b'1'
29.05,16.0,b'1'
27.15,14.85,b'1'
28.2,13.95,b'1'
30.35,13.85,b'1'
27.25,11.95,b'1'
29.45,12.05,b'1'
31.55,12.2,b'1'
33.05,10.65,b'1'
29.95,9.85,b'1'
28.0,9.75,b'1'
27.15,7.85,b'1'
29.15,8.1,b'1'
31.95,8.6,b'1'
34.7,8.55,b'1'
34.8,12.25,b'1'
36.3,15.25,b'1'
36.6,13.2,b'1'
38.7,14.25,b'1'
40.3,15.5,b'1'
42.25,14.25,b'1'
40.7,12.8,b'1'
38.6,12.1,b'1'
36.1,10.5,b'1'
38.35,10.4,b'1'
37.65,8.4,b'1'
40.15,8.55,b'1'
40.8,10.65,b'1'
42.9,11.25,b'1'
41.95,8.5,b'1'
42.45,17.45,b'1'
40.25,18.45,b'1'
42.55,19.45,b'1'
40.95,20.65,b'1'
42.25,22.15,b'1'
38.85,22.4,b'1'
38.4,20.0,b'1'
35.25,20.2,b'1'
33.25,21.0,b'1'
34.15,22.35,b'1'
35.55,22.5,b'1'
36.55,21.4,b'1'
33.35,19.6,b'2'
32.85,19.55,b'2'
32.4,19.15,b'2'
32.45,18.7,b'2'
32.8,18.9,b'2'
33.2,19.2,b'2'
33.7,19.05,b'2'
33.4,18.75,b'2'
33.05,18.5,b'2'
32.8,18.2,b'2'
34.0,18.7,b'2'
33.85,18.25,b'2'
33.35,18.15,b'2'
32.8,17.7,b'2'
33.15,17.55,b'2'
33.75,17.75,b'2'
34.15,17.85,b'2'
34.35,18.35,b'2'
34.95,18.5,b'2'
34.75,18.05,b'2'
35.15,18.05,b'2'
35.65,18.15,b'2'
35.45,18.7,b'2'
36.05,18.75,b'2'
36.25,18.2,b'2'
36.6,18.7,b'2'
37.1,18.5,b'2'
36.75,18.1,b'2'
37.65,18.3,b'2'
37.15,17.85,b'2'
37.65,17.75,b'2'
38.05,18.1,b'2'
38.45,17.7,b'2'
38.8,17.3,b'2'
38.2,17.25,b'2'
38.6,16.8,b'2'
38.25,16.35,b'2'
37.9,16.85,b'2'
37.5,17.3,b'2'
37.65,16.4,b'2'
37.15,16.7,b'2'
37.0,17.15,b'2'
36.6,17.4,b'2'
36.15,17.55,b'2'
35.75,17.65,b'2'
36.6,16.9,b'2'
36.05,16.95,b'2'
35.45,17.0,b'2'
35.3,17.55,b'2'
34.9,17.0,b'2'
34.75,17.45,b'2'
34.3,17.35,b'2'
34.3,16.8,b'2'
33.9,17.2,b'2'
33.35,17.05,b'2'
32.85,16.95,b'2'
33.55,16.6,b'2'
34.0,16.4,b'2'
32.45,17.2,b'2'
32.1,16.85,b'2'
31.7,16.65,b'2'
31.2,16.35,b'2'
30.95,15.75,b'2'
31.15,15.35,b'2'
31.45,15.1,b'2'
31.75,14.7,b'2'
32.15,14.35,b'2'
32.65,14.15,b'2'
33.15,14.05,b'2'
33.8,13.9,b'2'
34.35,14.2,b'2'
34.3,14.85,b'2'
34.05,15.35,b'2'
33.9,15.95,b'2'
33.35,16.05,b'2'
33.0,16.5,b'2'
32.45,16.6,b'2'
31.95,16.25,b'2'
31.5,15.85,b'2'
31.75,15.4,b'2'
32.15,15.8,b'2'
32.55,16.1,b'2'
32.9,15.7,b'2'
32.55,15.4,b'2'
32.05,15.2,b'2'
32.5,14.8,b'2'
33.0,15.25,b'2'
33.5,15.6,b'2'
33.6,15.05,b'2'
32.9,14.7,b'2'
33.3,14.5,b'2'
33.8,14.5,b'2'
9.2,22.35,b'3'
10.9,22.35,b'3'
12.45,22.3,b'3'
13.95,22.05,b'3'
14.65,20.3,b'3'
13.15,20.8,b'3'
11.6,20.95,b'3'
10.25,21.25,b'3'
9.2,20.8,b'3'
8.05,21.55,b'3'
7.15,19.9,b'3'
8.55,20.0,b'3'
8.5,19.2,b'3'
7.35,18.3,b'3'
8.25,16.65,b'3'
8.95,18.0,b'3'
9.6,18.85,b'3'
9.65,19.75,b'3'
10.2,20.25,b'3'
10.9,20.3,b'3'
12.15,20.0,b'3'
11.25,19.75,b'3'
10.8,19.6,b'3'
10.4,19.55,b'3'
10.65,19.35,b'3'
10.3,19.15,b'3'
10.95,19.1,b'3'
10.6,18.85,b'3'
10.05,18.1,b'3'
10.35,16.9,b'3'
10.05,15.9,b'3'
11.15,18.1,b'3'
12.1,18.75,b'3'
13.2,19.2,b'3'
11.5,17.1,b'3'
12.65,17.65,b'3'
14.45,18.35,b'4'
13.9,16.7,b'3'
12.6,15.8,b'3'
15.95,20.75,b'4'
16.95,21.6,b'4'
17.9,21.95,b'4'
19.0,22.7,b'4'
20.45,22.75,b'4'
19.1,21.7,b'4'
20.4,21.4,b'4'
21.95,21.9,b'4'
18.65,20.7,b'4'
17.75,20.55,b'4'
17.05,19.85,b'4'
15.75,19.45,b'4'
15.75,18.25,b'4'
16.35,16.9,b'4'
17.2,15.9,b'4'
17.9,17.0,b'4'
17.3,17.75,b'4'
17.0,18.9,b'4'
17.8,18.65,b'4'
17.85,19.5,b'4'
18.5,19.9,b'4'
19.1,19.95,b'4'
19.55,20.55,b'4'
20.1,19.9,b'4'
19.55,19.3,b'4'
18.95,19.3,b'4'
18.55,19.2,b'4'
18.45,18.85,b'4'
18.85,18.9,b'4'
19.2,18.8,b'4'
18.75,18.55,b'4'
18.3,18.1,b'4'
19.1,17.8,b'4'
19.0,16.75,b'4'
18.75,15.5,b'4'
19.65,18.2,b'4'
20.1,18.95,b'4'
21.25,20.4,b'4'
21.45,19.0,b'4'
20.9,17.9,b'4'
20.25,17.2,b'4'
20.1,15.4,b'4'
21.4,15.95,b'4'
22.2,17.15,b'4'
11.4,12.55,b'5'
12.05,12.75,b'5'
12.7,13.0,b'5'
13.35,13.05,b'5'
14.2,12.95,b'5'
15.05,12.95,b'5'
15.6,12.95,b'5'
16.1,13.1,b'5'
15.95,12.6,b'5'
15.4,12.45,b'5'
14.65,12.4,b'5'
13.85,12.4,b'5'
13.15,12.2,b'5'
12.65,12.4,b'5'
11.9,12.1,b'5'
12.0,11.5,b'5'
12.65,11.65,b'5'
13.4,11.65,b'5'
14.1,11.7,b'5'
14.6,11.8,b'5'
15.2,11.95,b'5'
15.05,11.55,b'5'
14.45,11.2,b'5'
13.95,10.9,b'5'
13.05,11.1,b'5'
13.55,10.65,b'5'
12.45,10.9,b'5'
13.2,10.25,b'5'
