x,y,class
-0.590353,-0.566736,b'0'
-0.147896,-0.257437,b'0'
0.0554175,-0.760445,b'0'
-0.619365,-0.81719,b'0'
-0.55372,-0.329719,b'0'
-0.623149,-0.0693254,b'0'
-0.0304975,0.310295,b'0'
-0.771859,0.00436378,b'0'
0.0363532,-0.0271469,b'0'
-0.12448,-0.230267,b'0'
-0.728251,-0.523934,b'0'
-0.413924,0.231446,b'0'
-0.739494,-0.668529,b'0'
0.22555,-0.136087,b'0'
-0.419842,-0.674177,b'0'
0.131428,0.212703,b'0'
-0.753607,-0.538087,b'0'
-0.859821,0.0159097,b'0'
-0.246242,0.280654,b'0'
-0.101881,-0.83754,b'0'
-0.159756,-0.632868,b'0'
-0.134943,-0.468011,b'0'
-0.769734,0.0354122,b'0'
-0.226786,-0.4967,b'0'
-0.831374,0.128236,b'0'
-0.183741,-0.284105,b'0'
-0.654905,-0.214161,b'0'
-0.339083,-0.505677,b'0'
0.120308,-0.424478,b'0'
-0.0453352,-0.906498,b'0'
-0.605506,-0.627796,b'0'
-0.956438,-0.228154,b'0'
0.0054546,-0.533362,b'0'
-0.051429,-0.451626,b'0'
0.118633,-0.807592,b'0'
0.230406,-0.296434,b'0'
-0.10253,-0.320387,b'0'
-0.0453318,-0.858963,b'0'
-0.200003,-0.611264,b'0'
-0.317149,-0.556796,b'0'
0.195414,-0.781258,b'0'
0.128375,-0.64397,b'0'
-0.428799,0.140714,b'0'
-0.367854,-0.151063,b'0'
-0.353013,0.312472,b'0'
-0.350015,-0.466724,b'0'
-0.478442,-0.585955,b'0'
0.290796,-0.600338,b'0'
-0.20309,-0.333909,b'0'
-0.582982,-0.745122,b'0'
-0.874671,-0.233067,b'0'
-0.444086,-0.0929195,b'0'
0.0438461,-0.894403,b'0'
0.301041,0.0540828,b'0'
0.000434993,-0.163903,b'0'
-0.26669,-0.666484,b'0'
-0.469953,-0.949347,b'0'
-0.726297,-0.320855,b'0'
-0.309394,0.0418541,b'0'
-0.265321,0.179025,b'0'
-0.906713,-0.0382791,b'0'
-0.00503287,-0.0286831,b'0'
-0.249517,0.0201011,b'0'
-0.664682,0.2783,b'0'
-0.399247,-0.861496,b'0'
-0.413328,0.345039,b'0'
0.343788,-0.455331,b'0'
-0.440747,-0.856001,b'0'
0.32132,-0.0974025,b'0'
-0.266467,-0.256084,b'0'
-0.668913,0.166772,b'0'
-0.167169,-0.631487,b'0'
-0.364264,-0.607945,b'0'
0.0549001,-0.481164,b'0'
-0.983094,-0.215513,b'0'
-0.607556,0.250722,b'0'
0.0310692,0.0407995,b'0'
-0.574746,-0.53145,b'0'
0.0482034,0.097027,b'0'
0.0243542,-0.63885,b'0'
-0.614393,-0.863738,b'0'
-0.909936,-0.0540048,b'0'
0.363498,-0.102157,b'0'
-0.0415349,0.0946566,b'0'
-0.189353,-0.892563,b'0'
0.282281,-0.157533,b'0'
0.0584294,-0.717148,b'0'
0.0224513,-0.31435,b'0'
0.1296,-0.195239,b'0'
-0.0787636,-0.855512,b'0'
0.209478,-0.13065,b'0'
-0.84749,0.0581845,b'0'
-0.0812732,-0.90019,b'0'
0.275837,-0.0859193,b'0'
0.0753628,-0.00443303,b'0'
-0.250862,0.0226575,b'0'
-0.892103,-0.26983,b'0'
-0.466186,0.0496478,b'0'
-0.767438,-0.562191,b'0'
-0.000451888,-0.627022,b'0'
0.250498,-0.644295,b'0'
0.167404,-0.370509,b'0'
-0.971987,-0.309751,b'0'
-0.573048,0.340027,b'0'
-0.747656,0.0815372,b'0'
-0.852828,-0.190035,b'0'
-0.390851,0.174841,b'0'
-0.891726,-0.0273364,b'0'
-0.938541,-0.250743,b'0'
-0.771833,-0.49935,b'0'
-0.199263,-0.580271,b'0'
-0.23781,0.141309,b'0'
-0.345488,0.282457,b'0'
-0.240033,0.171709,b'0'
-0.748198,-0.326801,b'0'
-0.35171,0.349434,b'0'
-0.383032,0.0415288,b'0'
-0.429906,-0.655125,b'0'
-0.145354,0.182946,b'0'
-0.169341,-0.681928,b'0'
0.338489,-0.440503,b'0'
-0.522624,-0.47094,b'0'
-0.0292015,-0.116976,b'0'
-0.138263,-0.615811,b'0'
-0.402965,0.0115957,b'0'
-0.925521,-0.0829293,b'0'
0.388407,-0.206274,b'0'
0.036662,-0.382975,b'0'
-0.763326,-0.694777,b'0'
0.090005,0.201843,b'0'
-0.745538,-0.502092,b'0'
-0.758295,-0.545834,b'0'
-0.489624,-0.295936,b'0'
-0.0360281,0.311047,b'0'
0.36129,-0.464947,b'0'
0.109651,0.150396,b'0'
-0.32736,-0.301318,b'0'
-0.214574,0.294144,b'0'
-0.247107,-0.77831,b'0'
-0.140322,-0.502455,b'0'
-0.661053,-0.584954,b'0'
-0.40036,-0.758585,b'0'
0.270654,-0.52738,b'0'
-0.303261,-0.375775,b'0'
-0.194537,0.0737495,b'0'
0.257459,0.00437355,b'0'
0.0213069,-0.818781,b'0'
-0.690956,-0.456435,b'0'
-0.376981,-0.383117,b'0'
-0.101305,-0.562514,b'0'
-0.59085,0.290113,b'0'
-0.624713,-0.914442,b'0'
-0.207133,-0.545739,b'0'
-0.300592,-0.532291,b'0'
-0.874334,-0.0365301,b'0'
-0.0175115,-0.258857,b'0'
-0.0888609,-0.523929,b'0'
-0.426005,-0.308447,b'0'
-0.422197,-0.346672,b'0'
-0.871573,0.0248619,b'0'
0.197369,-0.259524,b'0'
-0.214249,0.00206892,b'0'
0.139388,-0.817973,b'0'
0.214971,-0.150423,b'0'
0.0431965,0.123908,b'0'
-0.421433,0.234504,b'0'
-0.397172,-0.0874468,b'0'
-0.299736,-0.800608,b'0'
-0.653093,-0.843162,b'0'
-0.688261,0.148065,b'0'
-0.587488,-0.835331,b'0'
0.210482,-0.388183,b'0'
-0.404009,-0.25728,b'0'
0.257416,-0.217701,b'0'
0.18243,0.0617035,b'0'
