a0,a1,class
-0.1,0.5,b'0'
-0.100126,0.510052,b'0'
-0.100505,0.520098,b'0'
-0.101136,0.530131,b'0'
-0.10202,0.540145,b'0'
-0.103154,0.550133,b'0'
-0.104539,0.56009,b'0'
-0.106174,0.570009,b'0'
-0.108058,0.579884,b'0'
-0.110189,0.589708,b'0'
-0.112567,0.599476,b'0'
-0.115189,0.609181,b'0'
-0.118054,0.618817,b'0'
-0.121161,0.628377,b'0'
-0.124506,0.637857,b'0'
-0.128089,0.64725,b'0'
-0.131907,0.656549,b'0'
-0.135958,0.66575,b'0'
-0.140238,0.674846,b'0'
-0.144745,0.683832,b'0'
-0.149477,0.692701,b'0'
-0.154431,0.701449,b'0'
-0.159602,0.71007,b'0'
-0.164989,0.718558,b'0'
-0.170587,0.726908,b'0'
-0.176393,0.735114,b'0'
-0.182404,0.743172,b'0'
-0.188615,0.751077,b'0'
-0.195023,0.758822,b'0'
-0.201624,0.766405,b'0'
-0.208413,0.773819,b'0'
-0.215386,0.78106,b'0'
-0.222539,0.788124,b'0'
-0.229867,0.795005,b'0'
-0.237366,0.801701,b'0'
-0.24503,0.808205,b'0'
-0.252856,0.814515,b'0'
-0.260838,0.820627,b'0'
-0.268971,0.826536,b'0'
-0.27725,0.832238,b'0'
-0.285669,0.837731,b'0'
-0.294224,0.843011,b'0'
-0.302909,0.848074,b'0'
-0.311718,0.852916,b'0'
-0.320647,0.857537,b'0'
-0.329688,0.861931,b'0'
-0.338837,0.866096,b'0'
-0.348088,0.870031,b'0'
-0.357435,0.873732,b'0'
-0.366872,0.877196,b'0'
-0.376393,0.880423,b'0'
-0.385992,0.883409,b'0'
-0.395663,0.886153,b'0'
-0.4054,0.888653,b'0'
-0.415197,0.890907,b'0'
-0.425047,0.892915,b'0'
-0.434945,0.894674,b'0'
-0.444884,0.896185,b'0'
-0.454857,0.897445,b'0'
-0.46486,0.898453,b'0'
-0.474884,0.899211,b'0'
-0.484924,0.899716,b'0'
-0.494974,0.899968,b'0'
-0.505026,0.899968,b'0'
-0.515076,0.899716,b'0'
-0.525116,0.899211,b'0'
-0.53514,0.898453,b'0'
-0.545143,0.897445,b'0'
-0.555116,0.896185,b'0'
-0.565055,0.894674,b'0'
-0.574953,0.892915,b'0'
-0.584803,0.890907,b'0'
-0.5946,0.888653,b'0'
-0.604337,0.886153,b'0'
-0.614008,0.883409,b'0'
-0.623607,0.880423,b'0'
-0.633128,0.877196,b'0'
-0.642565,0.873732,b'0'
-0.651912,0.870031,b'0'
-0.661163,0.866096,b'0'
-0.670312,0.861931,b'0'
-0.679353,0.857537,b'0'
-0.688282,0.852916,b'0'
-0.697091,0.848074,b'0'
-0.705776,0.843011,b'0'
-0.714331,0.837731,b'0'
-0.72275,0.832238,b'0'
-0.731029,0.826536,b'0'
-0.739162,0.820627,b'0'
-0.747144,0.814515,b'0'
-0.75497,0.808205,b'0'
-0.762634,0.801701,b'0'
-0.770133,0.795005,b'0'
-0.777461,0.788124,b'0'
-0.784614,0.78106,b'0'
-0.791587,0.773819,b'0'
-0.798376,0.766405,b'0'
-0.804977,0.758822,b'0'
-0.811385,0.751077,b'0'
-0.817596,0.743172,b'0'
-0.823607,0.735114,b'0'
-0.829413,0.726908,b'0'
-0.835011,0.718558,b'0'
-0.840398,0.71007,b'0'
-0.845569,0.701449,b'0'
-0.850523,0.692701,b'0'
-0.855255,0.683832,b'0'
-0.859762,0.674846,b'0'
-0.864042,0.66575,b'0'
-0.868093,0.656549,b'0'
-0.871911,0.64725,b'0'
-0.875494,0.637857,b'0'
-0.878839,0.628377,b'0'
-0.881946,0.618817,b'0'
-0.884811,0.609181,b'0'
-0.887433,0.599476,b'0'
-0.889811,0.589708,b'0'
-0.891942,0.579884,b'0'
-0.893826,0.570009,b'0'
-0.895461,0.56009,b'0'
-0.896846,0.550133,b'0'
-0.89798,0.540145,b'0'
-0.898864,0.530131,b'0'
-0.899495,0.520098,b'0'
-0.899874,0.510052,b'0'
-0.9,0.5,b'0'
-0.899874,0.489948,b'0'
-0.899495,0.479902,b'0'
-0.898864,0.469869,b'0'
-0.89798,0.459855,b'0'
-0.896846,0.449867,b'0'
-0.895461,0.43991,b'0'
-0.893826,0.429991,b'0'
-0.891942,0.420116,b'0'
-0.889811,0.410292,b'0'
-0.887433,0.400524,b'0'
-0.884811,0.390819,b'0'
-0.881946,0.381183,b'0'
-0.878839,0.371623,b'0'
