x,y,CLASS
7.58859,1.35137,b'0'
-7.5016,0.536143,b'0'
-9.05113,-2.40333,b'0'
7.19311,-5.32045,b'0'
-0.778891,9.18315,b'0'
1.24272,6.46307,b'0'
4.79006,6.59126,b'0'
-0.65149,-9.59093,b'0'
5.17691,8.4009,b'0'
-6.06384,5.05089,b'0'
-8.72013,0.815354,b'0'
3.66194,6.30387,b'0'
-2.82294,-5.22962,b'1'
5.79075,5.09581,b'0'
5.34556,2.83135,b'0'
1.07067,-5.2708,b'1'
-6.3998,-1.48529,b'1'
-3.29536,-5.07341,b'1'
-8.74271,1.33427,b'0'
5.15935,-6.75606,b'0'
-6.37003,-1.05832,b'1'
-7.1684,0.617811,b'0'
3.55363,5.84906,b'0'
5.14664,-0.364442,b'1'
-5.18104,2.3373,b'1'
2.94633,-1.03125,b'1'
3.71296,3.74007,b'1'
-0.633286,-3.63625,b'1'
5.62124,-3.85959,b'0'
-6.11654,-0.650556,b'1'
6.10438,-3.68123,b'0'
-3.28985,7.55747,b'0'
-1.68207,9.47039,b'0'
-5.08338,3.59612,b'1'
-0.0860008,-5.4159,b'1'
-5.0722,-8.50356,b'0'
0.685169,-4.36534,b'1'
-8.3419,-2.35208,b'0'
-3.3232,6.92302,b'0'
-4.85943,7.59606,b'0'
6.97555,-1.849,b'0'
3.80482,7.67642,b'0'
-2.36873,8.67654,b'0'
-8.29031,4.74467,b'0'
4.49782,-5.13979,b'0'
-4.37552,0.60231,b'1'
3.02741,1.75753,b'1'
-1.27597,-5.20494,b'1'
0.500507,-7.98658,b'0'
6.84694,-3.50158,b'0'
-3.38259,8.88547,b'0'
-1.92489,8.34487,b'0'
-1.51697,4.36878,b'1'
6.0836,7.10695,b'0'
6.58507,-4.65909,b'0'
-5.24193,-1.07976,b'1'
-6.78072,-3.51561,b'0'
-6.83744,3.21008,b'0'
-8.2621,-1.17661,b'0'
4.75724,-5.06305,b'0'
5.26002,5.19353,b'0'
0.973943,9.06473,b'0'
-9.06309,-3.27195,b'0'
8.30699,-4.38988,b'0'
-0.777788,7.71928,b'0'
-2.02908,-2.77974,b'1'
0.935513,3.17169,b'1'
1.94964,7.59441,b'0'
6.39015,-0.701341,b'0'
-7.44211,0.421027,b'0'
1.72645,-3.53022,b'1'
7.66924,-3.09799,b'0'
9.7484,1.41817,b'0'
-4.8573,3.34175,b'1'
4.77685,4.56327,b'0'
-5.10164,-3.20946,b'0'
-7.3918,5.98368,b'0'
7.76314,-4.82877,b'0'
2.88249,6.00859,b'0'
6.33115,7.58763,b'0'
5.37885,2.28809,b'1'
-5.74748,2.14811,b'0'
3.2041,-8.62496,b'0'
0.320337,3.89911,b'1'
2.655,2.51102,b'1'
6.46891,3.01585,b'0'
7.38589,-5.38264,b'0'
-6.07221,4.32212,b'0'
1.94401,-6.96269,b'0'
-1.67704,-6.04583,b'0'
7.7257,5.85429,b'0'
-6.9853,-1.94016,b'0'
-3.38114,-6.83369,b'0'
6.22107,-2.53209,b'0'
3.1358,3.44828,b'1'
-4.78684,7.5262,b'0'
-7.11257,-0.951365,b'0'
-3.71291,-2.82047,b'1'
-3.67661,7.2616,b'0'
5.76926,4.00999,b'0'
-4.10902,-0.367189,b'1'
-7.46819,2.14466,b'0'
5.31934,2.1094,b'1'
-4.97188,-2.39871,b'1'
