x,y,class
-1.98666,-0.00228882,b'0'
-1.95108,0.0324707,b'0'
-1.92679,-0.046936,b'0'
-1.86688,-0.0678101,b'0'
-1.84698,0.00881958,b'0'
-1.8064,-0.108795,b'0'
-1.784,-0.0264893,b'0'
-1.75729,-0.185059,b'0'
-1.7399,-0.0408325,b'0'
-1.73489,-0.0914001,b'0'
-1.71658,-0.0308838,b'0'
-1.70807,-0.2211,b'0'
-1.70673,-0.13623,b'0'
-1.68668,0.270081,b'0'
-1.66971,-0.298492,b'0'
-1.66492,0.0975952,b'0'
-1.64252,-0.310272,b'0'
-1.63068,-0.00253296,b'0'
-1.62112,0.0897827,b'0'
-1.61554,0.166321,b'0'
-1.61407,-0.382355,b'0'
-1.6066,0.347351,b'0'
-1.60306,-0.199371,b'0'
-1.595,0.07901,b'0'
-1.59195,0.360779,b'0'
-1.58936,0.0223999,b'0'
-1.58804,0.362732,b'0'
-1.58438,-0.113831,b'0'
-1.57388,0.262939,b'0'
-1.57239,-0.361328,b'0'
-1.56573,0.375122,b'0'
-1.5614,-0.254486,b'0'
-1.55902,-0.278778,b'0'
-1.5528,0.357086,b'0'
-1.54498,0.242676,b'0'
-1.54111,0.337036,b'0'
-1.53464,0.228302,b'0'
-1.52863,0.0557861,b'0'
-1.51288,-0.059082,b'0'
-1.51059,-0.361603,b'0'
-1.50552,0.48938,b'0'
-1.49927,0.184265,b'0'
-1.49515,-0.0307922,b'0'
-1.48807,0.451355,b'0'
-1.48346,0.173767,b'0'
-1.47598,-0.3526,b'0'
-1.46555,0.50119,b'0'
-1.46384,0.35965,b'0'
-1.45856,0.42926,b'0'
-1.45395,-0.180267,b'0'
-1.44376,-0.00686646,b'0'
-1.44016,0.107635,b'0'
-1.43466,0.224274,b'0'
-1.42972,-0.295868,b'0'
-1.42075,-0.220917,b'0'
-1.4133,0.225006,b'0'
-1.40979,0.18042,b'0'
-1.40314,0.413483,b'0'
-1.40115,-0.119781,b'0'
-1.39865,0.140106,b'0'
-1.38828,-0.548767,b'0'
-1.38297,0.533112,b'0'
-1.37769,-0.435028,b'0'
-1.37555,0.324554,b'0'
-1.37039,-0.0731506,b'0'
-1.36783,-0.517639,b'0'
-1.34933,-0.0012207,b'0'
-1.34558,0.603424,b'0'
-1.33566,-0.0579529,b'0'
-1.33243,-0.315948,b'0'
-1.33029,-0.0121155,b'0'
