x,y,class
6.23269,-7.17151,b'0'
8.35739,2.60406,b'0'
6.42221,-1.93627,b'0'
4.69633,-8.7232,b'0'
7.36498,3.17425,b'0'
-6.16926,-6.83551,b'0'
-4.46201,6.98711,b'0'
-7.60854,3.33817,b'0'
4.59849,6.83344,b'0'
-1.91391,-7.01997,b'0'
-4.57469,-6.75038,b'0'
6.3783,0.0288101,b'0'
4.21113,-3.59319,b'0'
9.2439,2.1555,b'0'
7.43723,-2.49882,b'0'
-1.60098,-7.62939,b'0'
8.05628,1.90449,b'0'
8.76186,0.545353,b'0'
5.74553,5.09306,b'0'
-0.923935,-8.57215,b'0'
-6.70039,6.52307,b'0'
-6.75111,-5.88609,b'0'
-7.57748,5.33493,b'0'
4.13108,-8.98316,b'0'
-0.0270303,5.70094,b'0'
-4.24204,4.07332,b'0'
0.302709,7.63347,b'0'
-6.35894,5.29223,b'0'
6.48996,-3.29753,b'0'
-1.61519,-6.56781,b'0'
-5.25137,0.174394,b'0'
-8.95357,-2.66189,b'0'
1.61442,-6.46497,b'0'
3.26505,-4.38113,b'0'
6.40789,-2.65254,b'0'
-1.20986,5.88826,b'0'
4.05384,-7.16573,b'0'
5.59408,-0.346981,b'0'
8.29044,-2.62122,b'0'
5.08483,0.712587,b'0'
-3.54403,-4.45336,b'0'
-7.61804,3.54296,b'0'
6.54757,4.94331,b'0'
7.54956,5.50429,b'0'
5.83473,4.24239,b'0'
1.82494,-8.16405,b'0'
6.76155,1.33482,b'0'
-5.64153,2.76012,b'0'
8.24083,3.56929,b'0'
9.07349,-1.79398,b'0'
8.54905,3.87895,b'0'
-6.51148,1.63929,b'0'
-8.51321,-1.60399,b'0'
1.75216,8.576,b'0'
-6.5219,6.47466,b'0'
-7.11854,-1.37714,b'0'
-5.65757,-6.74325,b'0'
6.21629,-2.83612,b'0'
-6.647,3.91883,b'0'
-1.63573,8.35504,b'0'
3.20893,-7.4497,b'0'
-7.11029,-2.58697,b'0'
-0.120531,-5.76638,b'0'
4.3853,3.80654,b'0'
2.94329,7.87195,b'0'
3.88506,-3.87882,b'0'
-1.36898,-8.52659,b'0'
-6.34225,5.76598,b'0'
8.8344,-0.253922,b'0'
-7.66445,3.57467,b'0'
7.8243,3.03179,b'0'
4.10705,7.17869,b'0'
-4.28125,5.10837,b'0'
-6.4031,3.17602,b'0'
-5.72341,6.72381,b'0'
3.54798,-9.15148,b'0'
2.4839,6.95394,b'0'
-5.14672,-0.859445,b'0'
-4.69827,-3.89758,b'0'
-6.65396,6.89066,b'0'
-4.57739,7.88798,b'0'
8.0465,-2.50123,b'0'
1.79994,-8.44008,b'0'
7.53826,-4.46705,b'0'
-7.055,6.57586,b'0'
-8.89531,-3.52894,b'0'
8.62758,3.76842,b'0'
-4.1849,4.38464,b'0'
-6.58913,-3.43737,b'0'
8.10107,-5.26813,b'0'
4.7964,-6.98561,b'0'
-7.17756,6.69238,b'0'
-1.15619,7.95058,b'0'
5.33103,-1.31694,b'0'
-2.12235,9.69962,b'0'
-8.99997,-2.48195,b'0'
5.88081,-1.21691,b'0'
7.42818,5.46175,b'0'
-4.43458,8.02428,b'0'
-3.27208,6.08916,b'0'
-4.5551,2.39118,b'0'
-1.45385,5.13092,b'0'
-7.14213,2.24543,b'0'
8.17484,-5.44899,b'0'
-7.11721,0.969019,b'0'
2.41896,-4.50917,b'0'
-5.61983,7.58883,b'0'
5.49872,-2.99691,b'0'
-9.09152,-1.17322,b'0'
4.56258,3.21187,b'0'
1.93453,-6.29786,b'0'
-8.25253,-0.198679,b'0'
3.88251,-6.641,b'0'
4.67254,-8.69527,b'0'
-1.4788,5.87561,b'0'
-8.68206,0.569231,b'0'
7.06249,-0.713916,b'0'
2.31031,9.33075,b'0'
-3.63254,7.90928,b'0'
-8.80359,-1.88462,b'0'
5.26054,-6.13141,b'0'
-5.94259,2.86245,b'0'
-0.145627,-7.55149,b'0'
7.54689,0.642288,b'0'
-5.07284,0.838335,b'0'
-7.26456,4.56867,b'0'
5.5861,5.64914,b'0'
5.12807,7.49162,b'0'
-4.62825,-7.07665,b'0'
3.08831,5.23594,b'0'
0.415901,-9.95711,b'0'
2.34993,-4.76732,b'0'
-4.29676,4.35816,b'0'
-6.40365,-6.08571,b'0'
1.33837,-5.99677,b'0'
-7.75644,-2.42722,b'0'
5.77065,7.35714,b'0'
-8.4717,-3.90634,b'0'
6.21327,6.45793,b'0'
-6.18918,-1.61049,b'0'
-6.2506,6.23838,b'0'
8.47392,1.14326,b'0'
-5.20182,-7.00757,b'0'
7.72263,-5.75091,b'0'
2.88633,-9.37393,b'0'
-0.67642,-8.59267,b'0'
-0.733649,9.56345,b'0'
1.84724,6.55092,b'0'
1.38192,5.86564,b'0'
-8.80587,-0.286418,b'0'
-4.29257,-5.1779,b'0'
-5.02614,5.602,b'0'
-7.21261,-2.39546,b'0'
4.18821,-8.8254,b'0'
-8.48694,0.0806035,b'0'
-5.29735,7.40042,b'0'
-1.21651,-5.94226,b'0'
-6.38545,-0.319636,b'0'
7.87738,-4.87263,b'0'
5.74745,-2.62849,b'0'
7.73457,-5.15215,b'0'
7.87194,3.70849,b'0'
8.62868,2.27559,b'0'
5.85348,-0.597861,b'0'
-6.92565,0.528681,b'0'
5.54132,-7.08996,b'0'
-0.920248,-6.61235,b'0'
0.457593,-9.22674,b'0'
6.24856,-0.482816,b'0'
5.30331,-7.34263,b'0'
-4.14972,-4.4216,b'0'
8.1312,1.07934,b'0'
-3.25547,5.28893,b'0'
-8.945,1.39527,b'0'
4.68296,6.44885,b'0'
5.85148,5.81152,b'0'
-6.61524,-2.42014,b'0'
4.62581,5.97678,b'0'
3.59452,-6.87065,b'0'
4.91947,1.49733,b'0'
5.63095,-0.597461,b'0'
-1.52627,8.04535,b'0'
-1.8045,-8.26225,b'0'
-3.63096,-5.49312,b'0'
-2.89209,-7.42135,b'0'
9.38787,2.01424,b'0'
1.71186,-8.75525,b'0'
-9.52345,-0.667289,b'0'
4.87758,-2.59165,b'0'
4.77341,6.78432,b'0'
4.02362,4.93891,b'0'
4.51921,-5.59998,b'0'
-6.68433,-3.57879,b'0'
-8.78903,2.79774,b'0'
-6.2986,-0.579991,b'0'
-7.90594,4.93556,b'0'
-8.05278,-2.9929,b'0'
-3.21363,8.45268,b'0'
2.40889,6.20098,b'0'
2.09012,8.7208,b'0'
2.93835,4.82431,b'0'
2.21524,-8.41001,b'0'
-7.06721,1.32479,b'0'
3.64223,-5.01342,b'0'
5.83469,3.71708,b'0'
-6.9914,-4.39328,b'0'
-2.18212,5.12548,b'0'
-8.34635,2.90985,b'0'
5.8466,3.81199,b'0'
8.06899,-4.466,b'0'
0.0115483,-5.90737,b'0'
-5.21547,3.53753,b'0'
-4.69882,6.91739,b'0'
0.597875,8.48453,b'0'
4.92154,-3.6736,b'0'
-2.2735,9.31948,b'0'
-7.53618,-0.539374,b'0'
-6.29066,-7.04194,b'0'
6.12728,1.19394,b'0'
6.51518,0.61682,b'0'
6.89505,5.03624,b'0'
4.10624,-6.34324,b'0'
9.09879,3.33001,b'0'
7.53983,1.8416,b'0'
-8.18947,-0.374138,b'0'
-8.12902,-4.3962,b'0'
-8.53819,-1.31511,b'0'
8.67021,0.187217,b'0'
6.55772,-4.46642,b'0'
-7.09464,0.411749,b'0'
-6.69505,-3.64461,b'0'
5.02724,-7.10109,b'0'
-7.29478,-3.35111,b'0'
-9.63157,2.27908,b'0'
-2.78781,5.30657,b'0'
7.503,2.88834,b'0'
4.2818,4.24477,b'0'
1.82473,8.31737,b'0'
-5.56784,1.26553,b'0'
4.24142,5.49115,b'0'
9.3365,-1.52136,b'0'
8.87387,3.05592,b'0'
0.801605,-7.43227,b'0'
5.84919,7.25241,b'0'
-8.80716,-2.01305,b'0'
-7.87258,5.62072,b'0'
7.48945,-4.79608,b'0'
-7.78935,4.43568,b'0'
9.24361,-2.60121,b'0'
3.92187,-5.11933,b'0'
-4.76625,-6.41773,b'0'
-3.47548,7.63281,b'0'
4.56202,-6.07959,b'0'
2.44735,-7.35031,b'0'
3.40147,8.43295,b'0'
-7.39316,3.21036,b'0'
-5.48841,-3.77752,b'0'
6.10475,2.56468,b'0'
4.58545,7.64016,b'0'
8.10377,-0.00166139,b'0'
-7.923,-1.83592,b'0'
3.77542,-6.52718,b'0'
-2.27731,5.22543,b'0'
-0.509708,-6.66107,b'0'
7.45291,1.07357,b'0'
-0.956128,-9.64678,b'0'
6.516,-5.66575,b'0'
7.30637,-1.76196,b'0'
3.33463,5.18523,b'0'
7.58468,-4.36665,b'0'
6.90552,1.0372,b'0'
-7.80643,-2.73666,b'0'
4.99551,-0.481614,b'0'
-2.66359,-6.9404,b'0'
-7.73345,3.8315,b'0'
-4.00222,-5.3739,b'0'
8.41572,2.92427,b'0'
8.24287,-2.01347,b'0'
-0.349368,8.1709,b'0'
8.3692,1.08219,b'0'
8.40632,5.04355,b'0'
7.23135,-2.68803,b'0'
2.22013,-6.19713,b'0'
4.78211,-7.00768,b'0'
7.05672,2.29185,b'0'
-0.799149,8.69821,b'0'
-9.1844,-2.18218,b'0'
4.18475,-6.8296,b'0'
-5.01922,1.90779,b'0'
4.28791,6.9524,b'0'
0.828859,-9.36536,b'0'
-3.67143,-5.75065,b'0'
-5.48773,7.64648,b'0'
-5.67299,-6.00284,b'0'
-3.55015,-7.34992,b'0'
0.630113,-9.68919,b'0'
-6.23302,1.6605,b'0'
0.636272,-6.1684,b'0'
-5.39996,2.8349,b'0'
6.24522,3.37504,b'0'
4.24157,8.10281,b'0'
4.00124,8.83804,b'0'
-2.76045,5.14583,b'0'
6.02988,4.26654,b'0'
7.90612,-1.86543,b'0'
1.01216,-8.57662,b'0'
-2.80889,-8.95137,b'0'
-5.75445,4.88499,b'0'
9.41291,2.75782,b'0'
-6.44497,-0.591456,b'0'
-0.595843,5.6688,b'0'
-4.44841,-4.43094,b'0'
-6.11247,7.74033,b'0'
-7.11094,6.4162,b'0'
1.56451,-5.24263,b'0'
7.0658,-5.14622,b'0'
7.39722,5.03746,b'0'
-7.98979,-4.33042,b'0'
4.71016,3.70667,b'0'
-3.42212,4.42108,b'0'
5.15455,-7.54532,b'0'
5.91317,2.58005,b'0'
2.83889,-6.84199,b'0'
6.74081,-7.15947,b'0'
-9.21028,2.74025,b'0'
-4.56498,-3.64102,b'0'
-8.38946,-1.59828,b'0'
7.00148,-6.10478,b'0'
-3.05665,6.94919,b'0'
-4.99071,1.14894,b'0'
4.61134,2.78848,b'0'
5.95511,7.48187,b'0'
7.83398,5.73903,b'0'
-4.15617,7.30684,b'0'
6.06269,-4.40706,b'0'
6.47843,2.95131,b'0'
0.352704,7.89157,b'0'
-9.08932,-4.14714,b'0'
7.7566,5.1198,b'0'
0.439502,6.70254,b'0'
9.5806,1.09084,b'0'
-6.31419,-2.67195,b'0'
9.56133,-2.72488,b'0'
1.69031,8.97495,b'0'
1.98537,8.16103,b'0'
0.50847,5.85889,b'0'
-3.80276,6.93867,b'0'
7.86322,-2.77844,b'0'
5.46925,1.74277,b'0'
-8.21413,5.1498,b'0'
-7.32827,-6.2059,b'0'
-2.63632,-8.56968,b'0'
-5.30503,-1.64671,b'0'
-4.09513,-6.82238,b'0'
-3.77436,4.27566,b'0'
-5.67293,-4.93705,b'0'
-4.57518,4.89247,b'0'
8.42726,-3.10464,b'0'
0.245551,6.97341,b'0'
2.11526,-8.7869,b'0'
-1.46909,8.96384,b'0'
-1.57841,-8.26038,b'0'
7.77908,3.0043,b'0'
-6.71621,0.672107,b'0'
-3.89218,4.05429,b'0'
8.8655,2.37693,b'0'
-0.181412,-8.9895,b'0'
-6.54392,-3.59568,b'0'
7.32289,-4.22216,b'0'
-1.79847,-6.89245,b'0'
-1.47608,-8.45424,b'0'
0.0242166,7.00791,b'0'
7.92914,5.02378,b'0'
-5.7014,-3.34578,b'0'
7.41032,5.22532,b'0'
-5.65266,-4.33737,b'0'
-0.158941,8.68103,b'0'
2.00677,7.72901,b'0'
7.73045,5.63473,b'0'
2.91947,7.59323,b'0'
-0.504993,-7.40984,b'0'
-0.822716,-7.39496,b'0'
6.65803,1.5093,b'0'
6.81012,-2.2919,b'0'
-0.0376461,7.28148,b'0'
-7.65778,-4.28661,b'0'
-4.99114,-6.12332,b'0'
5.34038,-4.31684,b'0'
6.90876,-4.52853,b'0'
6.73907,3.51872,b'0'
4.36976,2.59333,b'0'
6.07104,-3.98776,b'0'
-2.20579,7.24539,b'0'
-6.6762,-6.87138,b'0'
8.69055,2.07637,b'0'
-2.50521,-5.11427,b'0'
4.51734,2.93034,b'0'
-7.48632,-2.63748,b'0'
-8.13357,-0.840735,b'0'
-0.0635893,-8.74527,b'0'
-1.78933,6.68517,b'0'
-2.30557,-9.65628,b'0'
6.96137,-0.245063,b'0'
-5.93799,0.159894,b'0'
7.33986,1.10707,b'0'
6.58974,-6.30695,b'0'
-0.98349,-9.51767,b'0'
-0.678631,-5.7493,b'0'
-8.49745,3.31783,b'0'
2.72703,-6.82823,b'0'
-2.96985,5.66045,b'0'
-4.83939,4.41779,b'0'
9.82556,-1.83087,b'0'
0.0419665,5.3311,b'0'
-3.93724,6.74928,b'0'
-4.81566,3.24988,b'0'
-2.30179,-6.20665,b'0'
4.85589,-7.00118,b'0'
7.40683,6.54007,b'0'
-7.80188,-6.19038,b'0'
0.648094,-7.4885,b'0'
-4.58448,8.67454,b'0'
-7.06136,-0.255797,b'0'
-5.83478,-5.20675,b'0'
-1.6308,-8.91382,b'0'
5.49059,0.402266,b'0'
1.94733,8.80223,b'0'
-0.915946,5.70126,b'0'
1.14626,5.2097,b'0'
-8.10488,1.21603,b'0'
-1.68708,5.32722,b'0'
-5.45763,-6.41773,b'0'
-2.72772,-4.83744,b'0'
-2.84842,6.62447,b'0'
-2.57079,-7.19385,b'0'
1.58207,9.78018,b'0'
-4.47236,-6.92076,b'0'
5.54879,-1.56533,b'0'
-8.42831,5.35663,b'0'
7.80757,1.86728,b'0'
3.34307,7.01908,b'0'
-7.64557,0.976676,b'0'
-5.00622,0.446633,b'0'
6.56135,-3.39382,b'0'
5.11344,1.64407,b'0'
7.19967,4.86935,b'0'
-5.95489,-3.77123,b'0'
-0.643286,8.29576,b'0'
-7.13658,-4.55159,b'0'
1.38197,6.7519,b'0'
-0.788104,-5.66141,b'0'
-3.77381,-6.38185,b'0'
-6.31617,4.11779,b'0'
4.8446,3.11545,b'0'
1.41215,-6.00358,b'0'
-2.0939,7.82597,b'0'
-3.56254,4.41121,b'0'
0.628981,-8.71588,b'0'
-7.37691,-3.66063,b'0'
-5.18679,5.58412,b'0'
-7.69808,-1.60267,b'0'
2.08288,7.04752,b'0'
1.612,-7.1984,b'0'
-4.94939,-4.40307,b'0'
-6.93628,1.89979,b'0'
-2.35827,4.6163,b'0'
6.09407,3.11042,b'0'
-2.57716,5.59413,b'0'
0.551643,-8.54073,b'0'
-4.01813,7.29298,b'0'
-6.95321,-2.65025,b'0'
0.356279,7.98588,b'0'
8.42965,-2.88071,b'0'
8.02741,-3.34934,b'0'
7.57553,2.00438,b'0'
-0.357507,-8.62542,b'0'
8.61544,-0.222452,b'0'
-2.04362,-7.19584,b'0'
5.60165,6.89272,b'0'
5.97327,-7.30194,b'0'
-3.62738,-5.43967,b'0'
-7.24685,2.2357,b'0'
-4.59495,-7.31124,b'0'
-5.30046,-4.85625,b'0'
1.56047,6.87754,b'0'
-9.10908,3.66121,b'0'
-6.09998,-2.42141,b'0'
3.41118,-8.24403,b'0'
5.02447,6.23309,b'0'
-0.456333,-9.58963,b'0'
7.08261,-2.5916,b'0'
3.00877,8.42414,b'0'
4.45305,2.35778,b'0'
7.27887,-3.99672,b'0'
7.13003,-5.6681,b'0'
-3.83692,-7.17701,b'0'
2.76877,-5.25105,b'0'
-8.44287,0.604306,b'0'
-3.42877,-7.28249,b'0'
3.13496,9.26048,b'0'
0.880055,-8.91398,b'0'
2.75528,7.94531,b'0'
-3.18285,5.7605,b'0'
-3.24894,-4.9309,b'0'
6.34777,7.02549,b'0'
-2.61835,-6.58875,b'0'
-2.44576,-5.82513,b'0'
-7.62568,-4.81482,b'0'
8.00154,1.80803,b'0'
0.639862,-5.83382,b'0'
-9.00836,-3.52032,b'0'
-6.07629,-4.27976,b'0'
9.58534,0.759049,b'0'
-2.6613,-8.51888,b'0'
3.22454,-5.10526,b'0'
-4.15981,6.06409,b'0'
-0.806334,7.9378,b'0'
0.168184,6.66317,b'0'
-6.25367,-5.51552,b'0'
-0.698221,5.00614,b'0'
7.07778,-3.77609,b'0'
-4.7752,3.29594,b'0'
-5.09542,1.25066,b'0'
-0.152746,-7.20964,b'0'
7.64901,-3.14513,b'0'
-0.185097,9.07277,b'0'
-0.648152,6.51631,b'0'
-3.26808,-6.6241,b'0'
-7.5649,-3.2512,b'0'
-2.96706,-7.3026,b'0'
5.15962,-2.2595,b'0'
6.47677,-4.96974,b'0'
-1.51194,8.80607,b'0'
0.301372,5.16725,b'0'
6.00671,-5.18345,b'0'
1.74536,-5.68414,b'0'
4.0154,6.78079,b'0'
4.7971,4.83487,b'0'
-0.394619,7.6347,b'0'
-3.51594,7.61993,b'0'
-2.91993,4.80266,b'0'
-7.24063,6.77705,b'0'
1.9332,-8.77159,b'0'
-4.13619,3.00705,b'0'
-3.30657,6.55778,b'0'
-6.36784,-4.35437,b'0'
-3.88033,3.34574,b'0'
-4.4405,8.53579,b'0'
0.990839,-6.96454,b'0'
6.99586,-0.658279,b'0'
-0.694529,7.04687,b'0'
7.20209,5.48289,b'0'
-9.12352,1.00651,b'0'
-3.65229,-4.09079,b'0'
5.60925,-5.2795,b'0'
7.4055,4.20126,b'0'
-9.36868,0.538295,b'0'
7.12657,-3.71613,b'0'
6.86296,5.77138,b'0'
-6.95821,-6.63439,b'0'
2.48262,5.38259,b'0'
5.46211,1.73197,b'0'
9.27831,0.637668,b'0'
-2.72106,7.08856,b'0'
-2.82313,-8.3442,b'0'
1.58917,9.15157,b'0'
-1.38554,-6.82461,b'0'
-4.55616,4.54549,b'0'
7.80948,-6.00297,b'0'
-4.74475,-5.00508,b'0'
7.58259,0.646504,b'0'
5.794,-0.274563,b'0'
5.41436,-0.898665,b'0'
-3.86186,-6.27423,b'0'
8.94057,4.19662,b'0'
-7.43265,-0.498783,b'0'
6.86495,-0.764473,b'0'
-1.55113,-9.82532,b'0'
5.79602,-6.3244,b'0'
5.8163,-5.45941,b'0'
3.71841,-4.61972,b'0'
-6.60005,-7.03398,b'0'
-6.46633,0.429735,b'0'
2.5529,6.53511,b'0'
-4.48846,2.51085,b'0'
2.09528,-4.70109,b'0'
-4.54666,4.25586,b'0'
-3.32679,6.62538,b'0'
-7.22515,6.83963,b'0'
-6.27384,-4.40827,b'0'
-0.00908779,7.26159,b'0'
5.62651,4.76073,b'0'
-6.3501,-6.1456,b'0'
-5.56199,-0.347775,b'0'
-5.0471,-6.68902,b'0'
5.58208,-2.00434,b'0'
2.32564,6.96653,b'0'
6.47737,5.14741,b'0'
-7.45876,0.631613,b'0'
-4.4864,-2.98613,b'0'
3.5133,7.95212,b'0'
-8.71046,3.21878,b'0'
6.34578,-6.43568,b'0'
-4.53929,8.19252,b'0'
-9.30935,-2.25907,b'0'
6.60694,2.88537,b'0'
-5.54306,-2.14513,b'0'
6.77415,-6.84449,b'0'
-4.76716,-1.60418,b'0'
-1.3812,6.10714,b'0'
2.63553,-4.57001,b'0'
5.65821,-2.45151,b'0'
-2.51522,6.65605,b'0'
8.19213,5.18448,b'0'
-4.3727,8.00475,b'0'
-7.50294,-1.91208,b'0'
2.96615,-7.94864,b'0'
7.15262,-5.83186,b'0'
3.85049,-4.74756,b'0'
2.68373,5.46234,b'0'
