a0,a1,class
-0.263573,0.72294,b'0'
-0.248011,0.692245,b'0'
-0.266319,0.708402,b'0'
-0.26449,0.714163,b'0'
-0.248526,0.693369,b'0'
-0.254865,0.703397,b'0'
-0.269865,0.695185,b'0'
-0.279757,0.703903,b'0'
-0.280183,0.712842,b'0'
-0.260677,0.709206,b'0'
-0.250033,0.708696,b'0'
-0.263806,0.688634,b'0'
-0.250896,0.690484,b'0'
-0.264622,0.708063,b'0'
-0.259449,0.696423,b'0'
-0.252722,0.7104,b'0'
-0.253923,0.69326,b'0'
-0.250385,0.70271,b'0'
-0.259496,0.690104,b'0'
-0.260396,0.692989,b'0'
-0.257952,0.692667,b'0'
-0.262485,0.687109,b'0'
-0.258512,0.713972,b'0'
-0.242786,0.715323,b'0'
-0.268774,0.676755,b'0'
-0.246396,0.688547,b'0'
-0.253849,0.69611,b'0'
-0.259035,0.687182,b'0'
-0.262777,0.709995,b'0'
-0.264291,0.699998,b'0'
-0.26332,0.694839,b'0'
-0.249463,0.690954,b'0'
-0.236427,0.708997,b'0'
-0.252006,0.698943,b'0'
-0.246314,0.700978,b'0'
-0.261345,0.704031,b'0'
-0.263253,0.707465,b'0'
-0.253208,0.713635,b'0'
-0.266256,0.68532,b'0'
-0.238615,0.688666,b'0'
-0.265058,0.687448,b'0'
-0.2768,0.694762,b'0'
-0.249905,0.697302,b'0'
-0.237335,0.703676,b'0'
-0.270765,0.708563,b'0'
-0.283308,0.698937,b'0'
-0.269364,0.690528,b'0'
-0.257304,0.703368,b'0'
-0.267129,0.686391,b'0'
-0.25482,0.69232,b'0'
-0.267086,0.688725,b'0'
-0.267592,0.691745,b'0'
-0.243758,0.706381,b'0'
-0.275654,0.710587,b'0'
-0.279522,0.730134,b'0'
-0.26737,0.699369,b'0'
-0.261092,0.697099,b'0'
-0.26471,0.7013,b'0'
-0.260737,0.691204,b'0'
-0.256826,0.694491,b'0'
-0.271499,0.694623,b'0'
-0.243872,0.701807,b'0'
-0.250547,0.702444,b'0'
-0.271048,0.695832,b'0'
-0.261703,0.694328,b'0'
-0.249681,0.684412,b'0'
-0.257744,0.71666,b'0'
-0.256482,0.703148,b'0'
-0.26161,0.69184,b'0'
-0.250471,0.697024,b'0'
-0.266872,0.712757,b'0'
-0.266746,0.702967,b'0'
-0.241541,0.712407,b'0'
-0.287675,0.701506,b'0'
-0.26725,0.709069,b'0'
-0.269459,0.691275,b'0'
-0.251862,0.69533,b'0'
-0.270322,0.694677,b'0'
-0.249503,0.671557,b'0'
-0.265605,0.705278,b'0'
-0.260938,0.698398,b'0'
-0.267459,0.684429,b'0'
-0.249959,0.697713,b'0'
-0.257282,0.699661,b'0'
-0.27112,0.703197,b'0'
-0.251157,0.691685,b'0'
-0.258479,0.691335,b'0'
-0.253348,0.693741,b'0'
-0.243203,0.713748,b'0'
-0.262485,0.694455,b'0'
-0.275539,0.691744,b'0'
-0.251941,0.699007,b'0'
-0.247037,0.683256,b'0'
-0.255975,0.698592,b'0'
-0.263164,0.69983,b'0'
-0.24582,0.704174,b'0'
-0.248296,0.701021,b'0'
-0.246246,0.686573,b'0'
-0.265035,0.682667,b'0'
-0.254259,0.687549,b'0'
-0.255796,0.707476,b'0'
-0.258457,0.701812,b'0'
-0.264339,0.707868,b'0'
-0.256362,0.708925,b'0'
-0.263472,0.68771,b'0'
-0.260099,0.701863,b'0'
-0.267088,0.706239,b'0'
-0.266857,0.698315,b'0'
-0.266125,0.690026,b'0'
-0.259551,0.704458,b'0'
-0.269911,0.702762,b'0'
-0.262642,0.716823,b'0'
-0.256562,0.694523,b'0'
-0.258808,0.697819,b'0'
-0.244172,0.701984,b'0'
-0.239263,0.710624,b'0'
-0.261009,0.680438,b'0'
-0.269871,0.704423,b'0'
-0.24986,0.723268,b'0'
-0.24838,0.714437,b'0'
-0.248767,0.702447,b'0'
-0.252953,0.687318,b'0'
-0.278011,0.714956,b'0'
-0.259515,0.699965,b'0'
-0.248876,0.710562,b'0'
-0.245738,0.716134,b'0'
-0.278918,0.692102,b'0'
-0.250244,0.704342,b'0'
-0.250651,0.705796,b'0'
-0.271385,0.695465,b'0'
-0.249472,0.69129,b'0'
-0.267263,0.670364,b'0'
-0.267401,0.698341,b'0'
-0.257373,0.704374,b'0'
-0.240599,0.689916,b'0'
-0.246742,0.694207,b'0'
-0.254588,0.674561,b'0'
-0.26611,0.695772,b'0'
-0.256151,0.71046,b'0'
-0.246996,0.694051,b'0'
-0.269887,0.709621,b'0'
-0.260556,0.702843,b'0'
-0.25557,0.700643,b'0'
-0.261102,0.699691,b'0'
-0.2626,0.713231,b'0'
-0.25958,0.693732,b'0'
-0.254688,0.703253,b'0'
-0.256403,0.690443,b'0'
-0.280125,0.700513,b'0'
-0.25281,0.671217,b'0'
-0.262007,0.695527,b'0'
-0.27261,0.692958,b'0'
-0.243527,0.704017,b'0'
-0.253408,0.701956,b'0'
-0.237212,0.697515,b'0'
-0.268922,0.680554,b'0'
-0.246939,0.713583,b'0'
-0.259401,0.716429,b'0'
-0.268285,0.683945,b'0'
-0.275537,0.69027,b'0'
-0.274595,0.690679,b'0'
-0.260934,0.686178,b'0'
-0.262149,0.701982,b'0'
-0.273426,0.71514,b'0'
-0.246651,0.687191,b'0'
-0.240677,0.707335,b'0'
-0.261078,0.701597,b'0'
-0.25901,0.691104,b'0'
-0.260348,0.708316,b'0'
-0.253987,0.693785,b'0'
-0.251646,0.688262,b'0'
-0.236323,0.706217,b'0'
-0.239931,0.710663,b'0'
-0.260114,0.702565,b'0'
-0.251608,0.706249,b'0'
-0.256205,0.704334,b'0'
-0.273247,0.697121,b'0'
-0.254061,0.702221,b'0'
-0.267389,0.704285,b'0'
-0.263769,0.677359,b'0'
-0.271398,0.70085,b'0'
-0.248285,0.685245,b'0'
-0.250117,0.695584,b'0'
-0.260523,0.712861,b'0'
-0.255307,0.688355,b'0'
-0.256159,0.718269,b'0'
-0.267802,0.71245,b'0'
-0.249422,0.695016,b'0'
-0.267659,0.69583,b'0'
-0.262882,0.713117,b'0'
-0.250146,0.716513,b'0'
-0.259291,0.690809,b'0'
-0.258048,0.706112,b'0'
-0.244413,0.691664,b'0'
-0.250594,0.711957,b'0'
-0.232147,0.696348,b'0'
-0.254008,0.686447,b'0'
-0.256112,0.704693,b'0'
-0.266902,0.685253,b'0'
-0.241826,0.692043,b'0'
-0.260771,0.695125,b'0'
-0.254646,0.711648,b'0'
-0.271519,0.701898,b'0'
-0.260631,0.707299,b'0'
-0.264858,0.70532,b'0'
-0.264252,0.707857,b'0'
-0.269769,0.691018,b'0'
-0.267728,0.681694,b'0'
-0.257314,0.722815,b'0'
-0.263217,0.726148,b'0'
-0.259609,0.700033,b'0'
-0.258662,0.701229,b'0'
-0.254046,0.688845,b'0'
-0.257815,0.706674,b'0'
-0.257691,0.701581,b'0'
-0.252211,0.709395,b'0'
-0.249038,0.694791,b'0'
-0.248815,0.695316,b'0'
-0.247273,0.692206,b'0'
-0.262674,0.695082,b'0'
-0.275997,0.702822,b'0'
-0.252215,0.701663,b'0'
-0.253944,0.725686,b'0'
-0.246007,0.716011,b'0'
-0.253887,0.695225,b'0'
-0.255964,0.692506,b'0'
-0.268358,0.697868,b'0'
-0.272203,0.697073,b'0'
-0.253622,0.688038,b'0'
-0.268184,0.705992,b'0'
-0.253969,0.719482,b'0'
-0.256456,0.692041,b'0'
-0.265248,0.699204,b'0'
-0.262719,0.710516,b'0'
-0.261153,0.686116,b'0'
-0.273378,0.694725,b'0'
-0.255906,0.702616,b'0'
-0.264628,0.691699,b'0'
-0.245236,0.70279,b'0'
-0.246336,0.700349,b'0'
-0.250032,0.699209,b'0'
-0.252084,0.708898,b'0'
-0.243772,0.691922,b'0'
-0.24933,0.700239,b'0'
