x,y,CLASS
-0.355166733,0.709648907,b'0'
-0.355980426,0.709710836,b'0'
-0.35798499,0.705306292,b'0'
-0.354210407,0.708723843,b'0'
-0.357727766,0.711061656,b'0'
-0.342111528,0.69286716,b'0'
-0.353990346,0.711639881,b'0'
-0.328051329,0.682727814,b'0'
-0.337683409,0.684277058,b'0'
-0.338477165,0.684820414,b'0'
-0.356296748,0.709886253,b'0'
-0.359483719,0.711790919,b'0'
-0.335943937,0.685902297,b'0'
-0.339982301,0.687572479,b'0'
-0.332751393,0.682247639,b'0'
-0.356422991,0.712139845,b'0'
-0.345487654,0.688553214,b'0'
-0.327722967,0.679975271,b'0'
-0.347314954,0.698106885,b'0'
-0.339793891,0.697714269,b'0'
-0.361012787,0.711489797,b'0'
-0.33598721,0.681954086,b'0'
-0.340517431,0.680132151,b'0'
-0.349695534,0.695294023,b'0'
-0.337336123,0.686049163,b'0'
-0.335754007,0.686548769,b'0'
-0.355416954,0.712496102,b'0'
-0.328028113,0.679153085,b'0'
-0.331406415,0.67652154,b'0'
-0.350081056,0.712638259,b'0'
-0.351410359,0.709294736,b'0'
-0.333279699,0.682242274,b'0'
-0.346873999,0.691704273,b'0'
-0.333730817,0.677888095,b'0'
-0.335690349,0.682726681,b'0'
-0.329354107,0.688443422,b'0'
-0.340038717,0.684874356,b'0'
-0.336753964,0.693403602,b'0'
-0.335268617,0.696663976,b'0'
-0.341640592,0.688440681,b'0'
-0.333380491,0.684598863,b'0'
-0.338232696,0.695101976,b'0'
-0.328526855,0.688519716,b'0'
-0.349693924,0.690638363,b'0'
-0.364311308,0.706660032,b'0'
-0.329823643,0.686577022,b'0'
-0.345634967,0.700473368,b'0'
-0.351113349,0.705801129,b'0'
-0.331245273,0.688853979,b'0'
-0.350241095,0.711974084,b'0'
-0.347328752,0.707273185,b'0'
-0.362341911,0.711595774,b'0'
-0.330468118,0.673486292,b'0'
-0.325013369,0.686255813,b'0'
-0.336878687,0.690746129,b'0'
-0.328980714,0.67466712,b'0'
-0.331179678,0.683738828,b'0'
-0.351348102,0.703023612,b'0'
-0.360188216,0.71482873,b'0'
-0.334301978,0.692589641,b'0'
-0.353826672,0.701887906,b'0'
-0.326646,0.679573238,b'0'
