x,y,class
0.28283,0.88552,b'1'
0.27609,0.86195,b'1'
0.27273,0.84512,b'1'
0.27273,0.82492,b'1'
0.27273,0.78451,b'1'
0.26936,0.81145,b'1'
0.27609,0.76094,b'1'
0.2963,0.77778,b'1'
0.29966,0.81818,b'1'
0.30303,0.86869,b'1'
0.28956,0.85185,b'1'
0.2862,0.81481,b'1'
0.2862,0.78114,b'1'
0.2862,0.79461,b'1'
0.30303,0.83838,b'1'
0.28956,0.75758,b'1'
0.28956,0.73064,b'1'
0.27946,0.74074,b'1'
0.26936,0.76768,b'1'
0.3064,0.77778,b'1'
0.2963,0.74747,b'1'
0.30303,0.80135,b'1'
0.30976,0.84848,b'1'
0.29966,0.85522,b'1'
0.2963,0.87205,b'1'
0.30976,0.76094,b'1'
0.3165,0.79461,b'1'
0.3165,0.83165,b'1'
0.31313,0.73064,b'1'
0.3064,0.74074,b'1'
0.29293,0.72391,b'1'
0.28283,0.71044,b'1'
0.28283,0.73064,b'1'
0.27609,0.75084,b'1'
0.27609,0.72054,b'1'
0.30303,0.72054,b'1'
0.26936,0.74747,b'1'
0.2963,0.70707,b'1'
0.2862,0.83502,b'1'
0.28283,0.86869,b'1'
0.28956,0.69697,b'2'
0.27609,0.6835,b'2'
0.27609,0.6734,b'2'
0.28283,0.69024,b'2'
0.29966,0.67677,b'2'
0.29293,0.6835,b'2'
0.2862,0.6734,b'2'
0.2862,0.64983,b'2'
0.29966,0.68013,b'2'
0.30303,0.65657,b'2'
0.30303,0.633,b'2'
0.30303,0.60269,b'2'
0.29966,0.57239,b'2'
0.3064,0.60269,b'2'
0.31313,0.64646,b'2'
0.30976,0.67677,b'2'
0.30976,0.63973,b'2'
0.28956,0.62626,b'2'
0.29966,0.64646,b'2'
0.2862,0.65993,b'2'
0.27946,0.633,b'2'
0.28283,0.61616,b'2'
0.28283,0.60269,b'2'
0.29293,0.61279,b'2'
0.31313,0.6229,b'2'
0.3064,0.6229,b'2'
0.29293,0.58586,b'2'
0.29293,0.56566,b'2'
0.2862,0.57912,b'2'
0.3064,0.56229,b'2'
0.31313,0.58923,b'2'
0.31313,0.59596,b'2'
0.3165,0.60943,b'2'
0.29966,0.61279,b'2'
0.30303,0.66667,b'2'
0.27609,0.6633,b'2'
0.26936,0.633,b'2'
0.27273,0.64983,b'2'
0.29966,0.69697,b'2'
0.2862,0.58923,b'2'
0.26936,0.61953,b'2'
0.27609,0.60943,b'2'
0.30303,0.59259,b'2'
0.31313,0.57912,b'2'
0.29293,0.59933,b'2'
0.3165,0.65657,b'2'
0.3266,0.62963,b'2'
0.3266,0.60606,b'2'
0.32323,0.6532,b'2'
0.3266,0.63973,b'2'
0.3468,0.6229,b'2'
0.27609,0.59259,b'2'
0.3165,0.71717,b'2'
0.3367,0.6835,b'2'
0.3266,0.6734,b'2'
0.29966,0.6835,b'2'
0.29966,0.6532,b'2'
0.29966,0.63973,b'2'
0.28956,0.6633,b'2'
