x,y,class
3.51,8.23,b'4'
1.15,7.98,b'4'
0.36,9.5,b'4'
0.75,8.45,b'4'
0.73,8.27,b'4'
-0.1,7.94,b'4'
-0.18,6.3,b'4'
3.26,6.88,b'4'
-0.88,7.83,b'4'
-1.9,7.67,b'4'
2.69,8.71,b'4'
-0.27,8.91,b'4'
2.44,9.5,b'4'
-1.01,8.5,b'4'
-0.89,9.21,b'4'
3.21,7.17,b'4'
1.35,7.64,b'4'
-0.03,8.47,b'4'
3.28,7.86,b'4'
-0.01,7.68,b'4'
3.19,8.95,b'4'
-0.54,8.18,b'4'
0.39,7.13,b'4'
2.75,9.17,b'4'
0.08,7.1,b'4'
-0.42,7.61,b'4'
-1.24,7.36,b'4'
-1.87,8.33,b'4'
-1.38,8.78,b'4'
-0.83,8.1,b'4'
0.64,6.72,b'4'
-0.15,6.55,b'4'
0.36,8.75,b'4'
-0.63,6.76,b'4'
1.37,7.87,b'4'
-1.7,8.83,b'4'
2.58,8.09,b'4'
0.18,7.66,b'4'
-1.26,7.62,b'4'
1.37,9.06,b'4'
-0.09,6.72,b'4'
2.72,8.73,b'4'
-0.03,9.43,b'4'
2.38,6.71,b'4'
-0.5,9.21,b'4'
-1.18,6.92,b'4'
-1.68,7.51,b'4'
0.17,9.49,b'4'
1.28,7.82,b'4'
0.31,6.54,b'4'
6.23,3.1,b'5'
6.77,4.38,b'5'
7.09,3.27,b'5'
2.45,4.39,b'5'
6.59,4.56,b'5'
4.22,2.94,b'5'
3.66,5.42,b'5'
2.96,5.0,b'5'
5.64,4.64,b'5'
3.12,5.01,b'5'
5.39,5.66,b'5'
3.84,5.67,b'5'
3.47,2.65,b'5'
6.53,3.05,b'5'
4.3,3.71,b'5'
3.38,4.3,b'5'
5.03,2.61,b'5'
5.23,5.38,b'5'
7.11,3.54,b'5'
2.55,3.35,b'5'
6.39,2.91,b'5'
5.97,4.79,b'5'
3.57,3.75,b'5'
2.96,3.88,b'5'
5.74,5.3,b'5'
3.13,5.29,b'5'
6.22,3.43,b'5'
4.95,3.88,b'5'
5.42,2.29,b'5'
3.42,3.83,b'5'
4.3,4.15,b'5'
2.97,3.89,b'5'
2.73,4.98,b'5'
4.12,3.66,b'5'
6.13,3.26,b'5'
4.91,2.3,b'5'
2.9,5.06,b'5'
2.35,3.55,b'5'
7.36,4.95,b'5'
5.71,2.66,b'5'
6.56,4.28,b'5'
3.65,5.28,b'5'
6.44,2.52,b'5'
3.1,2.9,b'5'
3.72,3.89,b'5'
3.77,3.29,b'5'
6.1,2.2,b'5'
3.9,3.49,b'5'
4.12,4.97,b'5'
3.8,3.71,b'5'
0.74,-5.26,b'6'
-0.22,-6.19,b'6'
-1.44,-6.59,b'6'
-1.81,-6.49,b'6'
0.54,-5.04,b'6'
-3.06,-7.39,b'6'
0.14,-6.69,b'6'
-1.81,-7.64,b'6'
-3.01,-5.02,b'6'
-3.8,-4.65,b'6'
-0.96,-5.37,b'6'
-1.51,-4.37,b'6'
-1.28,-7.34,b'6'
-4.64,-5.19,b'6'
-2.34,-7.03,b'6'
-4.69,-6.23,b'6'
0.09,-6.91,b'6'
-1.14,-6.33,b'6'
-1.91,-4.32,b'6'
-0.82,-4.39,b'6'
-4.51,-5.64,b'6'
-3.06,-4.23,b'6'
0.8,-6.32,b'6'
-1.87,-5.2,b'6'
-1.5,-6.57,b'6'
-0.79,-4.58,b'6'
-0.38,-5.96,b'6'
-4.15,-6.54,b'6'
-3.4,-7.2,b'6'
-0.32,-6.29,b'6'
-2.73,-4.26,b'6'
-3.34,-5.03,b'6'
0.1,-4.95,b'6'
-1.17,-4.98,b'6'
-2.93,-5.28,b'6'
-3.71,-6.66,b'6'
-0.27,-7.33,b'6'
-3.05,-7.13,b'6'
-3.03,-7.27,b'6'
-1.8,-7.12,b'6'
-2.04,-4.33,b'6'
-2.72,-4.49,b'6'
-3.25,-5.96,b'6'
-3.86,-7.34,b'6'
-0.34,-6.89,b'6'
0.28,-7.09,b'6'
-3.83,-7.1,b'6'
-2.24,-5.96,b'6'
-0.44,-7.1,b'6'
-3.06,-4.57,b'6'
0.57,1.59,b'2'
-1.1,0.14,b'2'
-0.46,-1.79,b'2'
2.72,-0.34,b'2'
0.97,-0.3,b'2'
0.45,-1.17,b'2'
-1.24,-0.78,b'2'
1.82,0.34,b'2'
0.86,1.69,b'2'
-0.76,-1.92,b'2'
0.26,-0.42,b'2'
1.93,-1.25,b'2'
0.45,0.1,b'2'
-2.0,0.1,b'2'
2.24,0.82,b'2'
-1.12,1.84,b'2'
1.67,0.82,b'2'
-0.64,-1.36,b'2'
-1.17,1.43,b'2'
0.24,-1.9,b'2'
1.26,-1.43,b'2'
-0.68,0.03,b'2'
-2.25,-1.11,b'2'
-0.6,-1.72,b'2'
1.25,0.68,b'2'
-0.71,-1.38,b'2'
0.61,-1.83,b'2'
-1.27,0.98,b'2'
-1.78,-0.14,b'2'
0.26,-1.05,b'2'
1.49,1.3,b'2'
-2.67,-0.53,b'2'
1.22,-1.52,b'2'
-0.76,1.62,b'2'
-0.26,-0.74,b'2'
-0.64,0.39,b'2'
2.66,0.22,b'2'
-0.62,-0.75,b'2'
1.75,0.4,b'2'
2.69,-0.21,b'2'
0.6,-1.84,b'2'
-0.19,1.94,b'2'
-2.72,0.76,b'2'
-2.34,0.73,b'2'
-0.08,-0.06,b'2'
-0.71,0.75,b'2'
1.62,0.3,b'2'
0.03,1.58,b'2'
-1.34,0.95,b'2'
-1.93,1.32,b'2'
8.4,0.95,b'1'
12.67,-0.43,b'1'
11.25,-1.81,b'1'
11.74,-0.54,b'1'
11.83,0.55,b'1'
10.2,-0.81,b'1'
8.66,-1.11,b'1'
9.32,-1.42,b'1'
10.37,-0.59,b'1'
9.23,0.43,b'1'
11.26,-1.32,b'1'
12.18,-0.46,b'1'
9.15,-1.48,b'1'
9.94,0.34,b'1'
11.77,-0.88,b'1'
11.81,0.31,b'1'
13.06,0.02,b'1'
12.45,-0.7,b'1'
10.91,-0.86,b'1'
8.85,-0.51,b'1'
10.34,0.15,b'1'
9.99,-0.31,b'1'
11.09,1.02,b'1'
13.07,1.08,b'1'
10.23,-1.75,b'1'
9.04,1.05,b'1'
12.25,-0.38,b'1'
9.91,0.62,b'1'
9.13,0.24,b'1'
11.69,0.28,b'1'
12.58,0.69,b'1'
9.23,-0.66,b'1'
10.49,-0.05,b'1'
12.34,-0.87,b'1'
8.89,0.78,b'1'
8.07,0.3,b'1'
12.0,0.8,b'1'
12.82,-1.32,b'1'
10.06,-0.04,b'1'
10.62,0.68,b'1'
9.72,0.32,b'1'
10.6,-1.34,b'1'
8.38,0.14,b'1'
12.29,0.89,b'1'
10.05,-1.03,b'1'
11.3,1.54,b'1'
10.07,0.98,b'1'
10.07,-1.09,b'1'
13.66,-0.87,b'1'
8.46,1.07,b'1'
-11.64,1.37,b'9'
-10.71,-0.95,b'9'
