x,y,class
-0.585835,-0.401656,b'0'
-1.13392,-0.910653,b'0'
-0.898172,-1.07502,b'0'
-0.365161,-0.379199,b'0'
0.172448,-0.203041,b'0'
-1.43784,-0.83774,b'0'
-0.586947,-0.865428,b'0'
-0.509167,-0.913249,b'0'
0.0160104,-0.265462,b'0'
-0.303003,-0.668266,b'0'
-1.32478,-0.761519,b'0'
-0.789443,-0.604025,b'0'
-0.681078,-0.266194,b'0'
-1.20215,-0.815888,b'0'
-0.588469,-0.547638,b'0'
-0.356192,-0.252426,b'0'
-1.52899,-1.16619,b'0'
-0.571526,-0.525328,b'0'
-1.10776,-0.90191,b'0'
0.0854506,-0.200078,b'0'
-0.0795118,-0.244821,b'0'
-1.58956,-0.82734,b'0'
-0.882815,-1.03291,b'0'
-0.0226562,-0.330175,b'0'
-0.603857,-0.607451,b'0'
-0.939056,-0.923235,b'0'
-1.54462,-1.22342,b'0'
-1.25772,-1.07925,b'0'
-0.638864,-0.791312,b'0'
-0.605087,-0.225404,b'0'
-1.22772,-0.962691,b'0'
-1.59126,-0.955835,b'0'
-0.490727,-0.452298,b'0'
-0.0195369,-0.282084,b'0'
-1.17823,-0.662493,b'0'
-0.226727,-0.630257,b'0'
-0.363046,-0.591963,b'0'
-1.64826,-1.42303,b'0'
-0.938966,-0.583673,b'0'
-0.647177,-1.07351,b'0'
-0.751564,-0.76207,b'0'
-1.60725,-1.33554,b'0'
-0.936239,-0.716931,b'0'
-0.297093,-0.0826591,b'0'
-1.31761,-0.656078,b'0'
-1.50532,-1.16879,b'0'
-1.65098,-1.241,b'0'
-0.321559,-0.48635,b'0'
-0.4488,-0.339232,b'0'
-0.518523,-0.285819,b'0'
-0.643772,-0.539759,b'0'
-0.711098,-0.313798,b'0'
-0.0668361,-0.0328402,b'0'
-0.61127,-0.905858,b'0'
-0.92148,-0.885539,b'0'
-1.02333,-0.968717,b'0'
-1.54719,-1.15118,b'0'
-1.26029,-0.959315,b'0'
-0.319118,-0.466954,b'0'
-0.177719,-0.155611,b'0'
-0.506707,-0.384676,b'0'
0.241723,-0.152738,b'0'
-0.726694,-0.324555,b'0'
-0.766221,-0.581867,b'0'
0.222186,-0.246717,b'0'
-0.564669,-0.697595,b'0'
-1.19146,-1.1202,b'0'
-1.38869,-0.930326,b'0'
-0.211033,-0.0694245,b'0'
-1.74823,-1.02762,b'0'
-1.44603,-1.07043,b'0'
-0.281285,-0.403171,b'0'
0.167996,-0.0711532,b'0'
-0.0854518,-0.141995,b'0'
-0.448893,-0.40739,b'0'
-1.2473,-0.784423,b'0'
0.103036,-0.527119,b'0'
0.10599,-0.121666,b'0'
-0.862378,-0.758065,b'0'
-1.83386,-1.22837,b'0'
-1.00853,-0.923721,b'0'
-1.11958,-1.12774,b'0'
-1.0647,-1.15874,b'0'
-1.13463,-0.985945,b'0'
-0.570435,-1.04625,b'0'
-1.46636,-0.783364,b'0'
-1.64958,-1.17206,b'0'
-0.516398,-0.468889,b'0'
-1.36599,-1.33378,b'0'
-1.30711,-0.645879,b'0'
-0.237667,-0.423474,b'0'
-1.50285,-0.987157,b'0'
-0.97778,-0.588835,b'0'
0.0671051,-0.299607,b'0'
-1.65967,-1.24569,b'0'
-0.366234,-0.466544,b'0'
-0.571356,-0.347466,b'0'
-0.429063,-0.453724,b'0'
-0.98477,-1.10406,b'0'
-0.8123,-0.708308,b'0'
-0.79821,-1.00958,b'0'
-0.579938,-0.761309,b'0'
-0.537748,-0.56848,b'0'
-0.30264,-0.342319,b'0'
-0.842391,-0.732896,b'0'
-1.23492,-0.906338,b'0'
-1.79088,-1.14082,b'0'
-1.26478,-1.1849,b'0'
-0.843117,-0.754856,b'0'
-0.948825,-1.08643,b'0'
-1.50044,-1.04681,b'0'
-0.933405,-1.11914,b'0'
-0.273563,-0.439946,b'0'
-0.369036,-0.416664,b'0'
-1.36042,-1.16305,b'0'
-1.76158,-1.35602,b'0'
-0.197375,-0.592986,b'0'
-0.607059,-0.505345,b'0'
-0.562626,-0.683408,b'0'
0.144665,-0.211468,b'0'
0.220343,-0.34969,b'0'
-0.581623,-0.963184,b'0'
-0.133789,-0.464616,b'0'
-1.21212,-0.824299,b'0'
-1.28217,-1.11003,b'0'
-0.192406,-0.291159,b'0'
-1.63248,-1.04487,b'0'
-0.133453,-0.599766,b'0'
0.0692506,-0.319421,b'0'
-1.4999,-0.907588,b'0'
-1.19433,-0.789085,b'0'
-0.795208,-0.819344,b'0'
-1.52462,-1.24739,b'0'
-0.173608,-0.535402,b'0'
-0.409848,-0.330759,b'0'
-1.58818,-1.14141,b'0'
-0.601206,-0.792217,b'0'
-0.460027,-0.302771,b'0'
-0.481636,-0.669796,b'0'
-0.84439,-0.765982,b'0'
-1.06653,-0.683752,b'0'
-0.671334,-0.614558,b'0'
-1.63227,-1.34141,b'0'
-0.989481,-1.07831,b'0'
-1.40006,-1.03903,b'0'
-1.44438,-1.26208,b'0'
-0.141613,-0.0523385,b'0'
-0.59391,-1.03964,b'0'
-0.16278,-0.417046,b'0'
-0.915247,-0.748029,b'0'
-1.79151,-1.27673,b'0'
-1.28764,-0.984605,b'0'
-0.82374,-1.04987,b'0'
-0.352946,-0.0962342,b'0'
-0.0286291,-0.131426,b'0'
-0.496043,-0.526966,b'0'
-0.190448,-0.396327,b'0'
-1.14499,-0.916689,b'0'
-1.39443,-0.746652,b'0'
-0.908277,-1.02232,b'0'
-1.44719,-0.999583,b'0'
-1.52655,-0.98479,b'0'
-0.825774,-0.777939,b'0'
-0.97136,-1.27296,b'0'
-0.405186,-0.49455,b'0'
-0.535241,-0.181429,b'0'
-1.69591,-1.36152,b'0'
-0.737435,-0.488719,b'0'
-0.35622,-0.306958,b'0'
-0.976388,-0.787457,b'0'
0.101095,-0.232239,b'0'
-0.944946,-1.14355,b'0'
-0.139942,-0.257978,b'0'
-1.22338,-1.1698,b'0'
-0.0528075,-0.113643,b'0'
-1.57894,-1.05312,b'0'
-0.959237,-0.793686,b'0'
-1.16586,-1.2165,b'0'
-0.251113,-0.457571,b'0'
0.135096,-0.249598,b'0'
-0.890729,-0.374777,b'0'
-0.747481,-0.380005,b'0'
-1.58102,-1.21327,b'0'
-0.124202,-0.195426,b'0'
-1.89331,-1.25127,b'0'
-0.664059,-0.767556,b'0'
-0.636296,-0.351712,b'0'
0.0292661,-0.474749,b'0'
-0.841541,-0.721598,b'0'
-1.39087,-0.91469,b'0'
-0.90491,-0.538059,b'0'
-0.349811,-0.277408,b'0'
-1.69179,-1.27489,b'0'
-0.746339,-0.602976,b'0'
-1.69143,-1.26639,b'0'
-1.57171,-1.33745,b'0'
-1.42714,-0.832868,b'0'
-0.55003,-0.331572,b'0'
-0.397511,-0.280216,b'0'
0.134197,-0.511367,b'0'
-0.573617,-0.395324,b'0'
-0.762676,-0.683296,b'0'
-0.575971,-0.512577,b'0'
-0.0654717,-0.568323,b'0'
-1.12754,-0.749128,b'0'
-1.53471,-0.975485,b'0'
-0.271249,-0.522593,b'0'
-1.62913,-1.19313,b'0'
-1.07709,-1.15157,b'0'
-1.36947,-0.991975,b'0'
-0.122351,-0.410563,b'0'
-1.66431,-1.24621,b'0'
-0.722031,-0.649967,b'0'
-0.124531,-0.0843764,b'0'
-1.21959,-0.928482,b'0'
-0.758261,-0.640731,b'0'
-0.246861,-0.447393,b'0'
-0.676403,-0.635794,b'0'
-0.354014,-0.496037,b'0'
-0.84079,-0.885324,b'0'
-0.661796,-0.71473,b'0'
-1.0948,-0.672154,b'0'
-0.922057,-0.793649,b'0'
-1.1749,-0.910883,b'0'
-1.51514,-0.803416,b'0'
-0.415165,-0.442335,b'0'
-1.56453,-1.08796,b'0'
0.215712,-0.1333,b'0'
-0.831961,-0.402142,b'0'
-0.102829,-0.351821,b'0'
-1.12104,-0.75443,b'0'
-0.440818,-0.532678,b'0'
-0.000543608,-0.274342,b'0'
-0.29761,-0.334209,b'0'
-0.490103,-0.140143,b'0'
-1.53428,-1.15939,b'0'
-0.65982,-0.755611,b'0'
-0.108143,-0.237353,b'0'
-0.771305,-1.06554,b'0'
-0.388888,-0.499662,b'0'
-0.937495,-0.868663,b'0'
-0.224424,-0.669784,b'0'
-0.314139,-0.533031,b'0'
-0.408847,-0.604549,b'0'
-0.616944,-0.389137,b'0'
-0.757474,-0.747227,b'0'
-0.499307,-0.894919,b'0'
-0.321554,-0.135676,b'0'
-0.153256,-0.461409,b'0'
-0.523628,-0.218137,b'0'
-0.612442,-0.47551,b'0'
-0.136983,-0.723533,b'0'
0.0182296,-0.137277,b'0'
-0.00989252,-0.622219,b'0'
-0.952265,-0.758731,b'0'
-0.898302,-0.822897,b'0'
-0.656739,-0.80121,b'0'
-0.0905194,-0.339754,b'0'
0.174543,-0.310314,b'0'
-1.19218,-1.13064,b'0'
-1.21802,-1.15835,b'0'
0.0416623,-0.633406,b'0'
-1.52499,-1.30735,b'0'
-1.3545,-1.09739,b'0'
-0.969419,-1.05217,b'0'
-1.07984,-0.541994,b'0'
-1.90178,-1.23113,b'0'
-0.807512,-1.00028,b'0'
-0.860425,-0.757206,b'0'
-1.40125,-1.11788,b'0'
-0.871713,-0.600469,b'0'
-0.773683,-0.316649,b'0'
-0.637245,-0.674593,b'0'
-0.515525,-0.592955,b'0'
-0.371327,-0.25788,b'0'
-1.05804,-0.703104,b'0'
-1.23535,-0.981609,b'0'
-1.07004,-0.625969,b'0'
-0.615604,-0.601529,b'0'
-1.82057,-1.06182,b'0'
-0.813062,-1.03348,b'0'
-0.446241,-0.589668,b'0'
-1.71692,-1.0488,b'0'
-0.0403223,-0.119982,b'0'
-1.21888,-1.03095,b'0'
-0.247251,-0.834567,b'0'
-0.875636,-0.473088,b'0'
-0.610605,-0.460074,b'0'
-1.37755,-1.16186,b'0'
-1.29256,-0.678879,b'0'
-0.824131,-0.497743,b'0'
-0.950907,-0.8357,b'0'
0.269689,-0.246117,b'0'
0.188469,-0.427051,b'0'
-0.905399,-0.576755,b'0'
-0.544564,-0.528987,b'0'
-1.29264,-0.794489,b'0'
-1.56284,-1.20003,b'0'
-1.35529,-1.04201,b'0'
-0.753717,-0.878472,b'0'
-0.459711,-0.624416,b'0'
-1.24078,-0.968107,b'0'
-0.0650886,-0.569348,b'0'
-1.57726,-1.16084,b'0'
-1.25033,-0.661209,b'0'
0.153623,-0.149861,b'0'
-1.06499,-1.11823,b'0'
-0.0815626,-0.516878,b'0'
-1.39127,-1.03074,b'0'
-1.04208,-0.878745,b'0'
0.0176462,-0.170057,b'0'
-0.482228,-0.208543,b'0'
-0.344554,-0.465296,b'0'
-1.50068,-1.23248,b'0'
-1.74752,-1.24605,b'0'
-0.849332,-0.587944,b'0'
0.0608585,-0.261789,b'0'
-1.46381,-1.19468,b'0'
-1.26009,-1.21306,b'0'
-1.69141,-1.38373,b'0'
-0.577958,-0.528118,b'0'
-1.83706,-1.26892,b'0'
-0.9842,-0.828608,b'0'
-1.12122,-0.866607,b'0'
-1.59646,-1.12625,b'0'
-0.0527869,-0.226667,b'0'
-1.32943,-0.936452,b'0'
-0.768989,-0.475078,b'0'
-0.864986,-0.76106,b'0'
0.00582605,-0.4006,b'0'
0.015794,-0.215023,b'0'
-1.47155,-0.683377,b'0'
-0.808436,-0.567361,b'0'
-0.513915,-0.482093,b'0'
-1.42341,-1.07292,b'0'
0.14631,-0.51256,b'0'
-1.11486,-0.90646,b'0'
-1.47116,-0.823381,b'0'
-1.46074,-0.747487,b'0'
-0.802478,-0.350996,b'0'
-0.249349,-0.576377,b'0'
-0.0296829,-0.583198,b'0'
-1.45477,-0.888016,b'0'
-0.651434,-0.673622,b'0'
-0.232243,-0.0604173,b'0'
-1.19948,-0.643539,b'0'
-1.75834,-1.25293,b'0'
-1.50163,-1.22861,b'0'
-0.604052,-0.577203,b'0'
-1.51801,-1.18828,b'0'
-1.73633,-1.24943,b'0'
-0.521488,-0.276085,b'0'
-0.257298,-0.44153,b'0'
-1.60067,-1.17046,b'0'
-1.41878,-1.05954,b'0'
