x,y,class
1.388261,2.076096,b'1'
2.177247,3.102304,b'1'
0.378645,5.30761,b'1'
3.681732,1.622681,b'1'
2.462861,2.777897,b'1'
1.735954,3.82709,b'1'
1.167995,5.518099,b'1'
1.807107,3.250988,b'1'
3.508638,1.843392,b'1'
1.864733,2.401942,b'1'
2.41636,1.533124,b'1'
3.010207,3.569472,b'1'
1.021681,4.510689,b'1'
3.773426,0.228935,b'1'
-0.037831,5.1149,b'1'
1.434476,4.037901,b'1'
3.153464,2.681303,b'1'
3.824689,2.107575,b'1'
3.684099,0.632402,b'1'
1.972013,2.88941,b'1'
-0.26852,5.033146,b'1'
0.505922,5.39605,b'1'
0.86143,4.359509,b'1'
2.310166,1.969608,b'1'
-1.069797,5.405615,b'1'
0.570748,4.664791,b'1'
2.718054,3.861631,b'1'
2.8362,1.784931,b'1'
2.537878,1.713435,b'1'
1.972408,2.981157,b'1'
2.000061,2.730238,b'1'
3.548569,0.171011,b'1'
2.605543,3.27554,b'1'
3.03373,2.663344,b'1'
2.057013,3.528919,b'1'
2.804546,2.139441,b'1'
1.466178,3.175989,b'1'
-0.086155,4.470365,b'1'
2.167506,3.133119,b'1'
4.041429,1.069045,b'1'
2.881386,2.972907,b'1'
3.330619,1.093687,b'1'
2.299863,2.961959,b'1'
0.574807,3.510508,b'1'
3.530596,1.663942,b'1'
2.551374,2.63356,b'1'
1.101316,3.244133,b'1'
2.627421,1.692043,b'1'
3.104758,2.598973,b'1'
0.837921,3.704289,b'1'
0.32023,2.475085,b'1'
3.394892,1.44401,b'1'
2.462968,2.82823,b'1'
2.030358,2.123839,b'1'
0.660533,3.75386,b'1'
0.322904,3.445714,b'1'
4.082401,1.381379,b'1'
0.278453,4.342255,b'1'
0.404281,3.131675,b'1'
1.630747,4.104445,b'1'
2.181931,3.411487,b'1'
0.348454,3.9304,b'1'
1.628854,2.267523,b'1'
0.134034,5.282937,b'1'
2.015903,2.439853,b'1'
3.139473,2.284963,b'1'
0.600268,5.256461,b'1'
2.409418,3.927369,b'1'
3.609415,1.131957,b'1'
0.172927,4.399779,b'1'
1.532463,2.658188,b'1'
2.703953,3.699864,b'1'
1.227166,2.899769,b'1'
1.651628,3.841293,b'1'
0.791982,2.947065,b'1'
1.830479,3.080213,b'1'
2.686312,1.94566,b'1'
1.788338,2.80043,b'1'
1.88781,4.392372,b'1'
1.142304,2.542882,b'1'
2.663808,1.702252,b'1'
2.050741,2.426929,b'1'
2.757167,2.863404,b'1'
1.711938,1.487297,b'1'
2.187469,4.20168,b'1'
3.440252,0.506783,b'1'
1.888755,2.510591,b'1'
0.551063,3.111766,b'1'
2.408435,2.308976,b'1'
2.078915,2.624717,b'1'
1.342428,3.840828,b'1'
3.029948,3.968269,b'1'
0.080491,3.667894,b'1'
3.467719,1.495069,b'1'
0.046595,4.83047,b'1'
4.196617,1.843375,b'1'
4.76816,1.21359,b'1'
4.636842,0.602186,b'1'
0.388109,4.110369,b'1'
3.683261,0.706257,b'1'
2.898413,1.770954,b'1'
2.779493,1.44316,b'1'
2.121609,1.201784,b'1'
1.302668,3.949926,b'1'
1.546031,4.412428,b'1'
1.107236,1.741204,b'1'
0.258203,5.289185,b'1'
1.839877,3.44988,b'1'
3.3353,0.132518,b'1'
1.088286,3.131751,b'1'
0.560137,3.997389,b'1'
4.151038,1.246554,b'1'
3.735874,1.020552,b'1'
2.010641,2.32718,b'1'
2.830056,2.122798,b'1'
2.679015,3.023737,b'1'
1.889237,3.843098,b'1'
5.265826,0.83251,b'1'
1.98333,3.788162,b'1'
2.079112,1.99733,b'1'
2.686597,2.446475,b'1'
1.609369,4.395611,b'1'
4.635246,0.448397,b'1'
2.146264,2.197676,b'1'
2.962285,0.223751,b'1'
3.400234,2.065555,b'1'
2.370047,3.733605,b'1'
1.611562,3.197782,b'1'
0.203241,3.02579,b'1'
1.005024,4.034316,b'1'
1.234614,2.48077,b'1'
3.517007,1.182169,b'1'
1.98404,3.012075,b'1'
1.647244,3.61871,b'1'
1.626629,1.886737,b'1'
0.544809,4.370425,b'1'
0.222913,4.127075,b'1'
0.668699,3.068394,b'1'
0.555888,3.814464,b'1'
2.2456,2.70499,b'1'
3.504892,1.587869,b'1'
-0.146124,4.725159,b'1'
2.100936,3.18784,b'1'
2.70686,3.519002,b'1'
1.225271,3.841086,b'1'
1.981365,2.522537,b'1'
5.021196,0.364448,b'1'
0.006626,6.09668,b'1'
2.460392,1.68215,b'1'
2.877308,3.3756,b'1'
0.732805,4.128457,b'1'
1.803368,2.170132,b'1'
3.674032,1.647682,b'1'
2.758328,1.785428,b'1'
1.072899,4.008426,b'1'
2.151058,4.447417,b'1'
1.610942,5.188661,b'1'
4.133378,-0.357156,b'1'
-0.376646,4.414657,b'1'
1.737216,3.217808,b'1'
3.183626,1.440232,b'1'
0.979658,3.645566,b'1'
1.971059,3.259799,b'1'
3.496655,2.330183,b'1'
-0.475744,5.572314,b'1'
3.147614,2.621865,b'1'
3.852733,1.795365,b'1'
1.048244,3.634696,b'1'
-1.463434,6.172343,b'1'
2.165386,2.366123,b'1'
1.074104,2.823745,b'1'
1.932498,3.375886,b'1'
1.532799,2.949583,b'1'
1.949119,2.892416,b'1'
0.646223,5.179785,b'1'
2.62354,3.588082,b'1'
1.296104,2.613854,b'1'
3.142189,2.121208,b'1'
0.93056,3.779924,b'1'
-0.840943,6.19249,b'1'
0.612387,3.525888,b'1'
3.89431,0.713034,b'1'
1.416131,3.037601,b'1'
4.290669,1.236111,b'1'
0.471155,3.268891,b'1'
4.454617,2.680295,b'1'
4.312336,0.084431,b'1'
1.698012,3.072791,b'1'
2.43487,2.16647,b'1'
0.617396,3.726953,b'1'
3.530309,3.789011,b'1'
2.324263,2.514353,b'1'
2.992314,1.792414,b'1'
4.633944,1.832039,b'1'
0.26396,3.820416,b'1'
3.896361,1.812211,b'1'
2.555869,1.106584,b'1'
2.322241,3.323986,b'1'
1.099443,2.869707,b'1'
1.737493,2.315629,b'1'
1.898828,3.317845,b'1'
3.942105,1.598916,b'1'
1.233473,4.999878,b'1'
3.16703,2.262183,b'1'
2.949834,1.809015,b'1'
3.211064,2.258982,b'1'
2.883848,1.404226,b'1'
4.171766,1.63121,b'1'
-0.71124,5.567749,b'1'
3.802205,2.100058,b'1'
3.952721,2.557747,b'1'
0.713873,2.072531,b'1'
4.529647,1.307886,b'1'
2.028742,2.632523,b'1'
-0.170669,4.924376,b'1'
0.056194,3.842888,b'1'
1.704935,3.877466,b'1'
2.531369,1.433284,b'1'
4.095689,1.351226,b'1'
4.64522,-0.142038,b'1'
0.893191,3.234372,b'1'
1.848396,2.292223,b'1'
0.636715,2.071833,b'1'
0.814623,4.166666,b'1'
1.740019,3.065758,b'1'
1.834553,3.275325,b'1'
1.291187,2.968773,b'1'
2.718653,2.067914,b'1'
2.324044,1.926605,b'1'
1.793465,3.79699,b'1'
0.740648,4.125479,b'1'
1.666042,3.203138,b'1'
1.492903,1.642746,b'1'
1.796996,4.344693,b'1'
2.92179,1.942559,b'1'
1.064578,3.959585,b'1'
1.457626,2.985469,b'1'
2.078331,4.001193,b'1'
-1.563823,6.347326,b'1'
0.574382,4.941747,b'1'
-1.427993,5.552467,b'1'
2.082123,2.574004,b'1'
1.713031,1.945687,b'1'
0.407098,3.582769,b'1'
2.518471,2.087895,b'1'
4.174225,1.379475,b'1'
-0.63435,4.722084,b'1'
1.077828,3.825406,b'1'
1.68798,3.01284,b'1'
0.962445,3.775285,b'1'
-0.04213,5.153292,b'1'
0.128284,3.936006,b'1'
1.793363,3.375817,b'1'
1.891625,4.561586,b'1'
4.293815,1.696497,b'1'
2.129844,2.210847,b'1'
1.347571,2.328939,b'1'
1.470335,3.02415,b'1'
4.476706,1.657767,b'1'
2.091909,2.678054,b'1'
2.117129,3.556432,b'1'
5.163383,0.746666,b'1'
3.220896,2.599762,b'1'
2.784546,3.222275,b'1'
3.781011,1.612654,b'1'
1.555742,3.547774,b'1'
3.409535,2.904107,b'1'
1.232503,4.388049,b'1'
1.756556,2.909688,b'1'
2.765778,3.1783,b'1'
1.193541,2.373558,b'1'
1.928801,3.526217,b'1'
2.118084,4.244106,b'1'
1.532215,4.04894,b'1'
0.890125,2.816106,b'1'
2.942793,1.064078,b'1'
0.160727,3.95804,b'1'
-0.105148,5.158058,b'1'
1.607762,2.216063,b'1'
0.743563,3.16806,b'1'
1.898717,1.032178,b'1'
1.018042,2.604934,b'1'
2.466192,3.134928,b'1'
2.208137,2.747416,b'1'
-1.726426,6.004945,b'1'
0.76071,3.766167,b'1'
1.536735,2.387807,b'1'
2.820319,2.547184,b'1'
1.503774,4.153952,b'1'
4.232052,0.274042,b'1'
1.963328,2.086939,b'1'
3.06184,2.574934,b'1'
1.268483,3.110709,b'1'
0.934573,4.63792,b'1'
1.648539,3.15403,b'1'
0.220332,4.689001,b'1'
5.804626,0.202115,b'1'
-0.012147,4.819122,b'1'
-0.030489,4.75046,b'1'
-0.394366,5.525745,b'1'
3.614711,3.025093,b'1'
3.956748,0.791339,b'1'
2.62602,3.272276,b'1'
0.481014,4.38639,b'1'
3.078852,1.043856,b'1'
0.652308,4.738456,b'1'
1.991047,3.452205,b'1'
3.929372,1.865527,b'1'
0.886921,4.528556,b'1'
1.763985,2.49622,b'1'
4.961455,0.698847,b'1'
0.674465,4.599871,b'1'
4.378747,1.600718,b'1'
3.117445,2.195355,b'1'
1.775736,3.918401,b'1'
1.724569,3.284387,b'1'
1.255226,3.014167,b'1'
1.620443,2.295301,b'1'
2.351544,2.805698,b'1'
1.942008,1.139257,b'1'
1.277653,3.789367,b'1'
2.522123,2.734355,b'1'
1.947273,1.681728,b'1'
2.479945,2.504773,b'1'
2.686162,2.959127,b'1'
1.878334,3.373352,b'1'
1.526036,3.105564,b'1'
1.459241,2.623645,b'1'
2.330326,3.783879,b'1'
1.181833,3.228965,b'1'
3.022283,2.215689,b'1'
4.179697,-0.187149,b'1'
0.538069,3.521517,b'1'
5.077931,0.90389,b'1'
1.372421,3.527515,b'1'
1.553574,4.18687,b'1'
2.025873,3.673366,b'1'
2.99326,2.009152,b'1'
1.839219,3.237186,b'1'
0.869464,3.70196,b'1'
1.87348,2.232948,b'1'
3.325879,0.979001,b'1'
0.994915,2.811713,b'1'
3.506756,1.217262,b'1'
-0.440611,5.642512,b'1'
4.039107,1.939156,b'1'
2.196102,2.11378,b'1'
0.936157,4.894437,b'1'
3.627412,1.182144,b'1'
3.140079,2.27218,b'1'
1.471846,2.716522,b'1'
2.40569,1.132067,b'1'
-0.224631,6.490054,b'1'
1.898202,5.312142,b'1'
1.655898,3.422312,b'1'
3.305612,1.804003,b'1'
1.262198,4.805302,b'1'
0.769468,4.669647,b'1'
1.277854,4.20861,b'1'
3.199109,1.336518,b'1'
2.753768,3.273387,b'1'
0.512213,4.497493,b'1'
1.947976,1.999936,b'1'
1.610951,3.175105,b'1'
0.467594,2.56772,b'1'
0.713791,4.024234,b'1'
-0.437383,6.021663,b'1'
1.150859,1.928015,b'1'
2.156852,4.136801,b'1'
2.074956,3.07748,b'1'
1.961989,3.177693,b'1'
3.247574,2.156623,b'1'
3.068149,2.576562,b'1'
2.186507,3.088471,b'1'
0.610044,3.31088,b'1'
1.981534,3.315445,b'1'
0.734691,4.701347,b'1'
2.154909,5.193949,b'1'
2.581354,1.426008,b'1'
2.542784,2.989615,b'1'
1.27764,3.777226,b'1'
1.154548,3.693987,b'1'
2.593182,3.53614,b'1'
3.090662,-0.116226,b'1'
2.403659,3.378036,b'1'
1.988513,3.737598,b'1'
3.095716,3.231559,b'1'
3.741608,2.420082,b'1'
-0.339884,4.031528,b'1'
2.96907,1.397539,b'1'
1.14196,4.269196,b'1'
2.028353,3.879982,b'1'
0.103469,4.924103,b'1'
-0.310788,3.624489,b'1'
2.41547,2.548521,b'1'
0.401457,4.030608,b'1'
1.17617,2.898487,b'1'
2.351575,1.454719,b'1'
2.443368,0.926964,b'1'
2.748104,2.692961,b'1'
3.072246,1.555072,b'1'
2.961918,1.320385,b'1'
3.27247,0.18052,b'1'
2.402644,2.05564,b'1'
0.906282,4.003817,b'1'
1.523632,4.204812,b'1'
1.848345,3.9813,b'1'
1.327758,3.596298,b'1'
2.563694,3.496279,b'1'
2.87745,2.05394,b'1'
0.06002,3.970006,b'1'
2.469073,1.778147,b'1'
2.412127,3.609685,b'1'
2.346424,2.862848,b'1'
2.574498,3.572196,b'1'
4.048381,0.491437,b'1'
2.290505,3.267279,b'1'
1.626614,5.416056,b'1'
3.210493,1.309548,b'1'
3.14817,2.675639,b'1'
3.074715,0.686776,b'1'
4.173676,-0.104941,b'1'
3.569107,0.8031,b'1'
2.545136,3.382917,b'1'
3.157247,2.105639,b'1'
0.690421,3.952697,b'1'
0.864345,2.49572,b'1'
0.725227,4.51905,b'1'
2.7837,2.020755,b'1'
2.087391,3.318231,b'1'
2.281448,2.993387,b'1'
4.942596,-1.286376,b'1'
2.47945,2.862423,b'1'
2.936578,1.757861,b'1'
3.255471,2.141461,b'1'
3.200415,2.857453,b'1'
3.869474,1.449822,b'1'
3.862594,1.703404,b'1'
-0.021812,4.490424,b'1'
1.285868,2.10408,b'1'
1.409605,2.950498,b'1'
3.019332,2.472494,b'1'
3.248531,2.242365,b'1'
1.794173,3.088594,b'1'
2.408935,3.661244,b'1'
