x,y,class
1.85,27.8,b'1'
1.35,26.65,b'1'
1.4,23.25,b'2'
0.85,23.05,b'2'
0.5,22.35,b'2'
0.65,21.35,b'2'
1.1,22.05,b'2'
1.35,22.65,b'2'
1.95,22.8,b'2'
2.4,22.45,b'2'
1.8,22.0,b'2'
2.5,21.85,b'2'
2.95,21.4,b'2'
1.9,21.25,b'2'
1.35,21.45,b'2'
1.35,20.9,b'2'
1.25,20.35,b'2'
1.75,20.05,b'2'
2.0,20.6,b'2'
2.5,21.0,b'2'
1.7,19.05,b'2'
2.4,20.05,b'2'
3.05,20.45,b'2'
3.7,20.45,b'2'
3.45,19.9,b'2'
2.95,19.5,b'2'
2.4,19.4,b'2'
2.4,18.25,b'2'
2.85,18.75,b'2'
3.25,19.05,b'2'
3.95,19.6,b'2'
2.7,17.8,b'2'
3.45,18.05,b'2'
3.8,18.55,b'2'
4.0,19.1,b'2'
4.45,19.9,b'2'
4.65,19.15,b'2'
4.85,18.45,b'2'
4.3,18.05,b'2'
3.35,17.3,b'2'
3.7,16.3,b'2'
4.4,16.95,b'2'
4.25,17.4,b'2'
4.8,17.65,b'2'
5.25,18.25,b'2'
5.75,18.55,b'2'
5.3,19.25,b'2'
6.05,19.55,b'2'
6.5,18.9,b'2'
6.05,18.2,b'2'
5.6,17.8,b'2'
5.45,17.15,b'2'
5.05,16.55,b'2'
4.55,16.05,b'2'
4.95,15.45,b'2'
5.85,14.8,b'2'
5.6,15.3,b'2'
5.65,16.0,b'2'
5.95,16.8,b'2'
6.25,16.4,b'2'
6.1,17.45,b'2'
6.6,17.65,b'2'
6.65,18.3,b'2'
7.3,18.35,b'2'
7.85,18.3,b'2'
7.15,17.8,b'2'
7.6,17.7,b'2'
6.7,17.25,b'2'
7.3,17.25,b'2'
6.7,16.8,b'2'
7.3,16.65,b'2'
6.75,16.3,b'2'
7.4,16.2,b'2'
6.55,15.75,b'2'
7.35,15.8,b'2'
6.8,14.95,b'2'
7.45,15.1,b'2'
6.85,14.45,b'2'
7.6,14.6,b'2'
8.55,14.65,b'2'
8.2,15.5,b'2'
7.9,16.1,b'2'
8.05,16.5,b'2'
7.8,17.0,b'2'
8.0,17.45,b'2'
8.4,18.1,b'2'
8.65,17.75,b'2'
8.9,17.1,b'2'
8.4,17.1,b'2'
8.65,16.65,b'2'
8.45,16.05,b'2'
8.85,15.35,b'2'
9.6,15.3,b'2'
9.15,16.0,b'2'
10.2,16.0,b'2'
9.5,16.65,b'2'
10.75,16.6,b'2'
10.45,17.2,b'2'
9.85,17.1,b'2'
9.4,17.6,b'2'
10.15,17.7,b'2'
9.85,18.15,b'2'
9.05,18.25,b'2'
9.3,18.7,b'2'
