x,y,class
-0.796472,-0.538789,b'0'
1.07415,0.283016,b'0'
-0.0882453,-0.0154108,b'0'
0.238279,-0.0570198,b'0'
0.708839,0.165585,b'0'
0.163807,-0.0402066,b'0'
-0.200248,0.692106,b'0'
0.0641332,-0.47997,b'0'
-0.388032,-0.415745,b'0'
-0.751184,0.672181,b'0'
-0.607715,-0.814858,b'0'
0.26011,0.335198,b'0'
-0.546444,0.251202,b'0'
0.101309,0.424941,b'0'
0.436923,0.784839,b'0'
-0.0189449,0.603242,b'0'
-0.476297,0.00590647,b'0'
0.199583,-0.177538,b'0'
-0.981166,0.472785,b'0'
0.129555,0.156186,b'0'
0.824547,-0.69325,b'0'
0.223874,-0.0875816,b'0'
-0.601323,-0.569979,b'0'
0.762652,0.387553,b'0'
0.120625,0.537594,b'0'
3.01053,-0.212716,b'1'
3.79178,-0.0714351,b'1'
3.97677,0.0425788,b'1'
4.21977,-0.737742,b'1'
4.7352,-0.275757,b'1'
4.29667,-0.0791719,b'1'
3.9759,-0.0661088,b'1'
4.04327,-0.0410543,b'1'
4.01564,0.0331227,b'1'
4.27207,0.113586,b'1'
4.6347,-0.377884,b'1'
3.72788,-0.705706,b'1'
4.55564,-0.0716247,b'1'
3.92393,-1.42917,b'1'
3.11443,-0.239851,b'1'
4.30702,-0.107685,b'1'
4.29674,0.60503,b'1'
4.03765,0.00249412,b'1'
5.15323,0.276954,b'1'
4.29675,0.152049,b'1'
4.00786,-0.0671036,b'1'
3.69175,-0.550353,b'1'
2.87988,0.363631,b'1'
3.74257,1.18664,b'1'
3.97348,0.506361,b'1'
8.32419,-1.17856,b'2'
7.73708,1.44513,b'2'
7.1999,0.28729,b'2'
8.07462,0.337588,b'2'
7.54879,-0.310762,b'2'
7.56662,-0.704622,b'2'
9.24661,-0.121555,b'2'
8.81637,0.276002,b'2'
8.64203,0.415519,b'2'
7.44744,-0.46857,b'2'
7.41791,0.548326,b'2'
8.29063,-0.846479,b'2'
7.9532,-0.955921,b'2'
7.6995,0.31141,b'2'
7.61241,0.37876,b'2'
7.76966,-0.232545,b'2'
8.11709,0.103819,b'2'
7.90047,-0.517087,b'2'
7.65481,-0.248699,b'2'
8.65947,-0.370796,b'2'
7.81227,0.269439,b'2'
8.38809,-0.17127,b'2'
7.56891,0.538494,b'2'
7.61015,0.278909,b'2'
7.84017,-0.790742,b'2'
12.2809,0.303709,b'3'
11.1523,-0.336136,b'3'
11.3569,-0.497622,b'3'
12.4477,-0.291661,b'3'
11.7262,0.552916,b'3'
12.3093,-0.279156,b'3'
11.9166,0.447148,b'3'
12.0,0.00645392,b'3'
13.0704,0.591449,b'3'
11.6717,0.569751,b'3'
11.4784,0.698509,b'3'
12.8676,-0.979057,b'3'
12.503,-0.280088,b'3'
11.4247,0.0910561,b'3'
13.0199,-0.0895692,b'3'
12.9604,0.265662,b'3'
12.1187,-0.110861,b'3'
13.0311,-0.226739,b'3'
11.2842,0.562014,b'3'
12.2879,0.234708,b'3'
11.9574,-0.36161,b'3'
12.3445,-0.725916,b'3'
12.8942,0.145759,b'3'
11.6446,-0.416159,b'3'
11.6631,-1.54415,b'3'
15.6993,-0.416461,b'4'
15.9364,0.338083,b'4'
16.6751,-0.141313,b'4'
16.273,0.777651,b'4'
15.7235,0.742506,b'4'
15.8778,-0.186271,b'4'
15.5987,-0.302537,b'4'
