x,y,class
0.2295062133,0.8231317126,b'1'
0.2101823209,0.7710729392,b'1'
0.1710677122,0.857589455,b'1'
0.2182434214,0.9136487062,b'1'
0.2507282651,0.8073085602,b'1'
0.1994095722,0.7565814927,b'1'
0.1590357035,0.8881813393,b'1'
0.1743493924,0.8473925476,b'1'
0.3180025733,0.8186812575,b'1'
0.2729018852,0.8354528724,b'1'
0.0937149028,0.7227351659,b'1'
0.1303203585,0.8334381745,b'1'
0.2316561962,0.8951921453,b'1'
0.1903300667,0.8112003412,b'1'
0.1971507791,0.7457021196,b'1'
0.1983478478,0.7614323973,b'1'
0.2175292865,0.7084857016,b'1'
0.2230580237,0.8493925514,b'1'
0.2094968987,0.7810227163,b'1'
0.2553484068,0.7978636125,b'1'
0.2091656314,0.7920226301,b'1'
0.1860555797,0.8474874123,b'1'
0.1504754627,0.8092128803,b'1'
0.1933739477,0.7967288822,b'1'
0.2443930951,0.7927364195,b'1'
0.1599559865,0.7776241195,b'1'
0.1997999767,0.7879802506,b'1'
0.1745159065,0.7726214463,b'1'
0.1993017931,0.788564055,b'1'
0.1906488565,0.7253801069,b'1'
0.1654824344,0.7919097619,b'1'
0.1933897139,0.8274636881,b'1'
0.1440199483,0.8352059722,b'1'
0.2265429151,0.7955684867,b'1'
0.2050613413,0.8259944822,b'1'
0.2272505588,0.8387429834,b'1'
0.1340929211,0.6923955636,b'1'
0.2317055547,0.8588710522,b'1'
0.2220807751,0.8838338257,b'1'
0.168088908,0.700906032,b'1'
0.1780379718,0.73965244,b'1'
0.1865979829,0.6194705074,b'1'
0.2264106998,0.8221386633,b'1'
0.1161104609,0.9163103228,b'1'
0.2550019907,0.6641692659,b'1'
0.2028333753,0.7724065584,b'1'
0.2700145055,0.8434091783,b'1'
0.2286817023,0.8385807524,b'1'
0.2208976732,0.8173210361,b'1'
0.1561094449,0.7917144674,b'1'
0.7493861869,0.360956012,b'2'
0.6191840157,0.3322562009,b'2'
0.7397448033,0.3634553523,b'2'
0.7206264906,0.2829094061,b'2'
0.6989113066,0.3028658052,b'2'
0.6983478486,0.3325899334,b'2'
0.6815415352,0.4268278147,b'2'
0.7708858042,0.31903459,b'2'
0.6490624488,0.2558056944,b'2'
0.6259773821,0.303398458,b'2'
0.8757273278,0.2887807529,b'2'
0.6895577252,0.3054917826,b'2'
0.6067810337,0.3537047857,b'2'
0.7057724515,0.3356996144,b'2'
0.7825946084,0.3000068493,b'2'
0.7971454866,0.2861692643,b'2'
0.7980992111,0.3695142891,b'2'
0.5898914901,0.2728186798,b'2'
0.6181676841,0.3770006718,b'2'
0.5383013211,0.2871725323,b'2'
0.7664987186,0.2128083604,b'2'
0.7043309662,0.2546147103,b'2'
0.6398427399,0.2859645036,b'2'
0.7602595787,0.3373340472,b'2'
0.663136957,0.2443535585,b'2'
0.7568152344,0.2870650189,b'2'
0.7562921495,0.2701112064,b'2'
0.7237906149,0.2432845564,b'2'
0.8088685734,0.3202229747,b'2'
0.6639740458,0.2649469824,b'2'
0.771943148,0.3111529955,b'2'
0.5877914148,0.3553538519,b'2'
0.7580682141,0.2470424468,b'2'
0.654428988,0.2974793534,b'2'
0.626497384,0.3213433179,b'2'
0.6297448813,0.2651138368,b'2'
0.7557800485,0.1721767004,b'2'
0.6615255825,0.3568570948,b'2'
0.6660361056,0.3304213937,b'2'
0.7666968068,0.3009098857,b'2'
0.6792460487,0.3320169928,b'2'
0.687607894,0.2753904011,b'2'
0.6967061454,0.270449802,b'2'
0.718817349,0.3268431085,b'2'
0.7540103256,0.1940821363,b'2'
0.6989133791,0.2768329113,b'2'
0.6977310332,0.2961004933,b'2'
0.6681678382,0.3450773249,b'2'
0.6047427733,0.3291465936,b'2'
0.6832611396,0.3463847482,b'2'
