a0,a1,class
-0.357346,0.229396,b'0'
1.19887,-0.0775549,b'0'
-0.631878,0.0840164,b'0'
-0.449017,0.141633,b'0'
1.14739,-0.0663135,b'0'
0.513515,0.0339724,b'0'
-0.986504,-0.0481525,b'0'
-1.9757,0.0390274,b'0'
-2.01826,0.128421,b'0'
-0.0676597,0.0920588,b'0'
0.996734,0.0869621,b'0'
-0.380637,-0.113655,b'0'
0.910414,-0.0951553,b'0'
-0.462171,0.0806289,b'0'
0.0551076,-0.0357717,b'0'
0.727798,0.103998,b'0'
0.607728,-0.0674022,b'0'
0.961469,0.0270988,b'0'
0.0504221,-0.0989575,b'0'
-0.039552,-0.0701115,b'0'
0.204783,-0.0733319,b'0'
-0.248465,-0.128909,b'0'
0.148754,0.139719,b'0'
1.72136,0.153225,b'0'
-0.87739,-0.232446,b'0'
1.36039,-0.114533,b'0'
0.615052,-0.0388964,b'0'
0.0965015,-0.128185,b'0'
-0.277708,0.0999505,b'0'
-0.429133,-1.85949e-05,b'0'
-0.332028,-0.051609,b'0'
1.05373,-0.0904583,b'0'
2.3573,0.0899691,b'0'
0.799409,-0.0105735,b'0'
1.36856,0.00978448,b'0'
-0.134461,0.0403118,b'0'
-0.325348,0.0746459,b'0'
0.679204,0.136346,b'0'
-0.625625,-0.146804,b'0'
2.13848,-0.113345,b'0'
-0.505805,-0.125521,b'0'
-1.68,-0.0523753,b'0'
1.00951,-0.026984,b'0'
2.26652,0.0367646,b'0'
-1.07649,0.0856294,b'0'
-2.33081,-0.0106258,b'0'
-0.93644,-0.0947207,b'0'
0.269587,0.0336788,b'0'
-0.712875,-0.136093,b'0'
0.517985,-0.0767987,b'0'
-0.708573,-0.112748,b'0'
-0.759243,-0.0825474,b'0'
1.6242,0.0638106,b'0'
-1.5654,0.105874,b'0'
-1.95219,0.301337,b'0'
-0.736986,-0.00631207,b'0'
-0.1092,-0.0290136,b'0'
-0.471043,0.0129963,b'0'
-0.0736906,-0.0879608,b'0'
0.317354,-0.0550851,b'0'
-1.14988,-0.0537689,b'0'
1.6128,0.018066,b'0'
0.94525,0.0244372,b'0'
-1.10482,-0.0416828,b'0'
-0.17025,-0.0567184,b'0'
1.03192,-0.155881,b'0'
0.225612,0.1666,b'0'
0.351842,0.0314765,b'0'
-0.161018,-0.0816029,b'0'
0.952949,-0.0297613,b'0'
-0.68722,0.12757,b'0'
-0.674553,0.0296662,b'0'
1.84589,0.124073,b'0'
-2.76746,0.0150617,b'0'
-0.725029,0.0906866,b'0'
-0.945877,-0.0872454,b'0'
0.813776,-0.0467049,b'0'
-1.03217,-0.053231,b'0'
1.04974,-0.284431,b'0'
-0.560464,0.0527769,b'0'
-0.0938256,-0.016021,b'0'
-0.745886,-0.155711,b'0'
1.00409,-0.0228702,b'0'
0.271802,-0.0033859,b'0'
-1.11195,0.031971,b'0'
0.884337,-0.0831546,b'0'
0.152128,-0.0866456,b'0'
0.665171,-0.0625889,b'0'
1.67965,0.137475,b'0'
-0.248549,-0.0554512,b'0'
