x,y,class
3.277701,0.814082,b'1'
0.387577,0.17678,b'1'
0.268546,0.582963,b'1'
2.031145,0.244597,b'1'
0.188677,0.46128,b'1'
3.525472,0.265579,b'1'
2.229583,0.682189,b'1'
3.392074,0.420976,b'1'
3.589815,0.832527,b'1'
1.227873,0.810909,b'1'
1.300699,0.146538,b'1'
3.596968,0.421791,b'1'
3.106757,0.779664,b'1'
0.221139,0.612603,b'1'
1.496841,0.495985,b'1'
2.860498,0.535719,b'1'
1.45071,0.142352,b'1'
1.745799,0.066373,b'1'
1.4048,0.32968,b'1'
1.7696,0.777809,b'1'
0.464511,0.672442,b'1'
2.750803,0.16552,b'1'
1.571006,0.091428,b'1'
1.18166,0.857799,b'1'
0.661957,0.612812,b'1'
0.828567,0.798048,b'1'
3.313914,0.216602,b'1'
3.625645,0.538592,b'1'
3.611238,0.584716,b'1'
2.904519,0.465036,b'1'
3.080431,0.24549,b'1'
3.851167,0.574214,b'1'
0.944956,0.077006,b'1'
3.834215,0.224878,b'1'
2.179064,0.784896,b'1'
2.716449,0.944268,b'1'
0.02978,0.931252,b'1'
0.095525,0.349743,b'1'
3.835506,0.889721,b'1'
1.142732,0.811691,b'1'
3.747439,0.654886,b'1'
0.948862,0.122011,b'1'
0.160755,0.702042,b'1'
3.288779,0.737797,b'1'
1.35625,0.029101,b'1'
0.91626,0.59616,b'1'
1.252876,0.500998,b'1'
2.471178,0.39643,b'1'
2.364922,0.992772,b'1'
2.172301,0.283717,b'1'
0.671267,0.055467,b'1'
2.165402,0.152,b'1'
2.661288,0.467768,b'1'
1.92646,0.74119,b'1'
1.899647,0.649203,b'1'
3.82986,0.726794,b'1'
1.133497,0.516173,b'1'
2.309857,0.767935,b'1'
1.371371,0.956664,b'1'
0.151858,0.284416,b'1'
2.096938,0.411357,b'1'
1.30049,0.720155,b'1'
3.534799,0.181775,b'1'
1.217877,0.460971,b'1'
2.726977,0.699328,b'1'
0.682141,0.054686,b'1'
0.837813,0.912877,b'1'
0.799211,0.501879,b'1'
0.042015,0.689603,b'1'
0.520977,0.079651,b'1'
0.71972,0.445045,b'1'
0.197504,0.36273,b'1'
1.724494,0.670107,b'1'
3.57454,0.08528,b'1'
1.416691,0.723741,b'1'
3.037057,0.548241,b'1'
3.644992,0.349585,b'1'
0.049575,0.013442,b'1'
1.023898,0.977225,b'1'
1.815563,0.32859,b'1'
2.312471,0.520445,b'1'
0.855281,0.42998,b'1'
0.760641,0.724534,b'1'
1.48494,0.793583,b'1'
2.725697,0.764628,b'1'
2.789323,0.243674,b'1'
3.803611,0.25148,b'1'
1.591552,0.431951,b'1'
3.102531,0.674293,b'1'
0.565235,0.679348,b'1'
0.985402,0.187597,b'1'
2.948159,0.311962,b'1'
1.323618,0.644543,b'1'
0.552512,0.648435,b'1'
0.635387,0.474052,b'1'
3.928676,0.204357,b'1'
0.780925,0.800335,b'1'
1.872623,0.814694,b'1'
2.759808,0.162941,b'1'
3.504794,0.648843,b'1'
3.683266,0.59175,b'1'
2.441121,0.097041,b'1'
0.031457,0.462131,b'1'
3.387011,0.07938,b'1'
1.982598,0.588441,b'1'
2.696483,0.24238,b'1'
1.159278,0.190088,b'1'
0.576024,0.996298,b'1'
3.538351,0.281543,b'1'
3.304712,0.77258,b'1'
0.438501,0.884463,b'1'
1.937908,0.82629,b'1'
1.434005,0.338369,b'1'
3.112876,0.655144,b'1'
0.413395,0.150636,b'1'
1.358768,0.479656,b'1'
1.731313,0.95869,b'1'
2.130866,0.004658,b'1'
0.057906,0.933944,b'1'
1.365225,0.699019,b'1'
3.101071,0.982575,b'1'
0.331075,0.263808,b'1'
1.086791,0.353972,b'1'
1.996396,0.528335,b'1'
3.845884,0.795806,b'1'
0.985853,0.434387,b'1'
1.688165,0.938172,b'1'
0.161953,0.829518,b'1'
0.287702,0.857928,b'1'
0.972789,0.916516,b'1'
1.30506,0.621873,b'1'
3.515395,0.462665,b'1'
1.736284,0.812699,b'1'
1.788111,0.112125,b'1'
0.692963,0.831389,b'1'
0.459059,0.283671,b'1'
1.421594,0.942622,b'1'
3.222115,0.997386,b'1'
3.055062,0.603635,b'1'
3.439667,0.514822,b'1'
2.742587,0.603127,b'1'
0.258403,0.395579,b'1'
1.707936,0.209115,b'1'
3.110911,0.81924,b'1'
2.199103,0.812362,b'1'
1.784882,0.387625,b'1'
1.886291,0.684541,b'1'
2.886793,0.942807,b'1'
2.7774,0.706607,b'1'
1.463492,0.491627,b'1'
2.073286,0.916573,b'1'
3.728174,0.954035,b'1'
0.0787,0.263543,b'1'
1.37351,0.62181,b'1'
0.698877,0.482423,b'1'
0.448893,0.098618,b'1'
0.735566,0.119708,b'1'
2.724216,0.58073,b'1'
1.635384,0.533324,b'1'
1.288393,0.847085,b'1'
1.18528,0.543564,b'1'
0.452272,0.70928,b'1'
1.020964,0.583399,b'1'
3.465723,0.52496,b'1'
2.532696,0.959479,b'1'
0.985995,0.008335,b'1'
2.750285,0.620354,b'1'
2.577899,0.245998,b'1'
3.036657,0.930898,b'1'
1.564616,0.954967,b'1'
1.518451,0.978359,b'1'
3.142274,0.434848,b'1'
1.483197,0.185676,b'1'
1.293469,0.897792,b'1'
3.176521,0.047388,b'1'
0.398666,0.166009,b'1'
1.717029,0.111247,b'1'
2.777236,0.026691,b'1'
2.702432,0.510408,b'1'
1.807774,0.762573,b'1'
2.882574,0.514512,b'1'
3.29973,0.231124,b'1'
0.725724,0.585824,b'1'
2.92698,0.244504,b'1'
1.434889,0.489006,b'1'
3.61203,0.621951,b'1'
1.258017,0.242269,b'1'
1.286561,0.568048,b'1'
0.689474,0.760472,b'1'
0.598052,0.279905,b'1'
3.499457,0.153595,b'1'
3.093691,0.158748,b'1'
1.431273,0.568599,b'1'
0.460369,0.295192,b'1'
0.884156,0.513333,b'1'
3.275009,0.432164,b'1'
1.164767,0.62918,b'1'
0.039219,0.052828,b'1'
2.412745,0.512431,b'1'
0.833625,0.325255,b'1'
0.725273,3.965634,b'2'
0.573147,2.923034,b'2'
1.177763,2.565923,b'2'
0.661644,3.973707,b'2'
0.652245,2.253018,b'2'
0.812158,3.260725,b'2'
0.652892,1.693079,b'2'
0.963136,4.958545,b'2'
1.328618,3.566781,b'2'
1.49669,5.272268,b'2'
1.152723,3.543348,b'2'
1.369882,2.380564,b'2'
1.49389,4.247095,b'2'
1.34549,5.278332,b'2'
0.819666,4.616232,b'2'
1.107822,4.153609,b'2'
1.283312,4.321069,b'2'
0.748762,1.619142,b'2'
0.821916,4.852253,b'2'
0.90795,3.163114,b'2'
1.060966,1.963245,b'2'
1.20534,4.321613,b'2'
1.477937,5.03948,b'2'
1.097946,2.953946,b'2'
0.938634,3.012962,b'2'
0.780331,5.235518,b'2'
0.903332,4.814365,b'2'
0.5591,3.571814,b'2'
1.173636,2.044423,b'2'
1.347315,5.234,b'2'
1.288732,2.683106,b'2'
1.376571,2.091436,b'2'
0.892292,3.81059,b'2'
0.703477,3.956213,b'2'
1.142235,4.972135,b'2'
1.001787,4.217102,b'2'
0.777779,4.493622,b'2'
0.652697,4.836891,b'2'
0.721173,2.798064,b'2'
0.967501,5.367249,b'2'
1.334662,2.597372,b'2'
1.368845,1.77,b'2'
0.776253,4.234287,b'2'
0.746947,4.667021,b'2'
1.411469,4.074821,b'2'
0.740597,4.389994,b'2'
1.184165,3.031102,b'2'
1.452709,4.177391,b'2'
1.341934,4.679407,b'2'
0.759816,3.996869,b'2'
1.273906,1.534234,b'2'
0.891859,5.165834,b'2'
1.011748,3.99935,b'2'
1.054506,2.504006,b'2'
1.021894,4.436951,b'2'
1.249096,3.361231,b'2'
0.596855,2.324431,b'2'
0.64177,4.391472,b'2'
1.041153,1.863353,b'2'
1.220983,4.447128,b'2'
0.850268,2.060747,b'2'
1.312062,1.586404,b'2'
0.707436,3.389818,b'2'
1.019011,4.508529,b'2'
0.783086,2.760037,b'2'
0.7404,1.656725,b'2'
0.5208,1.722157,b'2'
1.381679,1.903451,b'2'
0.658734,2.418634,b'2'
0.611377,1.720026,b'2'
1.099438,3.206013,b'2'
1.361092,4.829104,b'2'
0.876255,2.389184,b'2'
0.690748,5.011891,b'2'
0.701393,3.863155,b'2'
1.253097,4.650538,b'2'
1.057211,3.862135,b'2'
1.241162,1.7,b'2'
0.840611,4.937659,b'2'
0.519795,2.816374,b'2'
1.23516,3.869624,b'2'
0.584467,1.922548,b'2'
1.418398,1.71,b'2'
1.370529,3.740063,b'2'
0.966071,4.68502,b'2'
0.748149,4.103231,b'2'
0.533105,2.028217,b'2'
0.813012,4.871033,b'2'
1.380626,5.043905,b'2'
1.038899,5.385811,b'2'
1.174998,4.070992,b'2'
1.482927,3.678969,b'2'
0.795556,4.257588,b'2'
0.550885,1.687598,b'2'
0.597946,3.506649,b'2'
1.219187,3.456902,b'2'
1.422764,3.827562,b'2'
1.265363,1.935044,b'2'
1.139539,2.153101,b'2'
0.668471,3.331001,b'2'
3.841499,2.712392,b'3'
3.265874,3.353799,b'3'
2.419956,2.641744,b'3'
3.131922,2.59268,b'3'
1.919251,3.015192,b'3'
3.653976,2.494605,b'3'
3.21453,1.966662,b'3'
2.781111,2.277463,b'3'
2.402959,2.802239,b'3'
3.182097,2.135258,b'3'
3.198566,3.048673,b'3'
2.505896,2.598232,b'3'
2.983629,2.547538,b'3'
2.700613,2.653876,b'3'
2.507695,2.471939,b'3'
2.878039,2.268676,b'3'
2.568892,2.687723,b'3'
2.69394,3.019875,b'3'
3.527832,3.153919,b'3'
3.203677,2.218877,b'3'
2.777954,2.822901,b'3'
3.78305,2.08902,b'3'
