x,y
625983.0,297439.0
626146.0,297440.0
626144.0,297456.0
626004.0,297394.0
626018.0,297437.0
626038.0,297518.0
626022.0,297440.0
626027.0,297472.0
626021.0,297440.0
626070.0,297485.0
625962.0,297276.0
626019.0,297437.0
625978.0,297249.0
625968.0,297485.0
626017.0,297441.0
625981.0,297481.0
626021.0,297439.0
625975.0,297482.0
626019.0,297440.0
625991.0,297464.0
625994.0,297461.0
625987.0,297485.0
614736.0,238677.0
614544.0,238485.0
626142.0,297433.0
625908.0,297411.0
625919.0,297426.0
625904.0,297404.0
625910.0,297417.0
625902.0,297402.0
626189.0,297614.0
626181.0,297432.0
625969.0,297458.0
625988.0,297454.0
625958.0,297456.0
626023.0,297432.0
626008.0,297468.0
625950.0,297473.0
625984.0,297424.0
625810.0,297954.0
625963.0,297886.0
625994.0,297751.0
626019.0,297594.0
626023.0,297493.0
625991.0,297480.0
626149.0,297427.0
625979.0,297433.0
625978.0,297432.0
626009.0,297451.0
625999.0,297456.0
625981.0,297445.0
626000.0,297458.0
626051.0,297386.0
626044.0,297394.0
626045.0,297396.0
626044.0,297396.0
625985.0,297434.0
626005.0,297476.0
625979.0,297488.0
625970.0,297500.0
625989.0,297457.0
626149.0,297439.0
626151.0,297439.0
625982.0,297437.0
625981.0,297437.0
626153.0,297438.0
625980.0,297480.0
626000.0,297456.0
626150.0,297435.0
626203.0,297661.0
626306.0,297743.0
625989.0,297429.0
625986.0,297435.0
625980.0,297443.0
626037.0,297458.0
625986.0,297430.0
625985.0,297431.0
626118.0,297723.0
625999.0,297461.0
625987.0,297458.0
625983.0,297483.0
625980.0,297429.0
625984.0,297445.0
625963.0,297470.0
625948.0,297480.0
625985.0,297430.0
625769.0,298102.0
625779.0,298081.0
626009.0,297513.0
626023.0,297495.0
625983.0,297445.0
625780.0,298076.0
626014.0,297644.0
626021.0,297644.0
626021.0,297621.0
626153.0,297439.0
626124.0,297322.0
626145.0,297411.0
626142.0,297472.0
626152.0,297442.0
626150.0,297427.0
626153.0,297454.0
626151.0,297435.0
626152.0,297428.0
626155.0,297464.0
626150.0,297439.0
625778.0,298077.0
626016.0,297603.0
626017.0,297603.0
625984.0,297589.0
625988.0,297602.0
625972.0,297595.0
625987.0,297594.0
625979.0,297441.0
625983.0,297433.0
625983.0,297437.0
625912.0,297608.0
626010.0,297457.0
626150.0,297430.0
625977.0,297432.0
626029.0,297000.0
626200.0,297000.0
625979.0,297444.0
626086.0,297465.0
626016.0,297527.0
626151.0,297439.0
