x,y
62.59809,29.74448
62.59809,29.74448
62.59809,29.74448
62.61943,29.6941
62.60326,29.74494
62.59796,29.74416
62.62275,29.70038
62.61892,29.81506
62.60226,29.74954
62.6182,29.70866
62.59809,29.74448
62.59809,29.74448
62.59809,29.74448
62.59809,29.74448
62.60386,29.74453
62.60405,29.74519
62.60289,29.76186
62.60304,29.76215
62.61438,29.82814
62.61879,29.77052
63.09646,29.80229
63.09181,29.8108
63.09181,29.81076
63.0918,29.8107
62.59818,29.74364
62.59868,29.7456
62.59613,29.74844
62.59608,29.74865
62.59993,29.75284
62.60082,29.75974
62.60065,29.76063
62.60101,29.76111
62.6013,29.7616
62.6014,29.76164
62.60146,29.76157
62.60222,29.76252
62.60279,29.7627
62.60284,29.76221
62.60307,29.76136
62.60296,29.76215
62.60276,29.76266
62.60352,29.76432
62.60355,29.76339
62.60398,29.76383
62.60321,29.76559
62.6031,29.7652
62.6024,29.76485
62.60207,29.7646
62.60146,29.76399
62.60111,29.7646
62.60105,29.76591
62.60113,29.76636
62.60114,29.76599
62.59954,29.76514
62.59902,29.76585
62.59959,29.76283
62.5997,29.7625
62.59882,29.75918
62.5993,29.75875
62.59922,29.75725
62.60252,29.76058
62.60311,29.76085
62.60756,29.77312
62.60749,29.77604
62.61685,29.7756
62.61868,29.77122
62.61898,29.7706
62.61938,29.7687
62.61926,29.76816
62.61887,29.76759
62.61537,29.76904
62.61452,29.76866
62.60968,29.76358
62.61084,29.75977
62.60366,29.74604
62.59809,29.74448
62.59809,29.74448
62.59809,29.74448
62.59809,29.74448
62.59809,29.74448
62.61418,29.82827
62.61457,29.82823
62.61998,29.71036
62.61998,29.71036
63.09697,29.80248
62.92819,29.78179
62.85897,29.85492
62.61806,29.77245
62.6186,29.76995
62.61863,29.76998
62.61402,29.8277
62.60302,29.76148
62.60284,29.76159
62.60282,29.76158
62.59807,29.74425
62.60408,29.74501
62.59809,29.74448
62.59809,29.74448
62.59809,29.74448
62.59809,29.74448
62.61477,29.74342
62.61689,29.77653
62.61842,29.76779
62.61498,29.74587
62.59809,29.74448
62.59809,29.74448
62.59817,29.74602
62.59766,29.74364
62.59766,29.74364
62.59766,29.74364
62.6004,29.76314
62.60089,29.75308
62.59798,29.74433
62.59766,29.74364
62.59766,29.74364
62.59809,29.74448
62.59809,29.74448
62.59809,29.74448
62.6148,29.74329
62.6148,29.74329
62.6148,29.74329
62.59766,29.74364
62.59809,29.74448
62.59809,29.74448
62.59809,29.74448
62.59809,29.74448
62.59809,29.74448
62.59809,29.74448
62.59809,29.74448
62.59809,29.74448
62.59809,29.74448
62.59809,29.74448
62.59809,29.74448
62.59809,29.74448
62.59809,29.74448
62.59809,29.74448
62.59809,29.74448
62.59809,29.74448
62.59809,29.74448
62.59809,29.74448
62.59809,29.74448
62.59809,29.74448
62.59809,29.74448
62.59809,29.74448
62.59809,29.74448
62.59809,29.74448
62.59764,29.74321
62.59912,29.75937
62.61486,29.74357
62.59809,29.74448
62.59795,29.74381
62.59809,29.74448
62.59809,29.74448
62.59809,29.74448
62.60366,29.74606
62.60361,29.74627
62.60365,29.74643
62.59766,29.74364
62.59809,29.74448
62.59809,29.74448
62.59809,29.74448
62.60142,29.76249
62.59809,29.74448
62.59809,29.74448
62.59809,29.74448
62.59809,29.74448
62.59809,29.74414
62.59809,29.74415
62.59809,29.74415
62.59857,29.74502
62.59809,29.74414
62.0,29.0
62.0,29.0
62.0,29.0
62.0,29.0
62.0,29.0
62.0,29.0
62.61551,29.74663
62.61551,29.74663
62.61551,29.74663
62.61551,29.74663
62.61551,29.74663
62.61551,29.74663
62.61551,29.74663
62.61551,29.74663
62.61551,29.74663
62.61551,29.74663
62.61551,29.74663
62.61551,29.74663
62.61551,29.74663
62.61551,29.74663
62.61551,29.74663
62.61671,29.7056
62.60617,29.75942
62.60429,29.75541
62.60528,29.75101
62.60586,29.75014
62.60673,29.7491
62.61398,29.73918
