x,y
453320.0,606542.0
520651.0,594591.0
516664.0,660290.0
570023.0,570741.0
524035.0,518443.0
544957.0,505968.0
503105.0,577815.0
515747.0,601704.0
588509.0,666153.0
533602.0,584471.0
488815.0,736618.0
555436.0,648459.0
525149.0,598859.0
527235.0,597804.0
532163.0,487880.0
456899.0,535857.0
458240.0,649408.0
449835.0,681607.0
536283.0,664397.0
490765.0,641584.0
454105.0,462204.0
452479.0,733351.0
530851.0,640929.0
537285.0,484173.0
517205.0,604160.0
523280.0,604275.0
587302.0,609986.0
474852.0,625772.0
524603.0,621588.0
541442.0,643798.0
533275.0,597808.0
561366.0,639125.0
542921.0,577831.0
535727.0,568446.0
505281.0,579015.0
507854.0,513056.0
519839.0,594718.0
543050.0,594144.0
502642.0,615006.0
457526.0,658653.0
454100.0,637822.0
478919.0,531404.0
525977.0,595552.0
530335.0,593501.0
485899.0,618292.0
520162.0,606713.0
579754.0,607506.0
448929.0,699090.0
519817.0,600528.0
590437.0,652317.0
565852.0,731472.0
530337.0,609544.0
591664.0,441477.0
518660.0,603100.0
543134.0,515387.0
549643.0,615815.0
536765.0,368279.0
490583.0,447151.0
462095.0,603185.0
521037.0,625633.0
517783.0,448891.0
504286.0,586215.0
449791.0,508708.0
505975.0,574621.0
565315.0,570709.0
505993.0,602027.0
481399.0,639977.0
528705.0,615540.0
496874.0,608333.0
509135.0,610403.0
551495.0,534129.0
511112.0,609032.0
540324.0,654879.0
518523.0,731755.0
592334.0,554231.0
458334.0,717159.0
563760.0,556793.0
498993.0,477685.0
461951.0,676819.0
542473.0,619633.0
577696.0,558890.0
528282.0,454400.0
505044.0,648336.0
502254.0,599976.0
540724.0,612400.0
527173.0,638401.0
457823.0,732911.0
556058.0,641043.0
504892.0,636062.0
519323.0,604971.0
552242.0,597762.0
519915.0,756868.0
510063.0,608495.0
465513.0,529132.0
548305.0,789860.0
583329.0,579176.0
556448.0,580076.0
533866.0,630754.0
515476.0,610111.0
523927.0,561491.0
537745.0,730727.0
496614.0,634895.0
532452.0,620413.0
536056.0,592316.0
593310.0,602181.0
496071.0,641507.0
534472.0,723007.0
560890.0,671380.0
587630.0,603523.0
465477.0,577209.0
515948.0,599567.0
568984.0,508467.0
503169.0,584319.0
474033.0,604815.0
547110.0,635152.0
468222.0,558458.0
517396.0,599675.0
530689.0,605173.0
559197.0,707148.0
481295.0,606981.0
500864.0,602869.0
530677.0,448636.0
478788.0,536546.0
575107.0,605490.0
556865.0,576259.0
502377.0,463742.0
560795.0,506703.0
498930.0,606521.0
437919.0,529813.0
478859.0,605506.0
481130.0,571932.0
469019.0,650175.0
550219.0,511903.0
548072.0,645976.0
478541.0,641601.0
487619.0,577759.0
458678.0,582469.0
512861.0,595314.0
530533.0,617715.0
517830.0,602128.0
477762.0,560260.0
582223.0,588889.0
483506.0,616626.0
491250.0,551419.0
517028.0,595332.0
518560.0,536665.0
473296.0,675462.0
552160.0,585490.0
507965.0,693786.0
573714.0,564928.0
494814.0,606104.0
482060.0,583648.0
531755.0,589697.0
450480.0,714996.0
480821.0,565116.0
480805.0,685935.0
481631.0,636177.0
545208.0,637065.0
593872.0,697763.0
516121.0,602007.0
494339.0,615498.0
482361.0,482641.0
497820.0,561443.0
490094.0,534384.0
550220.0,574397.0
556659.0,640497.0
517416.0,602429.0
496847.0,583462.0
585333.0,595857.0
592721.0,557481.0
517003.0,601763.0
547798.0,572399.0
561044.0,620960.0
511079.0,619668.0
536605.0,619651.0
531691.0,790138.0
512216.0,623166.0
524997.0,600241.0
585350.0,632346.0
582923.0,674777.0
561809.0,588448.0
511168.0,600267.0
592334.0,549213.0
578937.0,619828.0
486686.0,601992.0
577901.0,591721.0
501483.0,581157.0
457462.0,707351.0
494877.0,598042.0
484635.0,641845.0
538873.0,607201.0
437948.0,675857.0
504769.0,602742.0
553738.0,625842.0
541181.0,592835.0
460453.0,663248.0
517324.0,651171.0
552856.0,632819.0
586586.0,524767.0
517329.0,597341.0
500534.0,594406.0
512623.0,615916.0
517648.0,602787.0
515810.0,608979.0
519226.0,603757.0
565177.0,572012.0
508852.0,610907.0
492011.0,553423.0
513857.0,606505.0
519814.0,612122.0
