x,y,class
-0.9173983933,1.3140645692,b'1'
-1.4281361302,1.5268668431,b'1'
-0.88636236,1.3527769438,b'1'
-0.8085286057,1.2744757131,b'1'
-1.2801274078,1.3659883692,b'1'
-1.0563775887,1.2618544966,b'1'
-1.5911913215,1.5159355571,b'1'
-0.9703949654,1.7412650195,b'1'
-1.1537924054,1.4991907004,b'1'
-0.9643144336,1.4819669217,b'1'
-1.0423832493,1.2597369838,b'1'
-0.6344759434,1.7217237676,b'1'
-1.2354838108,1.5018063745,b'1'
-1.1579141225,1.4096438748,b'1'
-1.4542081535,1.7264951398,b'1'
-1.2757556115,1.5582223388,b'1'
-0.6967007805,1.4202669276,b'1'
-0.8495406921,1.1739205567,b'1'
-0.6533427046,1.1293140817,b'1'
-1.0862002948,1.6174399249,b'1'
-0.817822236,1.3488264001,b'1'
-0.8804036889,1.1333057627,b'1'
-1.1209673745,1.5785679909,b'1'
-1.2222890457,1.6355489867,b'1'
-1.1953221819,1.230444496,b'1'
-1.1813428488,1.3914696017,b'1'
-1.4147349895,1.7059297937,b'1'
-1.2506051786,1.3260648184,b'1'
-0.9805623159,1.4979158983,b'1'
-1.1036554435,1.9009245285,b'1'
-1.1376838444,1.6389557369,b'1'
-1.1903443817,1.7228299178,b'1'
-0.8466694976,1.4870356148,b'1'
-1.3666971201,1.4597011068,b'1'
-1.2724042637,1.5251709281,b'1'
-1.0022171645,1.3772837707,b'1'
-1.0989366872,1.6172815665,b'1'
-1.2199847827,1.2377589572,b'1'
-0.9522656113,1.4216719574,b'1'
-1.3012799527,1.6497523294,b'1'
-0.8973252151,1.6350270987,b'1'
-1.0998918321,1.3248928331,b'1'
-0.734249569,1.7106473683,b'1'
-1.0563996609,1.6126371352,b'1'
-0.8894250918,1.75585302,b'1'
-1.0368394802,1.2214224666,b'1'
-0.5722628195,1.3862929323,b'1'
-1.1577065967,1.683516286,b'1'
-0.7837391447,1.3446298141,b'1'
-0.8876036264,1.8650652779,b'1'
-1.179761333,1.3071497305,b'1'
-1.2040191427,1.2295368376,b'1'
-0.9301925874,1.3819869417,b'1'
-0.7719246702,1.5522117627,b'1'
-1.345629603,1.3009999859,b'1'
-0.5151357112,1.594746424,b'1'
-0.9195445172,1.7732295132,b'1'
-1.005059935,1.856209768,b'1'
-0.6130457712,1.4549176015,b'1'
-0.804368714,1.8470662789,b'1'
-0.8642962579,1.4187560183,b'1'
-1.1471367133,1.5370399556,b'1'
-0.876844477,1.4487014231,b'1'
-1.3519171552,1.275247368,b'1'
-1.2834519157,1.4849748226,b'1'
-1.34357134,1.4741657978,b'1'
-1.3133799199,1.5795292695,b'1'
-1.0677202202,1.4684128229,b'1'
-1.0988970437,1.2054688396,b'1'
-1.5442145183,1.905777284,b'1'
-0.8848746864,1.3148720735,b'1'
-0.7937406963,1.1297036662,b'1'
-1.1887317125,1.2477550972,b'1'
-0.9402148502,1.6861790994,b'1'
-1.0971217463,1.3414221989,b'1'
-1.0806775084,1.8523270388,b'1'
-1.2014328718,1.5558628015,b'1'
-0.9248296164,1.6352808975,b'1'
-0.6616153952,0.801877915,b'1'
-1.0967823335,1.4619873741,b'1'
-1.2746172529,1.645910328,b'1'
-1.3258235356,2.0291966549,b'1'
-1.3912727422,1.6094392149,b'1'
-0.9384066046,1.6140623074,b'1'
-0.8868915892,1.6369351339,b'1'
-0.8564487404,1.8957724445,b'1'
-0.9916173486,1.243236677,b'1'
-0.813904636,1.6181179961,b'1'
-0.9890205153,1.5552839975,b'1'
-0.9350641744,1.69540008,b'1'
-0.8823615637,1.5961408129,b'1'
-0.825518654,1.1473353961,b'1'
-1.0152489222,1.449054872,b'1'
-0.8298834214,1.824235297,b'1'
-1.3396798217,1.8462339519,b'1'
-0.8689455507,1.2219147159,b'1'
-0.8794068988,1.5806391292,b'1'
-1.2476029972,1.7614192857,b'1'
-1.2811994379,1.7460494997,b'1'
-0.9905556025,1.5012928381,b'1'
-1.1924794636,1.5145832199,b'1'
-1.3764456612,1.4211103898,b'1'
-0.9517412826,1.7172732116,b'1'
-0.8367769111,1.332431621,b'1'
-0.926719098,1.7908641042,b'1'
-0.8419662579,1.7756634225,b'1'
-1.0730362533,1.5986991652,b'1'
-0.7575114776,1.5320396042,b'1'
-0.9925311905,1.3486552757,b'1'
-0.8669384226,1.4664032712,b'1'
-1.2094441005,1.861284308,b'1'
-0.9870185861,1.3352980585,b'1'
-0.9938754964,1.4766037132,b'1'
-0.8805469423,1.6814389795,b'1'
-0.9674317848,1.6042985571,b'1'
-1.1966521183,1.4565474987,b'1'
-1.1338286454,1.6555715193,b'1'
-1.3431213802,1.3919482024,b'1'
-0.5918925365,1.826222605,b'1'
-1.2129408147,1.393806284,b'1'
-0.7134996347,1.5598134588,b'1'
-0.8585094734,1.1833165093,b'1'
-1.1338695976,1.5539376987,b'1'
-0.8498623971,1.5188902739,b'1'
-0.9723516176,1.7155387208,b'1'
-0.9653248491,1.5295119264,b'1'
-1.1101707789,1.6125738384,b'1'
-0.5088494516,1.5184605161,b'1'
-1.0371680947,1.3740871918,b'1'
-0.87964003,1.7050096658,b'1'
-1.0954044337,1.8440236944,b'1'
-1.3229380323,1.3921570521,b'1'
-1.1232814106,1.7384045171,b'1'
-1.0340806853,1.4051331915,b'1'
-1.0280530104,2.0775514549,b'1'
-1.116616995,1.2398231833,b'1'
-0.8996149802,1.4105619767,b'1'
-0.9240335378,1.4949078475,b'1'
-0.9439967145,1.2959426627,b'1'
-0.9827652399,1.4963909155,b'1'
-1.1830463994,1.6733355879,b'1'
-0.9043756831,1.3565556254,b'1'
-0.6973129862,1.4383983289,b'1'
-0.9900113314,1.4739732047,b'1'
-1.1057376666,1.3599605375,b'1'
-1.3058300397,1.4312806355,b'1'
-1.052308073,1.7138916269,b'1'
-1.0852895686,1.5143231347,b'1'
-1.368100225,1.6433551408,b'1'
-1.0805932049,1.5397602454,b'1'
-0.7623760967,1.7542550221,b'1'
-1.5083714105,1.4759374938,b'1'
-0.9184079476,1.2259895821,b'1'
-0.9391243383,1.8079643705,b'1'
-1.0482883446,1.7351116146,b'1'
-1.1287635855,1.4243767087,b'1'
-0.9223037938,1.2792809527,b'1'
-0.9591046592,1.4003934483,b'1'
-0.9169247636,1.3489425138,b'1'
-1.1786932324,1.6318189994,b'1'
-1.1152205025,1.3396048576,b'1'
-0.8314415075,1.325407938,b'1'
-1.0859889991,1.4689750001,b'1'
-0.9653431821,1.6305228315,b'1'
-1.4077967293,1.5490089672,b'1'
-0.9384164298,1.6216127117,b'1'
-1.072827574,1.3724565656,b'1'
-1.1318333864,1.6517601974,b'1'
-1.0266507021,1.4792755147,b'1'
-0.863885675,1.5458628144,b'1'
-1.1765718067,1.8200001558,b'1'
-1.1890460004,1.7259358284,b'1'
-0.8730880632,1.1402098048,b'1'
-1.1356211384,1.6405575116,b'1'
-1.1201972191,1.1942316925,b'1'
-1.1096771943,1.58802212,b'1'
-0.7600660649,1.4902740741,b'1'
-1.0178525047,2.0664439857,b'1'
-0.8788075779,1.4657204002,b'1'
-1.1674655819,1.2724914331,b'1'
-1.2418293058,1.7821563589,b'1'
-0.968330715,1.5030955708,b'1'
-0.8280489271,1.241072001,b'1'
-1.0542788991,1.5100631299,b'1'
-1.2280454498,1.6276702765,b'1'
-1.0030897295,1.3894916305,b'1'
-1.0626868805,1.7979679743,b'1'
-0.8558111363,1.215261,b'1'
-0.8639892958,1.7349757113,b'1'
-0.5487760164,1.7080516188,b'1'
-0.8653394559,1.6776137356,b'1'
-0.8976581151,1.4795907092,b'1'
-1.3713245397,1.096372342,b'1'
-1.1777766133,1.8052524925,b'1'
