a0,a1,class
1.5,0.0,b'0'
1.50973,0.0284611,b'0'
1.51892,0.0572891,b'0'
1.52755,0.0864734,b'0'
1.53562,0.116003,b'0'
1.54312,0.145868,b'0'
1.55003,0.176056,b'0'
1.55635,0.206556,b'0'
1.56207,0.237356,b'0'
1.56717,0.268445,b'0'
1.57166,0.29981,b'0'
1.57552,0.331439,b'0'
1.57873,0.363319,b'0'
1.58131,0.395437,b'0'
1.58323,0.42778,b'0'
1.58448,0.460335,b'0'
1.58508,0.493089,b'0'
1.58499,0.526027,b'0'
1.58422,0.559137,b'0'
1.58277,0.592403,b'0'
1.58062,0.625812,b'0'
1.57777,0.659349,b'0'
1.57421,0.692999,b'0'
1.56995,0.726748,b'0'
1.56497,0.760581,b'0'
1.55926,0.794483,b'0'
1.55283,0.828439,b'0'
1.54567,0.862433,b'0'
1.53778,0.896449,b'0'
1.52916,0.930473,b'0'
1.51979,0.964488,b'0'
1.50968,0.998479,b'0'
1.49883,1.03243,b'0'
1.48723,1.06632,b'0'
1.47488,1.10015,b'0'
1.46179,1.13388,b'0'
1.44794,1.16751,b'0'
1.43334,1.20101,b'0'
1.41799,1.23438,b'0'
1.40189,1.2676,b'0'
1.38504,1.30064,b'0'
1.36744,1.3335,b'0'
1.34909,1.36615,b'0'
1.32999,1.39858,b'0'
1.31015,1.43078,b'0'
1.28956,1.46272,b'0'
1.26823,1.49439,b'0'
1.24616,1.52577,b'0'
1.22336,1.55685,b'0'
1.19983,1.58761,b'0'
1.17557,1.61803,b'0'
1.15059,1.6481,b'0'
1.12489,1.6778,b'0'
1.09848,1.70712,b'0'
1.07136,1.73603,b'0'
1.04353,1.76452,b'0'
1.01502,1.79258,b'0'
0.985813,1.82018,b'0'
0.955926,1.84732,b'0'
0.925365,1.87398,b'0'
0.894137,1.90014,b'0'
0.86225,1.92578,b'0'
0.829712,1.95089,b'0'
0.796533,1.97546,b'0'
0.762721,1.99946,b'0'
0.728287,2.02289,b'0'
0.693238,2.04573,b'0'
0.657587,2.06797,b'0'
0.621342,2.08958,b'0'
0.584515,2.11055,b'0'
0.547118,2.13088,b'0'
0.509161,2.15055,b'0'
0.470656,2.16954,b'0'
0.431615,2.18783,b'0'
0.392052,2.20542,b'0'
0.351978,2.2223,b'0'
0.311406,2.23844,b'0'
0.270351,2.25384,b'0'
0.228825,2.26849,b'0'
0.186843,2.28236,b'0'
0.144418,2.29546,b'0'
0.101566,2.30777,b'0'
0.0583018,2.31927,b'0'
0.0146397,2.32995,b'0'
-0.0294045,2.33982,b'0'
-0.0738153,2.34884,b'0'
-0.118577,2.35702,b'0'
-0.163672,2.36434,b'0'
-0.209086,2.3708,b'0'
-0.254801,2.37638,b'0'
-0.3008,2.38108,b'0'
-0.347066,2.38488,b'0'
-0.393582,2.38778,b'0'
-0.44033,2.38977,b'0'
-0.487292,2.39085,b'0'
-0.534451,2.391,b'0'
-0.581788,2.39021,b'0'
-0.629284,2.38849,b'0'
-0.676921,2.38583,b'0'
-0.72468,2.38221,b'0'
-0.772542,2.37764,b'0'
-0.820489,2.37211,b'0'
-0.8685,2.36561,b'0'
-0.916557,2.35814,b'0'
-0.964639,2.3497,b'0'
-1.01273,2.34027,b'0'
-1.0608,2.32987,b'0'
-1.10884,2.31848,b'0'
-1.15683,2.30611,b'0'
-1.20474,2.29275,b'0'
-1.25256,2.2784,b'0'
-1.30026,2.26305,b'0'
-1.34783,2.24672,b'0'
-1.39524,2.22939,b'0'
-1.44248,2.21107,b'0'
-1.48952,2.19176,b'0'
-1.53634,2.17146,b'0'
-1.58293,2.15017,b'0'
-1.62925,2.12789,b'0'
-1.6753,2.10463,b'0'
-1.72104,2.08039,b'0'
-1.76647,2.05516,b'0'
-1.81155,2.02896,b'0'
-1.85627,2.00179,b'0'
-1.90061,1.97365,b'0'
-1.94454,1.94454,b'0'
-1.98805,1.91448,b'0'
-2.03112,1.88347,b'0'
-2.07372,1.85151,b'0'
-2.11583,1.81862,b'0'
-2.15744,1.78479,b'0'
-2.19852,1.75003,b'0'
-2.23905,1.71436,b'0'
-2.27902,1.67778,b'0'
-2.3184,1.64031,b'0'
-2.35718,1.60194,b'0'
-2.39533,1.56269,b'0'
-2.43284,1.52257,b'0'
-2.46968,1.48159,b'0'
-2.50583,1.43975,b'0'
-2.54129,1.39709,b'0'
-2.57602,1.35359,b'0'
-2.61002,1.30928,b'0'
-2.64325,1.26417,b'0'
-2.67571,1.21826,b'0'
-2.70738,1.17159,b'0'
-2.73823,1.12415,b'0'
-2.76825,1.07596,b'0'
-2.79743,1.02704,b'0'
-2.82574,0.977395,b'0'
-2.85317,0.927051,b'0'
-2.8797,0.876019,b'0'
-2.90532,0.824315,b'0'
-2.93001,0.771955,b'0'
-2.95376,0.718957,b'0'
-2.97655,0.665337,b'0'
-2.99836,0.611113,b'0'
-3.01918,0.556302,b'0'
-3.03899,0.500922,b'0'
-3.05779,0.444993,b'0'
-3.07556,0.388533,b'0'
-3.09228,0.331561,b'0'
-3.10794,0.274096,b'0'
-3.12253,0.216158,b'0'
-3.13603,0.157767,b'0'
-3.14845,0.0989439,b'0'
-3.15975,0.0397087,b'0'
-3.16994,-0.0199176,b'0'
-3.179,-0.0799137,b'0'
-3.18692,-0.140258,b'0'
