a0,a1,CLASS
15.464,19.4409,b'0'
17.7983,14.8367,b'0'
15.0522,17.2602,b'0'
15.3265,18.1245,b'0'
17.7211,15.0053,b'0'
16.7703,16.5096,b'0'
14.5202,15.2777,b'0'
13.0365,16.5854,b'0'
12.9726,17.9263,b'0'
15.8985,17.3809,b'0'
17.4951,17.3044,b'0'
15.429,14.2952,b'0'
17.3656,14.5727,b'0'
15.3067,17.2094,b'0'
16.0827,15.4634,b'0'
17.0917,17.56,b'0'
16.9116,14.989,b'0'
17.4422,16.4065,b'0'
16.0756,14.5156,b'0'
15.9407,14.9483,b'0'
16.3072,14.9,b'0'
15.6273,14.0664,b'0'
16.2231,18.0958,b'0'
18.582,18.2984,b'0'
14.6839,12.5133,b'0'
18.0406,14.282,b'0'
16.9226,15.4166,b'0'
16.1448,14.0772,b'0'
15.5834,17.4993,b'0'
15.3563,15.9997,b'0'
15.502,15.2259,b'0'
17.5806,14.6431,b'0'
19.5359,17.3495,b'0'
17.1991,15.8414,b'0'
18.0528,16.1468,b'0'
15.7983,16.6047,b'0'
15.512,17.1197,b'0'
17.0188,18.0452,b'0'
15.0616,13.7979,b'0'
19.2077,14.2998,b'0'
15.2413,14.1172,b'0'
13.48,15.2144,b'0'
17.5143,15.5952,b'0'
19.3998,16.5515,b'0'
14.3853,17.2844,b'0'
12.5038,15.8406,b'0'
14.5953,14.5792,b'0'
16.4044,16.5052,b'0'
14.9307,13.9586,b'0'
16.777,14.848,b'0'
14.9371,14.3088,b'0'
14.8611,14.7618,b'0'
18.4363,16.9572,b'0'
13.6519,17.5881,b'0'
13.0717,20.5201,b'0'
14.8945,15.9053,b'0'
15.8362,15.5648,b'0'
15.2934,16.1949,b'0'
15.8895,14.6806,b'0'
16.476,15.1737,b'0'
14.2752,15.1935,b'0'
18.4192,16.271,b'0'
17.4179,16.3666,b'0'
14.3428,15.3748,b'0'
15.7446,15.1492,b'0'
17.5479,13.6618,b'0'
16.3384,18.499,b'0'
16.5278,16.4721,b'0'
15.7585,14.776,b'0'
17.4294,15.5536,b'0'
14.9692,17.9135,b'0'
14.9882,16.445,b'0'
18.7688,17.8611,b'0'
11.8488,16.2259,b'0'
14.9125,17.3603,b'0'
