x,y,class
-1.357818,-2.071201,b'7'
-0.011177,1.705894,b'2'
0.984379,0.236823,b'6'
-3.032441,1.158165,b'1'
-0.65397,2.226539,b'2'
-0.197106,2.102319,b'2'
0.662488,1.460443,b'2'
0.555874,1.461527,b'2'
-2.414818,1.72212,b'1'
-2.225339,-1.938249,b'7'
2.040196,1.818911,b'3'
2.052167,0.863156,b'6'
-2.714617,-2.528982,b'7'
-1.690757,-2.763342,b'7'
-0.067806,0.761232,b'5'
2.281874,1.472221,b'3'
-1.534681,1.003197,b'4'
-2.432296,-2.455307,b'7'
-1.882905,0.783619,b'4'
-0.731151,1.971621,b'2'
3.089637,-0.982379,b'6'
2.015626,1.972188,b'3'
-1.26017,-0.87911,b'7'
2.553107,1.682078,b'3'
2.874399,0.887695,b'6'
1.91771,2.139633,b'3'
-2.228993,-0.323981,b'4'
2.030653,1.62334,b'3'
2.24188,2.492965,b'3'
1.544266,-0.04973,b'6'
0.031953,-1.131856,b'8'
1.600776,-1.207922,b'9'
-2.213644,2.678879,b'1'
-1.953524,-0.540983,b'4'
-2.310441,-1.740028,b'7'
-2.450011,-2.749208,b'7'
0.547534,2.003953,b'2'
2.119233,1.736949,b'3'
1.608189,-1.687368,b'9'
2.431226,-1.647599,b'9'
-2.472206,2.896035,b'1'
-2.76633,1.271111,b'1'
1.862631,2.90364,b'3'
-1.830787,-0.956537,b'7'
-2.54774,-2.758177,b'7'
-2.412839,1.896345,b'1'
1.58809,-1.78702,b'9'
0.699396,0.854389,b'5'
-2.147214,-1.876566,b'7'
-1.422819,0.366605,b'4'
1.235696,-0.337979,b'6'
-0.60349,2.662569,b'2'
-2.068476,-2.073554,b'7'
1.856359,2.206405,b'3'
1.721161,0.915932,b'6'
2.268337,2.119233,b'3'
0.015024,2.209096,b'2'
-0.293286,3.079113,b'2'
-2.796668,1.606939,b'1'
-2.179661,-0.160263,b'4'
1.99258,-1.712844,b'9'
1.531772,-1.84281,b'9'
-2.407333,1.926278,b'1'
1.765358,2.210373,b'3'
2.377331,2.654129,b'3'
2.081909,1.901207,b'3'
-2.578824,-2.184458,b'7'
2.330289,-0.321658,b'6'
-0.798469,-1.324846,b'7'
1.649773,0.605566,b'6'
2.740383,2.31373,b'3'
2.826119,-3.031671,b'9'
2.232127,0.508126,b'6'
-1.772403,-0.037906,b'4'
0.422896,0.735702,b'5'
-2.08047,-0.936886,b'7'
1.58524,-2.920118,b'9'
0.196311,-1.452191,b'8'
-2.148916,-1.755827,b'7'
0.232224,-0.158228,b'5'
0.537458,-2.937201,b'8'
-0.468848,-0.317975,b'5'
2.048164,-2.755992,b'9'
-0.968905,2.500413,b'1'
-1.807281,0.192393,b'4'
1.476616,2.504746,b'3'
2.614687,-2.057552,b'9'
-0.18178,-1.132572,b'8'
1.788158,-1.530593,b'9'
1.885692,0.180628,b'6'
-1.905536,-1.678553,b'7'
-1.616724,-2.507085,b'7'
-0.339427,1.835793,b'2'
-0.362855,-1.772884,b'8'
-2.153675,0.328536,b'4'
0.007859,-0.948759,b'5'
-0.356383,0.803076,b'2'
-1.94932,2.086108,b'1'
2.388919,1.389215,b'3'
1.641647,-1.748375,b'9'
-0.583847,-2.093609,b'8'
0.659985,1.954799,b'2'
-1.820247,-2.322608,b'7'
-0.077935,0.172182,b'5'
0.47414,2.181734,b'2'
0.171313,1.035007,b'2'
0.565853,0.135109,b'5'
0.151562,2.761806,b'2'
-0.071831,0.865405,b'5'
-2.659099,-2.788335,b'7'
-2.19095,-0.544252,b'4'
-0.564519,0.221028,b'5'
2.035783,-0.065882,b'6'
2.277224,-2.259873,b'9'
-2.083773,2.867428,b'1'
-2.18951,1.882033,b'1'
0.096262,1.018594,b'2'
-3.090128,-0.018239,b'4'
0.824706,0.979255,b'2'
-0.257792,-2.281115,b'8'
-0.16067,1.464974,b'2'
-2.355891,-2.167071,b'7'
2.654129,0.371813,b'6'
0.532402,-2.420488,b'8'
1.389739,1.151589,b'3'
-1.637695,-2.720729,b'7'
-1.958493,2.689939,b'1'
2.303274,-0.742137,b'6'
-1.921685,-1.136607,b'7'
-0.328164,1.094403,b'2'
-1.119252,-1.61695,b'7'
-1.793501,0.020898,b'4'
0.477018,-0.193278,b'5'
-2.385077,-1.322945,b'7'
1.842042,-2.172273,b'9'
1.019886,-1.409278,b'9'
-0.353545,-2.428322,b'8'
-0.177223,1.319707,b'2'
2.020575,-1.625014,b'9'
-1.434849,2.906251,b'1'
0.817384,-0.317922,b'5'
-0.449587,-2.149274,b'8'
-1.508695,-2.506759,b'7'
-0.618234,-1.84028,b'8'
1.84583,-0.887945,b'6'
-1.949031,1.698587,b'1'
-1.171933,0.420136,b'5'
-2.564659,-2.897058,b'7'
-0.402263,0.199634,b'5'
1.856538,0.199353,b'6'
1.31528,-0.977864,b'6'
-1.912617,-0.221363,b'4'
0.793085,-1.782979,b'9'
-2.555944,-2.878295,b'7'
0.409474,-1.680553,b'8'
2.589051,-0.287768,b'6'
1.526983,2.031262,b'3'
1.790762,-1.278023,b'9'
-2.093694,0.758939,b'4'
-2.019689,-1.947792,b'7'
-1.590874,-2.040155,b'7'
-0.078906,-2.283446,b'8'
-0.276317,1.703893,b'2'
2.433723,-0.333326,b'6'
-0.119059,-2.007181,b'8'
0.055395,-0.251084,b'5'
-2.173554,0.457875,b'4'
-3.031095,0.34887,b'4'
-2.504163,0.024936,b'4'
1.416369,-1.094098,b'6'
-2.097248,-0.123434,b'4'
0.828738,2.003357,b'2'
-1.571382,-0.576967,b'4'
0.469842,-2.029069,b'8'
-1.868516,2.144176,b'1'
0.853811,2.583847,b'2'
2.434438,-0.57277,b'6'
-1.465715,0.177729,b'4'
1.464231,2.55629,b'3'
1.732462,1.697088,b'3'
2.12994,1.232413,b'3'
-2.549593,-1.665874,b'7'
