x,y,class
-3.0,-3.0,b'5'
-3.0,3.0,b'4'
3.0,-3.0,b'6'
3.0,3.0,b'3'
-0.417091,0.114782,b'1'
0.054031,0.296411,b'1'
-0.337597,0.346704,b'1'
-0.0469,-0.319833,b'1'
0.000955,-0.07788,b'1'
0.163704,-0.171811,b'1'
-0.140118,0.163781,b'1'
0.228946,-0.032098,b'1'
0.379642,-0.006396,b'1'
-0.38736,-0.217393,b'1'
-0.077707,-0.28845,b'1'
-0.141468,-0.132688,b'1'
0.132764,-0.312654,b'1'
-0.157673,-0.279198,b'1'
-0.25882,-0.08331,b'1'
0.032572,-0.274695,b'1'
-0.333664,0.15261,b'1'
-0.48088,0.023882,b'1'
-0.06806,-0.368618,b'1'
0.36105,-0.001467,b'1'
0.276191,-0.309596,b'1'
-0.198664,0.024887,b'1'
-0.256391,-0.000411,b'1'
-0.028428,-0.240332,b'1'
-0.055645,0.395318,b'1'
0.074451,-0.493023,b'1'
-0.026067,0.361214,b'1'
0.383108,-0.118063,b'1'
-0.021727,0.357367,b'1'
0.102986,-0.30644,b'1'
0.468553,0.087124,b'1'
0.12418,-0.466284,b'1'
-0.257262,-0.344154,b'1'
0.164727,-0.305763,b'1'
0.1532,-0.166946,b'1'
-0.196484,0.361061,b'1'
-0.164265,-0.423242,b'1'
-0.115913,0.141906,b'1'
0.234838,-0.284737,b'1'
0.435577,-0.065952,b'1'
-0.289824,-0.281036,b'1'
-0.218331,0.339873,b'1'
-0.202617,-0.282583,b'1'
-0.026528,0.28171,b'1'
-0.483938,-0.054453,b'1'
0.254847,0.029124,b'1'
0.151301,0.328701,b'1'
0.363223,0.115736,b'1'
0.289041,0.174952,b'1'
-0.150278,0.013699,b'1'
-0.339199,0.258462,b'1'
-0.350247,-0.233266,b'1'
0.344694,0.26715,b'1'
-0.114448,0.455282,b'1'
0.244537,-0.131137,b'1'
0.225986,0.374462,b'1'
0.020745,-0.433563,b'1'
-0.395291,0.212906,b'1'
0.116611,-0.11174,b'1'
0.257534,-0.282931,b'1'
0.343805,0.324066,b'1'
0.251776,0.116866,b'1'
0.086153,-0.20082,b'1'
0.356909,0.277047,b'1'
0.312987,-0.043657,b'1'
-0.114046,-0.111282,b'1'
0.298053,0.181913,b'1'
0.118238,-0.21706,b'1'
-0.173326,-0.154074,b'1'
0.030702,0.199872,b'1'
0.213141,0.051191,b'1'
0.251399,0.427102,b'1'
-0.269086,-0.108423,b'1'
0.033437,0.399934,b'1'
