x,y,class
0.2709225881,-1.3642489243,b'2'
-1.6396131979,-2.5794390311,b'1'
2.39217506,0.5163441457,b'1'
-1.1826666952,-1.5305489287,b'2'
0.6871136113,-0.3831255661,b'2'
1.7721640137,-2.8042037117,b'2'
1.288195024,-1.6455256963,b'2'
-3.4166475029,-1.9247617063,b'1'
1.5776843748,-1.557616883,b'2'
-1.488942108,-0.2248066347,b'1'
0.4994511346,-3.4465823128,b'2'
-2.6877111266,-2.3420475581,b'1'
2.3588917683,-1.1773954354,b'2'
-0.5431320911,-4.1437299718,b'1'
2.1864947374,-0.346576665,b'2'
2.4121853174,1.1917110127,b'1'
-1.6198789133,-2.1814474097,b'1'
1.4109471116,0.2726911527,b'2'
-2.6024021683,0.2266183708,b'1'
-0.287773909,1.1367830206,b'1'
4.3375351757,-0.8319629026,b'2'
-1.9962384835,-3.0752106008,b'1'
3.7870698002,-0.746603796,b'2'
-2.127838583,-1.1802975816,b'1'
-1.1567160036,-0.4199053519,b'1'
1.1604547038,-2.2972301815,b'2'
1.4495737482,-2.6068518548,b'2'
-1.8929200531,-1.4153910754,b'1'
1.064476679,0.9196461088,b'1'
1.3518931866,1.9941441395,b'1'
1.2306923939,-2.2242409851,b'1'
2.3088033348,-1.2150634431,b'2'
-0.1489139352,-2.2306581991,b'2'
-1.8724797002,-1.3121028854,b'1'
0.167877354,0.1156464567,b'1'
2.0578276146,1.3686106731,b'1'
0.8751501175,0.1051919955,b'2'
3.408215747,2.3171142206,b'1'
1.2331775504,-1.8101506776,b'2'
1.8094100372,-1.8641590398,b'2'
1.9174534913,-0.5145206448,b'2'
1.9028897948,0.6864540426,b'1'
1.5677657875,-0.3365128157,b'2'
2.7427676664,-0.7048967366,b'2'
-2.3653407152,-0.9740566977,b'1'
-1.8726253911,-3.5921813677,b'1'
2.9580879714,1.5012091198,b'1'
-0.2688227151,-0.8614017174,b'2'
1.6079855356,-0.8939697616,b'2'
1.0234396723,0.5985876924,b'1'
-0.2700573159,-1.5694256998,b'2'
-0.2854746182,1.5015017772,b'1'
1.3751400888,1.1763544246,b'1'
2.2209179284,-1.1960597773,b'2'
-1.4519118067,-2.3993035428,b'1'
0.641484959,-0.5814229164,b'2'
1.6259390324,-1.5274354541,b'2'
-0.4399474229,1.8229397453,b'1'
2.4331469735,0.0393697987,b'2'
0.6779046615,-1.2022756096,b'2'
1.1269519754,-1.2715618383,b'2'
1.95968892,-0.8364550248,b'2'
1.2814281148,-1.3805045911,b'2'
-1.4408239922,-2.2132465383,b'1'
-1.7492365927,-1.4879792102,b'1'
2.5778260253,2.0258445795,b'1'
-2.8519780293,-1.254651825,b'1'
-0.5596618849,-2.6767264642,b'1'
1.4657096917,-0.5731832287,b'2'
3.3587869962,-0.6274133529,b'2'
0.4687315033,-0.3450768252,b'1'
-2.3384716469,-3.0966523669,b'1'
2.1094244806,1.8514342775,b'1'
-1.1415558155,-0.9513615236,b'1'
0.6425354923,-1.8571510439,b'2'
1.9853073132,-1.0849172639,b'2'
0.7620222759,-2.4594819755,b'2'
1.3828054861,1.0271565103,b'1'
-1.3670045188,-0.1572127473,b'1'
1.9373851691,1.5838016653,b'1'
0.3752264554,1.167510107,b'1'
-0.812268609,-3.2300235261,b'1'
-1.8170044874,-3.3219458888,b'1'
1.3970722843,-1.3528901917,b'2'
-1.768225729,-1.697847794,b'1'
1.6175076128,1.3804792421,b'1'
0.780751849,0.1694426817,b'1'
-1.2776101847,-1.2115778314,b'1'
0.3032414503,-1.8515172932,b'1'
-0.3093952653,-0.5838021974,b'1'
1.1930542512,-1.3209477608,b'2'
2.17156616,0.313532226,b'1'
2.280172164,1.1204228109,b'1'
0.4675196301,-0.1175891194,b'1'
1.2273173788,0.9733711332,b'2'
-2.5273417402,-0.6430056521,b'1'
-0.6592698306,-1.7341923869,b'1'
2.5776727796,-2.5205583764,b'2'
1.0580823714,-2.1025710095,b'2'
0.9229726751,-1.8565551795,b'2'
2.3312070986,-0.5013050553,b'2'
0.6210313718,-0.9673402885,b'2'
3.1253394342,-1.9204281576,b'2'
1.7668772754,-0.3849676772,b'2'
0.8259411909,1.9293631046,b'1'
-0.6841726504,-1.3892764765,b'1'
-0.9526405592,-1.890440372,b'1'
1.8501112714,-0.4385576603,b'2'
1.8926443495,0.231137758,b'2'
0.4521177841,-1.6882660694,b'2'
1.9740493713,-1.7804205343,b'2'
-0.0003044409,-0.4860832178,b'1'
-0.0755270543,-1.9735125798,b'2'
-1.7539769248,-1.5885967808,b'1'
-2.0684511126,-1.58456403,b'1'
1.4306504122,-1.6263954882,b'2'
1.804334113,2.1547928917,b'1'
-0.2630318853,1.0637106292,b'1'
0.3791498811,2.582575506,b'1'
1.6793356124,1.5564864933,b'1'
0.3116496945,-0.788220297,b'2'
-1.121241439,-1.6734328435,b'1'
2.3849515952,-0.0265336653,b'2'
-1.057799657,-1.5115027122,b'1'
1.8986260833,2.6052213866,b'1'
0.8495018554,-0.4428259646,b'2'
-1.1909915972,-1.8583464007,b'1'
2.699126883,-1.2831305777,b'2'
2.5792108662,0.9365456804,b'1'
0.6425889311,3.0955349888,b'1'
-1.1886749359,-2.9127842796,b'1'
-2.6585063306,-1.4240189571,b'1'
0.9680645821,1.2512293511,b'1'
3.0693787836,-1.9676688904,b'2'
-2.6471021501,-1.3732906775,b'1'
1.6531469314,-0.6030890279,b'2'
3.0851106387,1.2534464546,b'1'
0.835906247,1.5933511661,b'1'
-1.8299768377,-2.0606955295,b'1'
-0.9404800963,-1.9346415261,b'1'
1.020453648,0.9375111118,b'1'
-0.8502697093,-2.0768015731,b'1'
1.373481576,0.0870376861,b'2'
0.503785278,-1.2352004648,b'2'
2.2016736833,-0.3136662337,b'2'
1.3693133844,0.7924927544,b'2'
0.0904837404,-1.8669781299,b'1'
-0.2436850157,-2.9508852334,b'1'
2.5226047792,-0.1696788664,b'2'
-1.7215449348,-3.5792965894,b'1'
1.7541218396,-1.4194019105,b'2'
-1.5453675003,-1.986765802,b'1'
0.3844891867,-0.8409411501,b'2'
1.8335424163,-2.1294831924,b'2'
2.6653894988,0.8582619251,b'1'
1.9991714718,-0.6237383877,b'2'
-1.87633001,-1.2362652918,b'1'
2.4018255406,-1.6423329676,b'2'
2.7216444753,-1.3360838193,b'2'
0.8110955187,0.5143902791,b'2'
0.0773474515,-0.1476540348,b'2'
0.0676446752,-0.6107215671,b'1'
-2.3457053393,-0.3143208119,b'1'
1.8046703171,0.0680917541,b'2'
2.7954335814,-3.1056075594,b'2'
-0.577571923,-2.476914633,b'1'
1.8919324701,-0.8179081564,b'2'
1.0515251937,-0.1259698257,b'2'
2.1739823848,3.1995376283,b'1'
2.1755038808,1.4057797052,b'1'
-2.4931573092,-1.7623455973,b'1'
0.3827752988,-1.1656612063,b'2'
1.6128017339,-1.7620009351,b'2'
2.1858198527,-3.1086329393,b'2'
0.944527141,-1.0592949996,b'2'
-1.0393122742,-3.0429031122,b'1'
1.9082595634,-2.7152816269,b'2'
-2.2385520646,-1.6851407164,b'1'
1.033326113,1.492189653,b'1'
1.5310568151,-1.5379668735,b'2'
1.4578674954,-2.1477558429,b'2'
1.1435669754,-0.4079074933,b'2'
-1.8729881546,-2.4039091778,b'1'
-1.7886525437,-1.2577979805,b'1'
1.758435646,-1.9104309107,b'2'
2.4384705681,0.2517697103,b'2'
0.5649141057,-0.6852632151,b'2'
1.134670041,0.7798814,b'1'
1.6928077832,1.196561689,b'1'
0.6958359091,2.3773432988,b'1'
2.2486041112,-1.8366315487,b'2'
0.804346661,-3.5536686701,b'2'
0.535066416,2.6436204434,b'1'
1.490700069,-1.7038242252,b'2'
1.2580251296,-1.2652394989,b'2'
1.3233083648,-2.0884049611,b'2'
0.4367700566,-2.0690257923,b'2'
-1.7789067697,-0.8475147876,b'1'
-3.0145070683,-0.5658885607,b'1'
-2.3983607784,-2.4302594827,b'1'
-0.083785694,0.0451055636,b'2'
3.0805204765,-2.0404501588,b'2'
-1.2284708243,-2.0585932669,b'1'
1.2722612699,-1.3040033625,b'2'
1.5611145037,-2.6192803241,b'2'
1.6448946516,0.7250839712,b'1'
-0.0851284,2.326647946,b'1'
-1.027180651,-2.4438191866,b'2'
-0.135375488,-1.0343874958,b'1'
3.060796175,-1.3158119459,b'2'
0.156441108,-1.3639168047,b'2'
1.4912014273,2.1409972187,b'1'
0.9787089608,-0.296701181,b'1'
1.6671798698,1.8600346821,b'1'
0.4646070704,1.2766372779,b'1'
1.0551098824,-0.2223487208,b'2'
1.707883802,-1.3187496909,b'2'
3.7480816698,-0.3591844939,b'2'
1.2060506147,-1.6383687318,b'2'
-0.3274189588,-2.1992943238,b'2'
1.6833999134,-3.0209574567,b'2'
-1.011466765,0.057652183,b'1'
-0.2187583979,0.5153637154,b'2'
2.4266144914,-2.7246810211,b'2'
-0.3490809772,1.9612076988,b'1'
-0.3664943117,-2.2317180907,b'1'
-0.7953196771,0.3005562381,b'1'
-2.6916282214,-0.464122561,b'1'
0.7693094888,2.3844924402,b'1'
-1.6247744564,-0.7796616859,b'1'
0.6370556344,1.2645087598,b'1'
-1.716642746,-2.7039508498,b'1'
0.7208459327,-3.5993221355,b'2'
1.9611258265,-2.4639875079,b'2'
0.9694329276,1.1779141972,b'1'
-1.2729610042,-2.835256076,b'1'
0.7168820123,-1.8460266642,b'2'
-2.8068018112,-2.3500461718,b'1'
2.079851682,-0.9929944754,b'2'
1.7414158286,2.2180356283,b'1'
0.9914957121,0.4653022558,b'2'
1.2517093435,2.1782068895,b'1'
0.9560300834,-0.7981584122,b'2'
-1.420396367,-2.9535959781,b'1'
3.136364777,-1.353330601,b'2'
1.5826337417,-2.3335941731,b'2'
-0.9084627394,-1.0357632631,b'1'
1.7938222523,-2.245842056,b'2'
0.2929719784,-1.995796068,b'2'
1.9288988784,1.3676176099,b'1'
2.7653000715,4.5082297484,b'1'
0.167512449,-0.9582382389,b'2'
1.0142360301,-1.0692763841,b'2'
-2.2662757351,-0.0033265166,b'1'
0.9497176902,-1.0324405973,b'2'
-2.619101797,0.7378131762,b'1'
2.1818046877,-2.3158590306,b'2'
1.9610343397,1.2053687013,b'1'
1.0044621213,0.3330715577,b'1'
-0.0700678022,-1.2093119102,b'2'
0.7080346676,1.6817728488,b'1'
1.0987676655,0.1279748842,b'2'
2.8817353537,-0.5782774769,b'2'
0.4588016094,-0.8325585217,b'2'
1.8034912069,-2.5934018082,b'2'
1.9205294569,-1.1620803133,b'2'
-0.96434515,-2.2175848808,b'1'
0.4607754006,-0.457118377,b'2'
0.6843539752,-1.1871160678,b'2'
0.5224775636,-1.1185482372,b'2'
1.0068813299,1.2981174733,b'1'
1.8912885805,1.2881976421,b'1'
-0.7429861876,-1.7405738794,b'1'
-0.4014902561,-0.9424821186,b'2'
