a0,a1,class
10.2853,15.5879,b'0'
13.3977,9.4489,b'0'
9.73624,12.6803,b'0'
10.102,13.8327,b'0'
13.2948,9.67373,b'0'
12.027,11.6794,b'0'
9.02699,10.037,b'0'
7.04861,11.7805,b'0'
6.96348,13.5684,b'0'
10.8647,12.8412,b'0'
12.9935,12.7392,b'0'
10.2387,8.7269,b'0'
12.8208,9.09689,b'0'
10.0757,12.6126,b'0'
11.1102,10.2846,b'0'
12.4556,13.08,b'0'
12.2155,9.65196,b'0'
12.9229,11.542,b'0'
11.1008,9.02085,b'0'
10.9209,9.59777,b'0'
11.4096,9.53336,b'0'
10.5031,8.42181,b'0'
11.2975,13.7944,b'0'
14.4427,14.0645,b'0'
9.24522,6.35108,b'0'
13.7208,8.70933,b'0'
12.2301,10.2221,b'0'
11.193,8.43631,b'0'
10.4446,12.999,b'0'
10.1417,10.9996,b'0'
10.3359,9.96782,b'0'
13.1075,9.19083,b'0'
15.7146,12.7994,b'0'
12.5988,10.7885,b'0'
13.7371,11.1957,b'0'
10.7311,11.8062,b'0'
10.3493,12.4929,b'0'
12.3584,13.7269,b'0'
9.74875,8.06392,b'0'
15.277,8.7331,b'0'
9.98839,8.48958,b'0'
7.63999,9.95249,b'0'
13.019,10.4603,b'0'
15.533,11.7353,b'0'
8.84702,12.7126,b'0'
6.33838,10.7875,b'0'
9.12712,9.10559,b'0'
11.5392,11.6736,b'0'
9.57425,8.27815,b'0'
12.036,9.46403,b'0'
9.58285,8.74504,b'0'
9.48151,9.34905,b'0'
14.2484,12.2762,b'0'
7.8692,13.1175,b'0'
7.09561,17.0267,b'0'
9.52603,10.8738,b'0'
10.7816,10.4197,b'0'
10.0579,11.2599,b'0'
10.8526,9.24078,b'0'
11.6347,9.8983,b'0'
8.70024,9.92462,b'0'
14.2256,11.3613,b'0'
12.8905,11.4887,b'0'
8.79037,10.1663,b'0'
10.6595,9.86563,b'0'
13.0638,7.88238,b'0'
11.4512,14.332,b'0'
11.7037,11.6295,b'0'
10.678,9.36794,b'0'
12.9059,10.4048,b'0'
9.62556,13.5514,b'0'
9.65089,11.5933,b'0'
14.6918,13.4815,b'0'
5.46508,11.3012,b'0'
9.54994,12.8137,b'0'
9.10825,9.25509,b'0'
12.6276,10.0659,b'0'
8.93566,9.93538,b'0'
13.0995,5.31138,b'0'
9.87907,12.0555,b'0'
10.8123,10.6796,b'0'
