x,y,class
0.0673908,0.648651,b'0'
0.184058,0.285643,b'0'
0.216653,-0.626459,b'0'
-0.230196,-0.277555,b'0'
-0.343994,0.952639,b'0'
0.516222,0.527655,b'0'
-0.340626,0.372044,b'0'
-0.891206,-0.0338618,b'0'
0.0231218,0.0798055,b'0'
-0.0480045,-0.112795,b'0'
-0.549665,-0.185131,b'0'
0.610166,0.0548585,b'0'
0.240708,-0.00879581,b'0'
-0.0952792,0.612275,b'0'
0.629652,-0.400976,b'0'
0.535674,0.531926,b'0'
-0.0295303,-0.307669,b'0'
-0.725821,0.361157,b'0'
-0.284648,0.409727,b'0'
0.357847,-0.115821,b'0'
0.153626,-0.909621,b'0'
0.286176,0.13731,b'0'
-0.897728,0.152465,b'0'
-0.895161,0.137934,b'0'
-0.591967,0.218019,b'0'
-0.445756,0.398878,b'0'
0.242248,0.337062,b'0'
-0.420387,-0.315739,b'0'
0.0443506,-0.628764,b'0'
-0.124006,0.499045,b'0'
0.112187,-0.358485,b'0'
-0.0236469,0.134742,b'0'
0.174311,0.170205,b'0'
0.025102,-0.162716,b'0'
-0.293906,-0.0332021,b'0'
-0.50098,0.0855036,b'0'
-0.0341769,0.374567,b'0'
-0.812607,-0.124809,b'0'
-0.39211,-0.06304,b'0'
-0.247678,-0.550145,b'0'
1.06066,0.37034,b'0'
0.241095,0.354813,b'0'
0.675214,0.165773,b'0'
0.346748,0.425497,b'0'
-1.03046,0.814915,b'0'
0.607113,-0.270217,b'0'
-0.671951,0.418234,b'0'
0.371304,-0.360211,b'0'
-0.866275,0.336349,b'0'
-0.0924798,0.385889,b'0'
5.23032,0.0733765,b'1'
3.98709,0.290578,b'1'
4.23755,-0.279124,b'1'
4.05608,0.612748,b'1'
5.35788,0.27984,b'1'
4.08401,-0.435649,b'1'
3.79528,0.139738,b'1'
2.89531,0.617328,b'1'
4.35429,0.316387,b'1'
4.17686,0.124034,b'1'
4.38816,0.140594,b'1'
4.70558,-0.328459,b'1'
4.51607,-0.0782005,b'1'
4.59905,0.343144,b'1'
3.251,0.159402,b'1'
3.01802,-0.353557,b'1'
3.92826,-0.211247,b'1'
3.80549,0.0196756,b'1'
4.08564,0.586435,b'1'
3.71035,-0.00805321,b'1'
4.77432,0.16693,b'1'
4.38432,0.169625,b'1'
4.87446,0.0507428,b'1'
4.67376,-0.144914,b'1'
3.59141,0.892578,b'1'
3.82578,0.932617,b'1'
4.1505,0.301503,b'1'
4.43412,-0.186553,b'1'
3.79532,-0.112176,b'1'
3.23263,0.321166,b'1'
3.97525,0.472507,b'1'
3.98389,0.659611,b'1'
3.49448,-0.434678,b'1'
4.52451,-0.180956,b'1'
4.3327,-0.505153,b'1'
5.07539,0.0267725,b'1'
4.90042,-0.605792,b'1'
3.11646,0.152985,b'1'
4.96567,-0.112223,b'1'
4.56492,0.837235,b'1'
3.33208,0.459567,b'1'
3.75286,-0.0387904,b'1'
3.8966,-0.109682,b'1'
4.2599,0.23564,b'1'
4.3199,-0.466008,b'1'
3.39795,-0.275024,b'1'
3.15548,0.122624,b'1'
3.78584,0.0197974,b'1'
3.99271,-0.601369,b'1'
4.73071,-0.191239,b'1'
8.30909,-1.09333,b'2'
8.15717,-0.244955,b'2'
7.6083,0.161101,b'2'
8.68201,0.698076,b'2'
8.41225,-0.358268,b'2'
8.12161,0.16769,b'2'
8.35901,0.13728,b'2'
8.06171,0.514286,b'2'
8.65864,0.702299,b'2'
7.57486,-0.00914143,b'2'
7.6876,-0.32635,b'2'
8.0751,0.0687498,b'2'
8.29138,0.168367,b'2'
7.59447,-0.614139,b'2'
7.81159,0.514963,b'2'
7.63687,-0.808251,b'2'
7.53363,-1.06035,b'2'
7.48937,-0.152447,b'2'
8.07675,0.0673557,b'2'
8.04362,-0.53697,b'2'
7.95937,1.02369,b'2'
7.76303,-0.111388,b'2'
6.73637,0.0110952,b'2'
7.31677,0.557347,b'2'
7.29637,-0.344011,b'2'
7.41118,0.175356,b'2'
8.04672,0.656547,b'2'
7.58396,1.37038,b'2'
7.24168,-0.135876,b'2'
8.08668,0.180556,b'2'
8.36457,0.099364,b'2'
7.66844,-0.424357,b'2'
8.02776,-0.767283,b'2'
7.24715,0.851412,b'2'
8.35838,0.432283,b'2'
7.75519,0.153029,b'2'
8.099,-0.0839765,b'2'
8.73561,0.629472,b'2'
8.42773,-1.69667,b'2'
7.45885,0.292715,b'2'
7.56676,0.897958,b'2'
8.62853,-0.119195,b'2'
8.20596,0.777928,b'2'
7.63379,-0.338959,b'2'
7.17197,0.451926,b'2'
7.8471,0.346593,b'2'
8.87306,0.867481,b'2'
8.84844,-0.231711,b'2'
8.63226,-0.834833,b'2'
9.05391,0.561159,b'2'
11.1975,-0.164718,b'3'
12.4641,0.928536,b'3'
12.863,-0.145341,b'3'
11.3365,0.432666,b'3'
11.5552,0.397367,b'3'
11.8646,0.415389,b'3'
12.5514,-0.524287,b'3'
11.5798,-0.409786,b'3'
12.0817,-0.546197,b'3'
12.3245,-0.173053,b'3'
12.1314,-0.165384,b'3'
12.2732,0.112706,b'3'
11.3454,-0.396408,b'3'
11.7244,-0.642267,b'3'
11.7995,0.318161,b'3'
12.3045,0.0922153,b'3'
11.6,0.35805,b'3'
12.2717,-0.203684,b'3'
11.9235,0.861123,b'3'
11.9339,-0.0940799,b'3'
12.2208,0.415675,b'3'
11.6661,0.626839,b'3'
11.7969,0.341755,b'3'
11.2261,-0.434285,b'3'
11.4189,-0.146451,b'3'
11.4234,0.243083,b'3'
12.1577,0.685386,b'3'
12.9794,0.356174,b'3'
11.5031,-0.589598,b'3'
12.1274,1.30056,b'3'
11.9922,-0.170522,b'3'
12.5542,0.0656623,b'3'
11.9605,-0.170221,b'3'
12.4313,0.360493,b'3'
12.1001,-0.726223,b'3'
12.2734,-0.729638,b'3'
11.9084,-0.286947,b'3'
12.1675,-0.161831,b'3'
11.3516,-0.455417,b'3'
12.1394,-0.257454,b'3'
11.6486,0.596941,b'3'
11.8131,0.0721978,b'3'
12.4061,-0.185393,b'3'
12.4003,-0.620343,b'3'
12.211,0.267456,b'3'
11.9656,0.788727,b'3'
12.0013,0.472102,b'3'
12.3559,0.450007,b'3'
12.3334,0.0824647,b'3'
12.6421,0.644992,b'3'
15.481,-0.0082689,b'4'
15.6691,0.23389,b'4'
16.352,0.474408,b'4'
15.1474,0.0220489,b'4'
16.4678,-1.18061,b'4'
16.0799,1.02031,b'4'
16.7582,-0.447348,b'4'
16.4659,-0.0926586,b'4'
16.7062,-0.359968,b'4'
16.5817,-0.2366,b'4'
16.523,-0.193144,b'4'
15.6235,-0.66605,b'4'
15.5422,-0.34599,b'4'
15.9675,-1.23148,b'4'
15.9527,-0.913096,b'4'
16.2111,0.114058,b'4'
16.7252,0.5625,b'4'
15.9257,0.516454,b'4'
15.7259,0.225129,b'4'
16.4893,-0.459633,b'4'
16.5956,-0.439762,b'4'
16.524,0.768607,b'4'
15.0611,0.428078,b'4'
16.0519,-0.0635405,b'4'
15.7468,1.38617,b'4'
15.6896,-0.0903988,b'4'
16.8765,0.550375,b'4'
16.7192,-0.387069,b'4'
15.6919,0.599317,b'4'
16.3653,0.792675,b'4'
16.8072,0.392959,b'4'
16.1332,0.477955,b'4'
16.1053,0.485305,b'4'
16.5409,0.142072,b'4'
15.7261,-0.381532,b'4'
15.6043,-0.45437,b'4'
16.6924,0.0682712,b'4'
15.3472,0.27921,b'4'
15.9568,0.506007,b'4'
14.6238,-0.0709561,b'4'
15.3243,-0.181102,b'4'
15.6126,-0.81875,b'4'
16.0977,-0.569975,b'4'
16.671,-0.0552296,b'4'
16.4629,-0.274468,b'4'
15.591,0.342416,b'4'
16.2158,-0.149446,b'4'
15.2817,-0.880813,b'4'
15.6068,0.283972,b'4'
15.8052,-0.360174,b'4'
0.282894,3.91705,b'5'
-0.41441,3.78084,b'5'
-0.213483,3.63291,b'5'
-0.222538,3.64856,b'5'
-0.36068,3.55096,b'5'
-1.19683,4.59413,b'5'
-0.300099,4.06088,b'5'
-0.152305,3.44536,b'5'
0.669164,3.8584,b'5'
-0.357115,3.83705,b'5'
-0.163598,4.65006,b'5'
-0.409927,3.32486,b'5'
0.286284,4.2984,b'5'
-0.263569,4.25857,b'5'
0.0946303,4.04858,b'5'
0.323287,4.45822,b'5'
0.622007,4.47662,b'5'
-0.217128,4.32798,b'5'
0.243647,4.53147,b'5'
-0.56877,3.40727,b'5'
0.577585,4.21663,b'5'
-0.248929,5.27933,b'5'
-0.990793,3.8323,b'5'
-0.589283,3.81054,b'5'
0.724117,4.20198,b'5'
-0.554375,4.09256,b'5'
