x,y,class
0.0,0.0,b'1'
0.1,-0.1,b'1'
0.2,-0.2,b'1'
0.3,-0.3,b'1'
0.4,-0.4,b'1'
0.5,-0.5,b'1'
0.6,-0.6,b'1'
0.7,-0.7,b'1'
0.8,-0.8,b'1'
0.9,-0.9,b'1'
1.0,-1.0,b'1'
0.1,0.1,b'1'
0.2,0.0,b'1'
0.3,-0.1,b'1'
0.4,-0.2,b'1'
0.5,-0.3,b'1'
0.6,-0.4,b'1'
0.7,-0.5,b'1'
0.8,-0.6,b'1'
0.9,-0.7,b'1'
1.0,-0.8,b'1'
1.1,-0.9,b'1'
0.2,0.2,b'1'
0.3,0.1,b'1'
0.4,0.0,b'1'
0.5,-0.1,b'1'
0.6,-0.2,b'1'
0.7,-0.3,b'1'
0.8,-0.4,b'1'
0.9,-0.5,b'1'
1.0,-0.6,b'1'
1.1,-0.7,b'1'
1.2,-0.8,b'1'
0.3,0.3,b'1'
0.4,0.2,b'1'
0.5,0.1,b'1'
0.6,0.0,b'1'
0.7,-0.1,b'1'
0.8,-0.2,b'1'
0.9,-0.3,b'1'
1.0,-0.4,b'1'
1.1,-0.5,b'1'
1.2,-0.6,b'1'
1.3,-0.7,b'1'
0.4,0.4,b'1'
0.5,0.3,b'1'
0.6,0.2,b'1'
0.7,0.1,b'1'
0.8,0.0,b'1'
0.9,-0.1,b'1'
1.0,-0.2,b'1'
1.1,-0.3,b'1'
1.2,-0.4,b'1'
1.3,-0.5,b'1'
1.4,-0.6,b'1'
0.5,0.5,b'1'
0.6,0.4,b'1'
0.7,0.3,b'1'
0.8,0.2,b'1'
0.9,0.1,b'1'
1.0,0.0,b'1'
1.1,-0.1,b'1'
1.2,-0.2,b'1'
1.3,-0.3,b'1'
1.4,-0.4,b'1'
1.5,-0.5,b'1'
0.6,0.6,b'1'
0.7,0.5,b'1'
0.8,0.4,b'1'
0.9,0.3,b'1'
1.0,0.2,b'1'
1.1,0.1,b'1'
1.2,0.0,b'1'
1.3,-0.1,b'1'
1.4,-0.2,b'1'
1.5,-0.3,b'1'
1.6,-0.4,b'1'
0.7,0.7,b'1'
0.8,0.6,b'1'
0.9,0.5,b'1'
1.0,0.4,b'1'
1.1,0.3,b'1'
1.2,0.2,b'1'
1.3,0.1,b'1'
1.4,0.0,b'1'
1.5,-0.1,b'1'
1.6,-0.2,b'1'
1.7,-0.3,b'1'
0.8,0.8,b'1'
0.9,0.7,b'1'
1.0,0.6,b'1'
1.1,0.5,b'1'
1.2,0.4,b'1'
1.3,0.3,b'1'
1.4,0.2,b'1'
1.5,0.1,b'1'
