x,y,class
0.15,0.0,b'1'
0.15,0.25,b'1'
0.15,0.5,b'1'
0.15,0.75,b'1'
0.15,1.0,b'1'
0.15,1.25,b'1'
0.15,1.5,b'1'
0.15,1.75,b'1'
0.15,2.0,b'1'
0.15,2.25,b'1'
0.15,2.5,b'1'
0.15,2.75,b'1'
0.15,3.0,b'1'
-0.15,3.0,b'2'
-0.15,2.75,b'2'
-0.15,2.5,b'2'
-0.15,2.25,b'2'
-0.15,2.0,b'2'
-0.15,1.75,b'2'
-0.15,1.5,b'2'
-0.15,1.25,b'2'
-0.15,1.0,b'2'
-0.15,0.75,b'2'
-0.15,0.5,b'2'
-0.15,0.25,b'2'
-0.15,0.0,b'2'
0.1590287,0.414803,b'1'
-0.1590287,2.585197,b'2'
0.1615557,0.8163109,b'1'
-0.1615557,2.183689,b'2'
0.1627658,1.628365,b'1'
-0.1627658,1.371635,b'2'
0.1638636,0.778645,b'1'
-0.1638636,2.221355,b'2'
0.1743435,0.5312497,b'1'
-0.1743435,2.46875,b'2'
0.1781862,1.774766,b'1'
-0.1781862,1.225234,b'2'
0.1821549,1.170735,b'1'
-0.1821549,1.829265,b'2'
0.1851598,0.4267521,b'1'
-0.1851598,2.573248,b'2'
0.1882799,1.410506,b'1'
-0.1882799,1.589494,b'2'
0.188569,1.376922,b'1'
-0.188569,1.623078,b'2'
0.1966325,1.7077,b'1'
-0.1966325,1.2923,b'2'
0.2075332,1.206062,b'1'
-0.2075332,1.793938,b'2'
0.2076227,1.103336,b'1'
-0.2076227,1.896664,b'2'
0.2114885,0.941725,b'1'
-0.2114885,2.058275,b'2'
0.2118931,2.819647,b'1'
-0.2118931,0.1803527,b'2'
0.212571,0.2896754,b'1'
-0.212571,2.710325,b'2'
0.2128912,1.398912,b'1'
-0.2128912,1.601088,b'2'
0.2147423,2.239866,b'1'
-0.2147423,0.7601344,b'2'
0.2191172,0.1423022,b'1'
-0.2191172,2.857698,b'2'
0.220019,0.1433141,b'1'
-0.220019,2.856686,b'2'
0.2225046,0.4031978,b'1'
-0.2225046,2.596802,b'2'
0.2242973,0.4770325,b'1'
-0.2242973,2.522967,b'2'
0.2300088,1.972408,b'1'
-0.2300088,1.027592,b'2'
0.2300904,0.1130746,b'1'
-0.2300904,2.886925,b'2'
0.2306559,1.760406,b'1'
-0.2306559,1.239594,b'2'
0.2345368,1.358276,b'1'
-0.2345368,1.641724,b'2'
0.2382129,0.5116846,b'1'
-0.2382129,2.488315,b'2'
0.2418566,0.9933721,b'1'
-0.2418566,2.006628,b'2'
0.2460321,2.472903,b'1'
-0.2460321,0.5270968,b'2'
0.2465841,1.129498,b'1'
-0.2465841,1.870502,b'2'
0.2491534,2.61987,b'1'
-0.2491534,0.3801298,b'2'
0.2494161,0.329157,b'1'
-0.2494161,2.670843,b'2'
0.2566993,0.709393,b'1'
-0.2566993,2.290607,b'2'
0.2571354,2.745335,b'1'
-0.2571354,0.2546655,b'2'
0.2576924,0.5191773,b'1'
-0.2576924,2.480823,b'2'
0.2598367,0.4058427,b'1'
-0.2598367,2.594157,b'2'
0.2618317,1.324411,b'1'
-0.2618317,1.675589,b'2'
0.2634652,1.329586,b'1'
-0.2634652,1.670414,b'2'
0.2648148,0.5025863,b'1'
-0.2648148,2.497414,b'2'
0.2660564,1.526218,b'1'
-0.2660564,1.473782,b'2'
0.2693419,1.218527,b'1'
-0.2693419,1.781473,b'2'
0.2696098,1.901248,b'1'
-0.2696098,1.098752,b'2'
0.2699736,2.191088,b'1'
-0.2699736,0.8089122,b'2'
0.271743,0.1616855,b'1'
-0.271743,2.838314,b'2'
0.2728466,2.388412,b'1'
-0.2728466,0.6115876,b'2'
0.2758365,0.5975127,b'1'
-0.2758365,2.402487,b'2'
0.2778668,1.449906,b'1'
-0.2778668,1.550094,b'2'
0.2803567,0.4630024,b'1'
-0.2803567,2.536998,b'2'
0.2834706,2.363583,b'1'
-0.2834706,0.6364175,b'2'
0.2842297,1.212199,b'1'
-0.2842297,1.787801,b'2'
0.2895141,0.08353711,b'1'
-0.2895141,2.916463,b'2'
0.293201,1.312039,b'1'
-0.293201,1.687961,b'2'
0.2970828,0.4075718,b'1'
-0.2970828,2.592428,b'2'
0.2983451,0.06802379,b'1'
-0.2983451,2.931976,b'2'
0.3016371,0.3751969,b'1'
-0.3016371,2.624803,b'2'
0.305449,1.232012,b'1'
-0.305449,1.767988,b'2'
0.3074712,0.635418,b'1'
-0.3074712,2.364582,b'2'
0.307828,1.768243,b'1'
-0.307828,1.231757,b'2'
0.3096033,1.735787,b'1'
-0.3096033,1.264213,b'2'
0.3111458,1.635374,b'1'
-0.3111458,1.364626,b'2'
0.3123868,0.8317943,b'1'
-0.3123868,2.168206,b'2'
0.314158,1.156146,b'1'
-0.314158,1.843854,b'2'
0.3182379,1.477028,b'1'
-0.3182379,1.522972,b'2'
0.3216316,1.264257,b'1'
-0.3216316,1.735743,b'2'
0.3218975,1.063381,b'1'
-0.3218975,1.936619,b'2'
0.3264251,1.701107,b'1'
-0.3264251,1.298893,b'2'
0.3291699,1.036581,b'1'
-0.3291699,1.963419,b'2'
0.3311433,0.1206059,b'1'
-0.3311433,2.879394,b'2'
0.3371696,0.7681692,b'1'
-0.3371696,2.231831,b'2'
0.3376605,1.012583,b'1'
-0.3376605,1.987417,b'2'
0.3379613,0.55048,b'1'
-0.3379613,2.44952,b'2'
0.3414081,0.4471486,b'1'
-0.3414081,2.552851,b'2'
0.3425257,0.3337976,b'1'
-0.3425257,2.666202,b'2'
0.3595862,0.03188951,b'1'
-0.3595862,2.96811,b'2'
0.3711733,0.04717409,b'1'
-0.3711733,2.952826,b'2'
0.3721513,2.007321,b'1'
-0.3721513,0.9926788,b'2'
0.3734065,0.971654,b'1'
-0.3734065,2.028346,b'2'
0.3778437,0.4830122,b'1'
-0.3778437,2.516988,b'2'
0.3783228,1.270008,b'1'
-0.3783228,1.729992,b'2'
0.3807124,0.7697274,b'1'
-0.3807124,2.230273,b'2'
0.3807146,1.778783,b'1'
-0.3807146,1.221217,b'2'
0.3812159,1.108173,b'1'
-0.3812159,1.891827,b'2'
0.3813645,0.8001702,b'1'
-0.3813645,2.19983,b'2'
