x,y,CLASS
2.072345,-3.241693,b'1'
17.93671,15.78481,b'1'
1.083576,7.319176,b'1'
11.12067,14.40678,b'1'
23.71155,2.557729,b'1'
24.16993,32.02478,b'2'
21.66578,4.892855,b'1'
4.693684,12.34217,b'1'
19.21191,-1.121366,b'1'
4.230391,-4.441536,b'1'
9.12713,23.60572,b'1'
0.4075031,15.29705,b'1'
7.314846,3.309312,b'1'
-3.438403,-12.02527,b'1'
17.63935,-3.212345,b'1'
4.415292,22.81555,b'1'
11.94122,8.122487,b'1'
0.7258532,1.806819,b'1'
8.185273,28.1326,b'1'
-5.773587,1.0248,b'1'
18.76943,24.16946,b'1'
7.752016,-3.334991,b'1'
10.61132,28.44378,b'1'
2.02165,-4.687122,b'1'
5.145525,11.186,b'1'
6.24331,19.47716,b'1'
-11.70671,8.073185,b'1'
7.255978,14.63704,b'1'
3.392373,1.220712,b'1'
24.2999,40.42887,b'2'
4.094005,6.944695,b'1'
11.80358,-2.445336,b'1'
0.09228785,-6.651035,b'1'
28.50607,-9.091833,b'1'
23.40831,7.931438,b'1'
10.56305,12.54468,b'1'
20.14157,11.11789,b'1'
-1.871265,8.60885,b'1'
29.30237,14.02176,b'1'
18.65383,17.21672,b'1'
-2.972188,6.370999,b'1'
10.32313,12.11574,b'1'
16.90539,-1.355044,b'1'
6.75371,12.02797,b'1'
23.94777,13.35047,b'1'
6.883513,6.188563,b'1'
-1.241542,10.08179,b'1'
20.50827,-1.57887,b'1'
-3.75683,1.60851,b'1'
17.9176,13.09896,b'1'
2.002537,-0.656524,b'1'
10.7768,15.5336,b'1'
24.15819,5.330366,b'1'
0.3268727,7.288787,b'1'
21.64777,14.00506,b'1'
6.871417,21.51998,b'1'
15.14264,5.111947,b'1'
11.54712,4.75756,b'1'
0.6611676,-10.14263,b'1'
-13.66531,16.93903,b'1'
24.90937,-10.82038,b'1'
-4.53022,-6.173767,b'1'
3.163677,8.051481,b'1'
1.495172,-7.261601,b'1'
7.097637,2.105751,b'1'
3.509483,24.58487,b'1'
12.99879,24.91248,b'1'
0.3593824,6.387915,b'1'
14.35429,-2.252421,b'1'
3.831208,-2.000873,b'1'
31.40462,26.77209,b'2'
-5.501097,13.39128,b'1'
-1.04476,5.955898,b'1'
4.409013,9.323681,b'1'
2.917201,16.53999,b'1'
7.265954,10.64794,b'1'
10.32038,13.36857,b'1'
9.35213,10.42427,b'1'
6.648532,11.07535,b'1'
-1.922306,4.888493,b'1'
7.22604,13.02948,b'1'
8.327288,8.540999,b'1'
17.69046,21.59555,b'1'
16.58353,18.16115,b'1'
12.35425,31.96708,b'1'
2.471138,5.482761,b'1'
18.4925,29.42421,b'1'
10.1196,7.162078,b'1'
20.40245,3.943319,b'1'
12.71589,4.531656,b'1'
24.35859,-4.0644,b'1'
21.74312,15.90887,b'1'
12.27208,-9.612116,b'1'
18.29681,22.38563,b'1'
3.530957,8.673297,b'1'
5.026042,36.03767,b'1'
